wareh,capacity,buffer,QMKOPT,QMK,CHI,CHILOC,KLINK,KLINKQMK,GP,GS,BS,OPT,RND
2.0,20.0,0.0,699.0,699.0,699.0,699.0,709.0,699.0,709.0,775.0,775.0,699.0,767.0
2.0,20.0,0.0,665.0,665.0,665.0,665.0,665.0,665.0,666.0,775.0,775.0,651.0,762.0
3.0,20.0,0.0,815.0,815.0,829.0,830.0,830.0,815.0,859.0,902.0,902.0,818.0,919.0
3.0,20.0,0.0,786.0,786.0,801.0,798.0,804.0,786.0,801.0,906.0,906.0,786.0,911.0
4.0,20.0,0.0,935.0,935.0,943.0,943.0,934.0,935.0,942.0,1028.0,1028.0,943.0,1016.0
4.0,20.0,0.0,890.0,898.0,883.0,898.0,891.0,898.0,926.0,1021.0,1021.0,896.0,1009.0
2.0,24.0,4.0,619.0,619.0,627.0,619.0,0.0,0.0,626.0,652.0,640.0,625.0,716.0
2.0,24.0,4.0,578.0,578.0,578.0,578.0,0.0,0.0,594.0,673.0,600.0,578.0,706.0
3.0,24.0,4.0,750.0,750.0,764.0,770.0,0.0,0.0,770.0,797.0,800.0,738.0,855.0
3.0,24.0,4.0,711.0,707.0,711.0,706.0,0.0,0.0,718.0,797.0,737.0,702.0,846.0
4.0,24.0,4.0,836.0,848.0,857.0,857.0,0.0,0.0,874.0,890.0,922.0,822.0,947.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
