wareh,capacity,buffer,QMKOPT,QMK,CHI,CHILOC,KLINK,KLINKQMK,GP,GS,BS,OPT,RND
2.0,20.0,0.0,67.0,67.0,67.0,70.0,67.0,67.0,68.0,70.0,70.0,67.0,77.0
2.0,20.0,0.0,64.0,64.0,64.0,64.0,64.0,64.0,67.0,68.0,68.0,64.0,75.0
3.0,20.0,0.0,80.0,80.0,80.0,81.0,80.0,80.0,80.0,92.0,92.0,80.0,91.0
3.0,20.0,0.0,74.0,80.0,76.0,79.0,80.0,80.0,76.0,91.0,91.0,74.0,92.0
4.0,20.0,0.0,92.0,92.0,94.0,95.0,88.0,88.0,94.0,100.0,100.0,95.0,99.0
4.0,20.0,0.0,87.0,85.0,91.0,97.0,83.0,84.0,90.0,99.0,99.0,86.0,101.0
2.0,24.0,4.0,61.0,61.0,60.0,59.0,0.0,0.0,61.0,60.0,59.0,61.0,73.0
2.0,24.0,4.0,60.0,60.0,58.0,60.0,0.0,0.0,58.0,58.0,57.0,61.0,68.0
3.0,24.0,4.0,70.0,70.0,75.0,71.0,0.0,0.0,72.0,79.0,74.0,70.0,82.0
3.0,24.0,4.0,67.0,69.0,68.0,74.0,0.0,0.0,69.0,78.0,65.0,72.0,83.0
4.0,24.0,4.0,79.0,85.0,88.0,82.0,0.0,0.0,87.0,89.0,86.0,0.0,92.0
4.0,24.0,4.0,77.0,80.0,81.0,83.0,0.0,0.0,81.0,89.0,82.0,0.0,91.0
