wareh,capacity,buffer,QMKOPT,QMK,CHI,CHILOC,KLINK,KLINKQMK,GP,GS,BS,OPT,RND
2.0,20.0,0.0544968,8.3270306,0.2910716,0.200411,0.1108352,0.0312833,0.0918748,0.0545431,0.40730500000000003,0.0545652,0.8753061,0.0575641
2.0,20.0,3.71e-5,1.5055425,0.1027819,9.35e-5,0.00011549999999999999,0.0183588,0.0952355,7.58e-5,0.0001172,0.0001225,0.240053,0.0001618
2.0,20.0,0.0001752,1.4609717999999998,0.0749219,0.0002295,0.0002423,0.0195922,0.0757151,0.0002219,0.0002504,0.0002576,0.175674,7.53e-5
3.0,20.0,3.65e-5,83.7053576,0.2438096,8.57e-5,0.00011960000000000001,0.0253665,0.1654715,0.00012099999999999999,9.81e-5,0.0001136,1.5657375,0.0001767
3.0,20.0,3.13e-5,75.3435786,0.19726890000000002,8.13e-5,0.00010850000000000001,0.0261895,0.1557959,7.69e-5,0.0001004,9.58e-5,1.4708212,9.28e-5
3.0,20.0,3.38e-5,16.324386,0.1577071,9.109999999999999e-5,0.0001161,0.0264143,0.17752120000000002,7.93e-5,0.0001269,9.860000000000001e-5,1.0651413,9.48e-5
4.0,20.0,4.27e-5,1776.2760309,0.2979405,0.00010400000000000001,0.0001458,0.0678755,0.7786322,9.81e-5,0.0001372,0.0001282,13.5133848,0.0001547
4.0,20.0,3.66e-5,1793.8040664999999,0.2901101,0.0001025,0.000128,0.0307619,0.7730481,9.76e-5,0.0001245,0.00011100000000000001,13.7814125,0.0001084
4.0,20.0,3.3e-5,1237.2484398000001,0.4079212,8.83e-5,0.000122,0.0313558,0.2173521,9.31e-5,0.0001273,0.0001261,19.9226718,0.0001945
2.0,24.0,3.32e-5,5.2966272,0.1437127,9.24e-5,0.0001092,0.0,0.0,8.34e-5,0.00010549999999999999,9.889999999999999e-5,5.4262706,0.0108358
2.0,24.0,3.02e-5,3.3507982,0.1891191,0.00010240000000000001,9.63e-5,0.0,0.0,8.59e-5,0.0001065,0.000102,3.4607974,0.0002589
2.0,24.0,5.72e-5,2.6665395000000003,0.1541042,0.0001171,0.0001516,0.0,0.0,0.0001227,0.0001297,0.000127,2.612353,0.0002466
3.0,24.0,4.13e-5,720.4316405000001,0.1738317,0.0001128,0.00012330000000000002,0.0,0.0,9.09e-5,0.0001108,0.0001253,2526.751592,0.0003285
3.0,24.0,3.0e-5,556.220087,0.12478120000000001,9.329999999999999e-5,0.0001312,0.0,0.0,7.79e-5,0.0001127,0.0001013,1841.9475821,0.0002341
3.0,24.0,3.17e-5,297.8440939,0.1303344,9.17e-5,0.0001279,0.0,0.0,9.099999999999999e-5,0.0001119,0.0001194,459.3616287,0.0002112
4.0,24.0,3.86e-5,2438.6930554,4.5051499999999995,9.750000000000001e-5,0.0001385,0.0,0.0,9.850000000000001e-5,0.0001264,0.0001338,3626.4876871,0.0004327
4.0,24.0,3.09e-5,2419.9901025000004,4.4938616,0.0001135,0.00011099999999999999,0.0,0.0,8.879999999999999e-5,0.0001422,0.0001216,3626.7565099,0.0005826
4.0,24.0,3.61e-5,1992.4644605,0.4747518,9.999999999999999e-5,0.0001304,0.0,0.0,9.960000000000001e-5,0.00013560000000000002,0.00010850000000000001,3629.6551088,0.0003392
