wareh,capacity,buffer,QMKOPT,QMK,CHI,CHILOC,KLINK,KLINKQMK,GP,GS,BS,OPT,RND
2.0,20.0,0.0,1342.0,1342.0,1390.0,1418.0,1342.0,1342.0,1387.0,1524.0,1524.0,1342.0,1585.0
2.0,20.0,0.0,1311.0,1311.0,1311.0,1303.0,1311.0,1311.0,1392.0,1559.0,1559.0,1303.0,1578.0
2.0,20.0,0.0,1246.0,1246.0,1246.0,1331.0,1260.0,1260.0,1354.0,1602.0,1602.0,1246.0,1574.0
3.0,20.0,0.0,1562.0,1562.0,1592.0,1654.0,1582.0,1582.0,1608.0,1914.0,1914.0,1544.0,1896.0
3.0,20.0,0.0,1562.0,1562.0,1592.0,1654.0,1582.0,1582.0,1608.0,1914.0,1914.0,1544.0,1910.0
3.0,20.0,0.0,1500.0,1510.0,1546.0,1516.0,1500.0,1500.0,1500.0,1830.0,1830.0,1488.0,1852.0
2.0,24.0,4.0,1199.0,1199.0,1199.0,1199.0,0.0,0.0,1255.0,1250.0,1255.0,1195.0,1492.0
2.0,24.0,4.0,1150.0,1150.0,1150.0,1150.0,0.0,0.0,1222.0,1274.0,1221.0,1148.0,1482.0
2.0,24.0,4.0,1153.0,1142.0,1133.0,1133.0,0.0,0.0,1153.0,1287.0,1144.0,1129.0,1436.0
3.0,24.0,4.0,1409.0,1409.0,1516.0,1453.0,0.0,0.0,1474.0,1602.0,1572.0,1409.0,1743.0
3.0,24.0,4.0,1386.0,1450.0,1424.0,1449.0,0.0,0.0,1473.0,1538.0,1568.0,1375.0,1775.0
3.0,24.0,4.0,1362.0,1356.0,1400.0,1549.0,0.0,0.0,1397.0,1457.0,1514.0,1314.0,1739.0
