wareh,capacity,buffer,QMKOPT,QMK,CHI,CHILOC,KLINK,KLINKQMK,GP,GS,BS,OPT,RND
2.0,20.0,0.0,1382.0,1382.0,1382.0,1382.0,1382.0,1382.0,1382.0,1468.0,1468.0,1382.0,1542.0
2.0,20.0,0.0,1337.0,1337.0,1337.0,1344.0,1337.0,1337.0,1337.0,1437.0,1437.0,1337.0,1540.0
2.0,20.0,0.0,1288.0,1288.0,1288.0,1288.0,1288.0,1288.0,1288.0,1412.0,1412.0,1288.0,1517.0
3.0,20.0,0.0,1639.0,1639.0,1643.0,1707.0,1639.0,1639.0,1642.0,1768.0,1768.0,1635.0,1811.0
3.0,20.0,0.0,1639.0,1639.0,1643.0,1707.0,1639.0,1639.0,1642.0,1768.0,1768.0,1635.0,1833.0
3.0,20.0,0.0,1560.0,1622.0,1560.0,1705.0,1560.0,1628.0,1565.0,1741.0,1741.0,1560.0,1812.0
2.0,24.0,4.0,1228.0,1228.0,1228.0,1234.0,0.0,0.0,1228.0,1228.0,1250.0,1228.0,1423.0
2.0,24.0,4.0,1189.0,1189.0,1189.0,1189.0,0.0,0.0,1189.0,1189.0,1215.0,1189.0,1437.0
2.0,24.0,4.0,1159.0,1159.0,1159.0,1159.0,0.0,0.0,1156.0,1159.0,1178.0,1156.0,1404.0
3.0,24.0,4.0,1503.0,1503.0,1507.0,1524.0,0.0,0.0,1507.0,1529.0,1587.0,1481.0,1710.0
3.0,24.0,4.0,1438.0,1526.0,1460.0,1543.0,0.0,0.0,1460.0,1513.0,1513.0,1428.0,1699.0
3.0,24.0,4.0,1385.0,1407.0,1393.0,1476.0,0.0,0.0,1400.0,1472.0,1445.0,1368.0,1683.0
