wareh,capacity,buffer,QMK,CHI,CHILOC,KLINK,KLINKQMK,GP,GS,BS,RND
2.0,100.0,0.0,13804.0,13804.0,13804.0,14361.0,13804.0,13855.0,14029.0,14029.0,15473.0
2.0,100.0,0.0,13142.0,13144.0,13144.0,13738.0,13142.0,13144.0,13416.0,13416.0,15422.0
2.0,100.0,0.0,12624.0,12624.0,12624.0,13358.0,12624.0,12624.0,15030.0,15030.0,15380.0
3.0,100.0,0.0,16444.0,16444.0,16444.0,17237.0,16444.0,16497.0,16961.0,16961.0,18574.0
3.0,100.0,0.0,16892.0,16003.0,16003.0,16983.0,16892.0,16028.0,17241.0,17241.0,18508.0
3.0,100.0,0.0,15969.0,15673.0,15683.0,16556.0,15969.0,15673.0,16551.0,16551.0,18509.0
4.0,100.0,0.0,18524.0,18515.0,18515.0,19244.0,18524.0,18533.0,19029.0,19029.0,20466.0
4.0,100.0,0.0,17986.0,18023.0,18025.0,18596.0,17986.0,18034.0,19075.0,19075.0,20423.0
4.0,100.0,0.0,17605.0,17608.0,17608.0,18684.0,17605.0,17595.0,18470.0,18470.0,20463.0
2.0,110.0,10.0,12964.0,12964.0,12964.0,0.0,0.0,12974.0,12964.0,13049.0,14954.0
2.0,110.0,10.0,12381.0,12381.0,12381.0,0.0,0.0,12390.0,12381.0,12474.0,14911.0
2.0,110.0,10.0,13868.0,11887.0,11887.0,0.0,0.0,11878.0,14020.0,11944.0,14726.0
3.0,110.0,10.0,15700.0,15688.0,15688.0,0.0,0.0,15688.0,15907.0,15890.0,17908.0
3.0,110.0,10.0,15432.0,15387.0,15387.0,0.0,0.0,15408.0,16193.0,15604.0,18012.0
3.0,110.0,10.0,15087.0,14792.0,14792.0,0.0,0.0,14802.0,15048.0,14960.0,17764.0
4.0,110.0,10.0,17838.0,17795.0,17795.0,0.0,0.0,17810.0,18043.0,18113.0,19998.0
4.0,110.0,10.0,17480.0,17365.0,17365.0,0.0,0.0,17377.0,17720.0,17666.0,19778.0
4.0,110.0,10.0,17943.0,16917.0,16917.0,0.0,0.0,16917.0,18042.0,17264.0,19809.0
2.0,120.0,20.0,12207.0,12187.0,12207.0,0.0,0.0,12187.0,12350.0,12268.0,14443.0
2.0,120.0,20.0,12617.0,11671.0,11671.0,0.0,0.0,11684.0,12632.0,11743.0,14337.0
2.0,120.0,20.0,13095.0,11295.0,11295.0,0.0,0.0,11293.0,13095.0,11331.0,14110.0
3.0,120.0,20.0,15053.0,15138.0,15138.0,0.0,0.0,15132.0,15272.0,15347.0,17424.0
3.0,120.0,20.0,14594.0,14625.0,14625.0,0.0,0.0,14636.0,15184.0,14833.0,17342.0
3.0,120.0,20.0,14315.0,14145.0,14145.0,0.0,0.0,14154.0,15150.0,14249.0,17254.0
4.0,120.0,20.0,17132.0,17301.0,17313.0,0.0,0.0,17301.0,17420.0,17552.0,19312.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
