wareh,capacity,buffer,QMK,CHI,CHILOC,KLINK,KLINKQMK,GP,GS,BS,RND
2.0,100.0,0.0,14184.0,14261.0,14184.0,14383.0,14177.0,14786.0,14521.0,14521.0,15554.0
2.0,100.0,0.0,13711.0,13711.0,13678.0,14124.0,13711.0,14662.0,15014.0,15014.0,15492.0
2.0,100.0,0.0,13174.0,13248.0,13193.0,13600.0,13174.0,14362.0,15279.0,15279.0,15365.0
3.0,100.0,0.0,16493.0,16931.0,16806.0,17160.0,16521.0,17485.0,17523.0,17523.0,18622.0
3.0,100.0,0.0,16541.0,16511.0,16450.0,17059.0,16541.0,17187.0,17280.0,17280.0,18637.0
3.0,100.0,0.0,16322.0,16133.0,16023.0,16913.0,16243.0,16829.0,17216.0,17216.0,18555.0
4.0,100.0,0.0,18076.0,18527.0,18160.0,19072.0,18108.0,19396.0,19698.0,19698.0,20730.0
4.0,100.0,0.0,17807.0,18348.0,18016.0,18846.0,17825.0,18983.0,19158.0,19158.0,20689.0
4.0,100.0,0.0,17592.0,17957.0,17790.0,18755.0,17567.0,18657.0,18778.0,18778.0,20572.0
2.0,120.0,20.0,12587.0,12689.0,12556.0,0.0,0.0,13170.0,12689.0,12792.0,14432.0
2.0,120.0,20.0,12875.0,12193.0,12114.0,0.0,0.0,12934.0,13012.0,12349.0,14351.0
2.0,120.0,20.0,11769.0,11720.0,11703.0,0.0,0.0,12369.0,13301.0,11854.0,14096.0
3.0,120.0,20.0,15216.0,15408.0,15246.0,0.0,0.0,15482.0,15464.0,15880.0,17454.0
3.0,120.0,20.0,14838.0,15019.0,15342.0,0.0,0.0,15414.0,15579.0,15529.0,17412.0
3.0,120.0,20.0,14504.0,14614.0,14770.0,0.0,0.0,15040.0,15589.0,14976.0,17284.0
4.0,120.0,20.0,16959.0,16942.0,17087.0,0.0,0.0,17480.0,17651.0,18006.0,19316.0
4.0,120.0,20.0,16787.0,16768.0,16858.0,0.0,0.0,17506.0,17255.0,17482.0,19287.0
4.0,120.0,20.0,16786.0,16564.0,16415.0,0.0,0.0,17256.0,16972.0,17142.0,19222.0
2.0,200.0,0.0,14116.0,14429.0,14259.0,14803.0,14118.0,14700.0,14702.0,14702.0,15585.0
2.0,200.0,0.0,13855.0,13882.0,13820.0,14767.0,13851.0,14548.0,14254.0,14254.0,15558.0
2.0,200.0,0.0,13285.0,13356.0,13285.0,14536.0,13305.0,14239.0,13745.0,13745.0,15354.0
3.0,200.0,0.0,16382.0,16803.0,16345.0,17682.0,16302.0,17708.0,17404.0,17404.0,18712.0
3.0,200.0,0.0,16325.0,16719.0,16327.0,17547.0,16341.0,17447.0,17305.0,17305.0,18702.0
3.0,200.0,0.0,16107.0,16272.0,15800.0,17571.0,16126.0,17065.0,17030.0,17030.0,18569.0
4.0,200.0,0.0,17792.0,18530.0,17743.0,19493.0,17832.0,19431.0,19726.0,19726.0,20713.0
4.0,200.0,0.0,17417.0,18080.0,17432.0,19664.0,17384.0,19241.0,19388.0,19388.0,20738.0
4.0,200.0,0.0,17373.0,17822.0,17432.0,19503.0,17370.0,18908.0,19212.0,19212.0,20646.0
2.0,240.0,40.0,12575.0,12738.0,12559.0,0.0,0.0,13156.0,12934.0,12879.0,14519.0
2.0,240.0,40.0,12895.0,12205.0,12121.0,0.0,0.0,12941.0,12412.0,12292.0,14378.0
2.0,240.0,40.0,11662.0,11687.0,11677.0,0.0,0.0,12480.0,11981.0,11758.0,14152.0
3.0,240.0,40.0,15001.0,15268.0,15485.0,0.0,0.0,15777.0,15608.0,15917.0,17457.0
3.0,240.0,40.0,14907.0,14951.0,15009.0,0.0,0.0,15331.0,15446.0,15438.0,17384.0
3.0,240.0,40.0,14391.0,14610.0,14505.0,0.0,0.0,14994.0,15308.0,14951.0,17388.0
4.0,240.0,40.0,16695.0,16824.0,16495.0,0.0,0.0,17667.0,17616.0,18244.0,19447.0
4.0,240.0,40.0,16498.0,16727.0,16334.0,0.0,0.0,17420.0,17316.0,17803.0,19333.0
4.0,240.0,40.0,16477.0,16449.0,15905.0,0.0,0.0,17251.0,17751.0,17258.0,19248.0
2.0,300.0,0.0,13672.0,14367.0,13824.0,14864.0,13672.0,14688.0,14518.0,14518.0,15504.0
