wareh,capacity,buffer,QMK,CHI,CHILOC,KLINK,KLINKQMK,GP,GS,BS,RND
2.0,100.0,0.0,8.7139001,0.3344361,0.13960509999999998,9.0251839,7.6207901,0.0667763,0.5437682,0.0663155,0.0772382
2.0,100.0,0.0,0.16508420000000001,0.008278800000000001,0.0083277,8.8697572,7.3996343,0.0085613,0.008016,0.0080998,0.0031915
2.0,100.0,0.0,0.1722059,0.0085777,0.0086759,8.568528,7.217199099999999,0.0089721,0.0084137,0.0084702,0.0019026
3.0,100.0,0.0,0.21506360000000002,0.008849000000000001,0.008977,8.5845934,6.987668,0.0092677,0.0087533,0.0088695,0.002886
3.0,100.0,0.0,0.21017439999999998,0.0076748,0.0077497,8.4974954,6.6837977,0.0081537,0.0075266000000000005,0.0076852000000000005,0.0028446
3.0,100.0,0.0,0.39872420000000003,0.0075205,0.0077431,8.3798731,7.0333882,0.007932100000000001,0.00732,0.007464800000000001,0.0029236
4.0,100.0,0.0,0.38192190000000004,0.0079201,0.0080867,8.2464666,7.178249,0.0084569,0.0079885,0.008013000000000001,0.0034032
4.0,100.0,0.0,0.2325799,0.0084608,0.0086512,8.1879665,7.3124372,0.0089053,0.0083226,0.0084444,0.0032851
4.0,100.0,0.0,0.3201972,0.0081861,0.0084025,7.960361,6.758424300000001,0.0084013,0.0080231,0.0081174,0.0026945
2.0,120.0,20.0,0.16765,0.0076461,0.0076865,0.0,0.0,0.008187,0.0076384,0.007469,0.024403
2.0,120.0,20.0,0.32649320000000004,0.0086666,0.0087087,0.0,0.0,0.0089884,0.0085929,0.0086035,0.0129156
2.0,120.0,20.0,0.2349638,0.007607200000000001,0.007654800000000001,0.0,0.0,0.007907,0.0074942,0.0074435000000000005,0.0123975
3.0,120.0,20.0,0.30063199999999995,0.0084974,0.0086231,0.0,0.0,0.0089908,0.0084352,0.0083394,0.0244974
3.0,120.0,20.0,0.36150909999999997,0.0077703,0.0078629,0.0,0.0,0.0083433,0.007799400000000001,0.0077849,0.0230111
3.0,120.0,20.0,0.27322579999999996,0.0076898999999999995,0.0077852,0.0,0.0,0.0083018,0.0076387,0.0075872,0.0237202
4.0,120.0,20.0,0.2472836,0.0071214,0.007229500000000001,0.0,0.0,0.0076229,0.007222,0.0071149,0.0468196
4.0,120.0,20.0,0.3438474,0.0075788,0.0079766,0.0,0.0,0.0081498,0.0077544,0.0075536,0.0708003
