wareh,capacity,buffer,QMK,CHIM,CHI,KL,KLQ,GP,GS,BS,RND
2.0,100.0,0.0,8.134836254,0.28102464,0.361000317,10.096942175,0.084029378,0.067833738,0.467188943,0.00595831,0.077866987
2.0,100.0,0.0,0.123364804,0.301912735,0.319292206,10.279452304,0.110817265,0.009323689,0.006988155,0.009106811,0.005459394
2.0,100.0,0.0,0.080575431,0.280689478,0.316241258,10.148247916,0.087378683,0.006799111,0.006413289,0.005469107,0.00595365
3.0,100.0,0.0,0.178511242,0.329107592,0.305412536,10.087904391,0.19001295,0.009749575,0.007931385,0.007187882,0.00814659
3.0,100.0,0.0,0.376248959,0.273056399,0.272645666,10.260215928,0.337660208,0.010417969,0.006065011,0.006665062,0.007556441
3.0,100.0,0.0,0.235779216,0.300562114,0.296143622,10.341329829,0.177040888,0.006568981,0.006918338,0.005976183,0.007019089
4.0,100.0,0.0,3.197551661,0.294118225,0.289328314,10.339899468,3.273832447,0.007161126,0.005401151,0.006555364,0.009287439
4.0,100.0,0.0,4.946930384,0.307453578,0.283563001,10.314712833,4.814230389,0.006993361,0.006138981,0.005385941,0.009677635
4.0,100.0,0.0,1.953305435,0.265927332,0.262073285,10.141466774,1.931827972,0.00908639,0.005372116,0.00587341,0.007708326
2.0,110.0,10.0,0.207277178,0.289046212,0.322112545,0.0,0.0,0.008111796,0.00764759,0.005465823,0.047260002
2.0,110.0,10.0,0.377002924,0.257987695,0.313097438,0.0,0.0,0.007948336,0.005036734,0.005035522,0.023278234
2.0,110.0,10.0,0.239789717,0.265176311,0.267878489,0.0,0.0,0.005512831,0.005151741,0.005765075,0.036395423
3.0,110.0,10.0,0.38946107,0.265727418,0.284678081,0.0,0.0,0.008283779,0.005750318,0.006754859,0.044702383
3.0,110.0,10.0,0.417381794,0.268884771,0.358979519,0.0,0.0,0.007558072,0.006278192,0.00759378,0.044863619
3.0,110.0,10.0,0.609157987,0.29248548,0.31258067,0.0,0.0,0.007183236,0.005589797,0.009189694,0.05817353
4.0,110.0,10.0,75.661084006,0.190576146,0.24876099,0.0,0.0,0.005630044,0.005263564,0.00518057,0.091289252
4.0,110.0,10.0,2.430522697,0.198740206,0.255785832,0.0,0.0,0.005682331,0.005247239,0.007286422,0.105255102
4.0,110.0,10.0,2.396416557,0.191657529,0.246307515,0.0,0.0,0.005745487,0.005898523,0.005253941,0.099444844
2.0,120.0,20.0,0.322696087,0.192108396,0.213565266,0.0,0.0,0.005643633,0.005391324,0.005344254,0.035537815
2.0,120.0,20.0,0.174779487,0.196880986,0.215638019,0.0,0.0,0.005640543,0.005332237,0.005249574,0.035018921
2.0,120.0,20.0,0.774900252,0.202663011,0.211741983,0.0,0.0,0.005688057,0.005337082,0.005296826,0.032056098
3.0,120.0,20.0,1.037025389,0.19241282,0.225262046,0.0,0.0,0.006244351,0.005245375,0.005177397,0.058459944
3.0,120.0,20.0,0.24579455,0.189912198,0.223647922,0.0,0.0,0.006937783,0.005103936,0.005071985,0.051556719
3.0,120.0,20.0,0.633251727,0.221533745,0.221690204,0.0,0.0,0.005530185,0.005273696,0.005321768,0.056487395
4.0,120.0,20.0,50.932775814,0.19744682,0.257037895,0.0,0.0,0.005913114,0.005252305,0.005326135,0.105849837
4.0,120.0,20.0,2.779246883,0.1973112,0.256376969,0.0,0.0,0.005864206,0.005378365,0.005270002,0.10315895
4.0,120.0,20.0,1.830206438,0.201013238,0.251012772,0.0,0.0,0.005939158,0.005443838,0.005252611,0.101077951
2.0,200.0,0.0,0.179311241,0.19500938,0.199153228,37.623999682,0.184634681,0.008617516,0.006728269,0.006660573,0.006527483
2.0,200.0,0.0,0.387410477,0.196554187,0.19870494,37.601583665,0.41534285,0.009204689,0.006585619,0.006649498,0.005825401
2.0,200.0,0.0,0.246718967,0.196830348,0.200663681,37.226462327,0.247951306,0.008573269,0.006653332,0.006707934,0.007138623
3.0,200.0,0.0,1.080027628,0.196820565,0.201244401,37.090655566,1.0804529,0.008604813,0.006685695,0.006643416,0.008154606
3.0,200.0,0.0,2.717531612,0.199514191,0.204966973,36.27720164,2.696792079,0.009567084,0.006774334,0.006681911,0.008677292
3.0,200.0,0.0,0.557229204,0.198274087,0.207836426,36.646607831,0.566195355,0.008729833,0.006709204,0.006721136,0.008858485
4.0,200.0,0.0,12.840456472,0.193315096,0.19971541,36.273193503,13.226009717,0.00874866,0.006734684,0.006772665,0.0096951
4.0,200.0,0.0,2.11015109,0.226326673,0.20297886,36.674273287,2.056014858,0.008847617,0.006735537,0.007296581,0.01001928
4.0,200.0,0.0,3.931561731,0.216922579,0.220850876,36.191281441,4.068243008,0.008836266,0.006767997,0.006755824,0.009325635
2.0,220.0,20.0,0.704023351,0.194455922,0.239034744,0.0,0.0,0.008086126,0.006630889,0.006458465,0.037060702
2.0,220.0,20.0,0.43273023,0.196377629,0.230031696,0.0,0.0,0.008551301,0.006490896,0.006430762,0.03183769
2.0,220.0,20.0,1.025828649,0.197487749,0.208130141,0.0,0.0,0.00800276,0.006638683,0.006577659,0.036606049
3.0,220.0,20.0,0.753531488,0.199559765,0.232115257,0.0,0.0,0.008379378,0.006768979,0.006650827,0.066303927
3.0,220.0,20.0,0.555884573,0.199863758,0.234579834,0.0,0.0,0.008377965,0.006792635,0.006676526,0.065368026
3.0,220.0,20.0,0.47454184,0.202010566,0.231256944,0.0,0.0,0.008377895,0.00685471,0.006734805,0.062815757
4.0,220.0,20.0,2.822832324,0.197385992,0.258574819,0.0,0.0,0.008339413,0.008004913,0.006652721,0.111962539
4.0,220.0,20.0,4.010654481,0.188696121,0.245741207,0.0,0.0,0.008360013,0.006861964,0.006686806,0.113665944
4.0,220.0,20.0,4.978588045,0.199565954,0.255205847,0.0,0.0,0.008630329,0.006903411,0.006774861,0.112778205
2.0,240.0,40.0,0.38601954,0.197169699,0.230604504,0.0,0.0,0.008489324,0.006558884,0.006420664,0.033992745
2.0,240.0,40.0,0.243534812,0.221128155,0.217466047,0.0,0.0,0.008223676,0.006528468,0.006413972,0.038064993
2.0,240.0,40.0,0.352909949,0.194579959,0.228480402,0.0,0.0,0.00807168,0.006764892,0.006396129,0.035047168
3.0,240.0,40.0,1.094591791,0.19933936,0.223824636,0.0,0.0,0.008279239,0.006768038,0.007112868,0.06728856
3.0,240.0,40.0,0.793327196,0.199422647,0.230773326,0.0,0.0,0.008488984,0.00686028,0.006640489,0.065423042
3.0,240.0,40.0,1.011189393,0.200893785,0.231638964,0.0,0.0,0.00867807,0.006816849,0.006693238,0.063260736
4.0,240.0,40.0,26.024663821,0.199782548,0.248812962,0.0,0.0,0.008604471,0.006700251,0.006655807,0.113706204
4.0,240.0,40.0,38.840178438,0.201710423,0.255618935,0.0,0.0,0.008668651,0.00684356,0.006495925,0.108954678
4.0,240.0,40.0,6.699992226,0.201881397,0.255991165,0.0,0.0,0.008897983,0.006961132,0.006789248,0.107708405
2.0,300.0,0.0,0.98742838,0.2039035,0.205114988,90.351338886,0.989166999,0.011850776,0.007610763,0.00753522,0.009029662
2.0,300.0,0.0,0.356389117,0.200725855,0.204411757,89.460378503,0.358887716,0.011849975,0.007598539,0.007668101,0.009248664
2.0,300.0,0.0,1.303246001,0.205110753,0.20528433,87.82085178,1.297338856,0.011945966,0.007681447,0.007709658,0.010415198
3.0,300.0,0.0,1.212181058,0.201732891,0.212647566,84.361240948,1.21681366,0.011497332,0.007768799,0.007816811,0.007233885
3.0,300.0,0.0,0.806141396,0.203605562,0.219640869,84.716783712,0.812788158,0.011880843,0.007939992,0.007994346,0.01049686
3.0,300.0,0.0,1.301375539,0.205274289,0.225894639,84.167769894,1.295833005,0.011714761,0.008123126,0.007856044,0.01218717
4.0,300.0,0.0,4.808225813,0.202345162,0.21394727,80.87016485,4.776645853,0.012793633,0.008987161,0.00810016,0.011375528
4.0,300.0,0.0,1.653783326,0.205375546,0.208232419,82.167139737,1.640760261,0.011667453,0.007991494,0.011429511,0.013446244
4.0,300.0,0.0,5.572430773,0.221810186,0.217544914,81.89173357,5.667639312,0.012487281,0.009164045,0.008345199,0.014045929
2.0,330.0,30.0,0.696394123,0.203666467,0.25773095,0.0,0.0,0.013715488,0.007804803,0.007548115,0.042679714
2.0,330.0,30.0,0.39405053,0.2059494,0.232286081,0.0,0.0,0.011607396,0.007728606,0.007735989,0.042516394
2.0,330.0,30.0,0.501862346,0.202835351,0.23942694,0.0,0.0,0.011457598,0.007732602,0.007722692,0.041388474
3.0,330.0,30.0,1.666279992,0.202424776,0.322028183,0.0,0.0,0.011796609,0.00792743,0.007776311,0.069291602
3.0,330.0,30.0,1.29254856,0.203613494,0.236175062,0.0,0.0,0.011631923,0.008088492,0.007801157,0.07050252
3.0,330.0,30.0,2.634135764,0.201340997,0.233675975,0.0,0.0,0.012236637,0.007947782,0.007804671,0.068102301
4.0,330.0,30.0,6.821961238,0.198576837,0.261956536,0.0,0.0,0.011823959,0.008052135,0.007728144,0.127251061
4.0,330.0,30.0,3.338716866,0.221328581,0.26202463,0.0,0.0,0.011799872,0.008317377,0.007873236,0.120567815
4.0,330.0,30.0,2.415174284,0.201492623,0.257737164,0.0,0.0,0.01219758,0.008164296,0.007926604,0.123697846
2.0,360.0,60.0,0.752657008,0.199216271,0.226227112,0.0,0.0,0.011485679,0.00769222,0.007478314,0.041851229
2.0,360.0,60.0,0.922627434,0.202146964,0.222772616,0.0,0.0,0.011467793,0.007653433,0.007485174,0.041309382
2.0,360.0,60.0,0.546116629,0.199883704,0.222109022,0.0,0.0,0.01150464,0.007876715,0.007441689,0.040414137
3.0,360.0,60.0,2.175486125,0.197533573,0.228115408,0.0,0.0,0.011424105,0.008137066,0.007702463,0.064708417
3.0,360.0,60.0,1.457889286,0.202468219,0.234206748,0.0,0.0,0.011868645,0.00810248,0.00773413,0.066879063
3.0,360.0,60.0,1.039813129,0.204994884,0.248554368,0.0,0.0,0.011902535,0.00808783,0.007795415,0.070133906
4.0,360.0,60.0,3.826166178,0.201100602,0.267279512,0.0,0.0,0.012359518,0.008374201,0.007941029,0.125052589
4.0,360.0,60.0,1.891280026,0.202356978,0.261181163,0.0,0.0,0.012518137,0.008413243,0.008037531,0.121813097
4.0,360.0,60.0,1.994998287,0.203011815,0.260077697,0.0,0.0,0.012749603,0.008364659,0.00786315,0.120126958
2.0,400.0,0.0,0.746991482,0.205613193,0.207598915,166.338526438,0.751733292,0.015658896,0.00892308,0.008944211,0.012138117
2.0,400.0,0.0,0.599744144,0.204063176,0.207784259,166.51457513,0.597888387,0.016402607,0.00892714,0.008814336,0.012048113
2.0,400.0,0.0,0.592807688,0.198178817,0.199654952,162.354163472,0.597359635,0.015639763,0.008899005,0.009110813,0.014360368
3.0,400.0,0.0,3.761639524,0.200967096,0.213517768,152.931887412,3.7797442,0.016172894,0.009562376,0.009494087,0.013903845
3.0,400.0,0.0,1.559920589,0.205348392,0.214319221,155.340079109,1.552676097,0.015979898,0.009555776,0.009580623,0.01445311
3.0,400.0,0.0,2.207123891,0.209564788,0.218841739,154.996172586,2.216857987,0.015932792,0.009548378,0.009614113,0.014623143
4.0,400.0,0.0,9.44809002,0.204894547,0.217574287,149.265043556,9.337080144,0.015794455,0.009834322,0.014042233,0.011898112
