wareh,capacity,buffer,QMK,CHI,CHILOC,GP,GS,BS,RND
2.0,400.0,0.0,109867.0,110777.0,110554.0,134716.0,149028.0,149028.0,155179.0
2.0,400.0,0.0,110742.0,110527.0,110491.0,134644.0,147272.0,147272.0,154652.0
2.0,400.0,0.0,110200.0,110402.0,110535.0,134622.0,145128.0,145128.0,154392.0
2.0,400.0,0.0,109466.0,109515.0,109408.0,135856.0,143250.0,143250.0,154196.0
2.0,400.0,0.0,109723.0,110798.0,110647.0,135935.0,141296.0,141296.0,153203.0
2.0,400.0,0.0,109136.0,110254.0,110092.0,135101.0,138291.0,138291.0,152087.0
3.0,400.0,0.0,114785.0,114349.0,114357.0,153896.0,179692.0,179692.0,186224.0
3.0,400.0,0.0,114768.0,114357.0,114401.0,152865.0,177997.0,177997.0,187191.0
3.0,400.0,0.0,114846.0,114642.0,114586.0,151746.0,176631.0,176631.0,185581.0
3.0,400.0,0.0,115745.0,114073.0,114039.0,150330.0,175561.0,175561.0,185504.0
3.0,400.0,0.0,114681.0,113621.0,113653.0,148851.0,174063.0,174063.0,184529.0
3.0,400.0,0.0,114519.0,114388.0,114153.0,147259.0,172964.0,172964.0,183895.0
2.0,480.0,80.0,106939.0,107653.0,107653.0,112449.0,123141.0,134232.0,144844.0
2.0,480.0,80.0,106855.0,107455.0,107455.0,113588.0,120432.0,131660.0,144575.0
2.0,480.0,80.0,107627.0,106657.0,106657.0,112859.0,118973.0,129620.0,143856.0
2.0,480.0,80.0,106811.0,112134.0,107464.0,113664.0,117333.0,127163.0,143207.0
2.0,480.0,80.0,106637.0,115606.0,106857.0,113363.0,114429.0,124602.0,141132.0
2.0,480.0,80.0,107641.0,115955.0,106181.0,112650.0,111988.0,121917.0,138689.0
3.0,480.0,80.0,111883.0,112171.0,112263.0,129703.0,151754.0,164886.0,173977.0
3.0,480.0,80.0,112181.0,112227.0,111934.0,128755.0,150768.0,163152.0,173901.0
3.0,480.0,80.0,111183.0,111992.0,111969.0,127044.0,151201.0,161140.0,173331.0
3.0,480.0,80.0,111714.0,111461.0,111531.0,129404.0,149593.0,159455.0,173245.0
3.0,480.0,80.0,111323.0,111368.0,111565.0,131193.0,147874.0,157576.0,172674.0
