wareh,capacity,buffer,QMK,CHI,CHILOC,GP,GS,BS,RND
2.0,400.0,0.0,0.8211819714021639,0.8046901901085558,0.8087315826673191,0.3708476050671451,0.1114735678428388,0.1114735678428388,0.0
2.0,400.0,0.0,0.8034472663397497,0.8073812486276806,0.8080399619410086,0.366098221474054,0.13503622923223302,0.13503622923223302,0.0
2.0,400.0,0.0,0.812472422415061,0.8087586409766142,0.8063134284453596,0.3634725694955141,0.17031916458302687,0.17031916458302687,0.0
2.0,400.0,0.0,0.8253376632961842,0.824433537530445,0.8264078529780796,0.3384013580338032,0.2019706251383866,0.2019706251383866,0.0
2.0,400.0,0.0,0.8172471477172341,0.7970415202150255,0.7998797060316147,0.3245681634494295,0.2238031689942297,0.2238031689942297,0.0
2.0,400.0,0.0,0.8246011480791753,0.8031370591510357,0.8062472401942903,0.3261082419797646,0.26486455353543115,0.26486455353543115,0.0
3.0,400.0,0.0,0.8285280200408239,0.8335846168120244,0.8334918352198923,0.37493041380590086,0.07575616997587675,0.07575616997587675,0.0
3.0,400.0,0.0,0.83062472044133,0.8353385097085708,0.8348338704682823,0.39368742186693584,0.10544666307302364,0.10544666307302364,0.0
3.0,400.0,0.0,0.8265269160210794,0.8289106226849418,0.8295649735338451,0.39535644594010355,0.10457928745866485,0.10457928745866485,0.0
3.0,400.0,0.0,0.8158565681137725,0.8354112088323353,0.8358088510479043,0.4113725673652695,0.11628695733532934,0.11628695733532934,0.0
3.0,400.0,0.0,0.8263199611967491,0.8388600362005939,0.838481467898591,0.422079996214317,0.1238154952738113,0.1238154952738113,0.0
3.0,400.0,0.0,0.8269384349484474,0.8284999106025389,0.8313010310507182,0.43668871804040765,0.13029381965552178,0.13029381965552178,0.0
2.0,480.0,80.0,0.8452635804120953,0.8293417179555793,0.8293417179555793,0.7223931852644724,0.483966639907234,0.23664258317723663,0.0
2.0,480.0,80.0,0.8462142456533932,0.8327537857543466,0.8327537857543466,0.6951654514862591,0.5416264722378015,0.28973639932697703,0.0
2.0,480.0,80.0,0.8260899306822328,0.8482077708865378,0.8482077708865378,0.7067904049616929,0.5673796059832178,0.3246078073695732,0.0
2.0,480.0,80.0,0.8423635059133936,0.7191658758997385,0.8272502140856806,0.6837549471150508,0.5988381512254959,0.37132871988335225,0.0
2.0,480.0,80.0,0.8386414470485267,0.6205873772245454,0.8332928133813089,0.6751191286589517,0.6492025673441603,0.4018768841777691,0.0
2.0,480.0,80.0,0.8025020031533511,0.5876088810773088,0.8402388275737289,0.6730336788234381,0.690144485512678,0.4335082323140944,0.0
3.0,480.0,80.0,0.8393689930654122,0.835475891155359,0.8342322613785366,0.5984833123808752,0.30040417967746735,0.12288954675101715,0.0
3.0,480.0,80.0,0.8351713779245207,0.8345489235598977,0.8385136872302134,0.6108983640275504,0.3130268873222284,0.1454513470724348,0.0
3.0,480.0,80.0,0.8474996931720555,0.8364675239666717,0.8367811703099644,0.6312064474778742,0.30178232943775485,0.1662461987426873,0.0
3.0,480.0,80.0,0.8400709946071404,0.8435251553007032,0.8425694586661205,0.5985528022390607,0.3229162400163834,0.1882722370127654,0.0
3.0,480.0,80.0,0.844194622561026,0.8435754189944134,0.8408646833805763,0.5707818477034428,0.3412499655998018,0.20774967663813748,0.0
3.0,480.0,80.0,0.8447599424200514,0.8085466708064015,0.8362499647181687,0.5465579045414773,0.366380648621186,0.22154167489909393,0.0
2.0,800.0,0.0,0.8158052939354745,0.8277922503780082,0.8279015539321953,0.36908166797223685,0.10626127192902557,0.10626127192902557,0.0
2.0,800.0,0.0,0.839084008280972,0.8298587149965496,0.8279337522246032,0.36345476337485927,0.14922093487814625,0.14922093487814625,0.0
2.0,800.0,0.0,0.8436987947420165,0.8349051451043221,0.834632050395077,0.3599024141572297,0.17370644139387537,0.17370644139387537,0.0
2.0,800.0,0.0,0.7684411905375078,0.8181082373716935,0.8154225378021411,0.35201059563665793,0.20067326441264122,0.20067326441264122,0.0
