wareh,capacity,buffer,QMK,CHI,CHILOC,KLINKQMK,GP,GS,BS,RND
2.0,1000.0,0.0,11464.0,11600.0,11563.0,11464.0,14725.0,14993.0,14993.0,15538.0
2.0,1000.0,0.0,11464.0,11387.0,11393.0,11464.0,14560.0,15262.0,15262.0,15491.0
2.0,1000.0,0.0,11415.0,11398.0,11323.0,11415.0,14269.0,15449.0,15449.0,15353.0
3.0,1000.0,0.0,12016.0,12156.0,12069.0,12016.0,17073.0,17963.0,17963.0,18706.0
3.0,1000.0,0.0,12062.0,11996.0,11972.0,12062.0,16878.0,17784.0,17784.0,18656.0
3.0,1000.0,0.0,11979.0,11968.0,11954.0,11979.0,16654.0,17538.0,17538.0,18561.0
4.0,1000.0,0.0,12314.0,12314.0,12319.0,12314.0,18789.0,19865.0,19865.0,20686.0
4.0,1000.0,0.0,12319.0,12298.0,12343.0,12319.0,18547.0,19712.0,19712.0,20668.0
4.0,1000.0,0.0,12468.0,12315.0,12323.0,12468.0,18208.0,19497.0,19497.0,20574.0
2.0,1100.0,100.0,11240.0,11100.0,10970.0,0.0,13177.0,13728.0,14150.0,15034.0
2.0,1100.0,100.0,11250.0,10959.0,10959.0,0.0,13157.0,13926.0,13746.0,14968.0
2.0,1100.0,100.0,11200.0,10903.0,10903.0,0.0,12844.0,14082.0,13288.0,14778.0
3.0,1100.0,100.0,11933.0,11691.0,11642.0,0.0,15627.0,16305.0,17277.0,18062.0
3.0,1100.0,100.0,11798.0,11697.0,11667.0,0.0,15303.0,16161.0,16903.0,18042.0
3.0,1100.0,100.0,11807.0,11639.0,11613.0,0.0,15089.0,15982.0,16496.0,17929.0
4.0,1100.0,100.0,12205.0,11998.0,11996.0,0.0,17364.0,18556.0,19225.0,20026.0
4.0,1100.0,100.0,12191.0,12052.0,12073.0,0.0,17056.0,18175.0,18991.0,19995.0
4.0,1100.0,100.0,12185.0,11993.0,11923.0,0.0,16976.0,18061.0,18632.0,19940.0
2.0,1200.0,200.0,11025.0,10720.0,10723.0,0.0,12215.0,12667.0,13376.0,14482.0
2.0,1200.0,200.0,10938.0,10711.0,10711.0,0.0,12074.0,12800.0,13004.0,14395.0
2.0,1200.0,200.0,10936.0,10709.0,10709.0,0.0,11901.0,12789.0,12470.0,14133.0
3.0,1200.0,200.0,11701.0,11425.0,11421.0,0.0,14614.0,15179.0,16595.0,17432.0
3.0,1200.0,200.0,11640.0,11336.0,11335.0,0.0,14695.0,15191.0,16192.0,17398.0
3.0,1200.0,200.0,11699.0,11319.0,11319.0,0.0,14189.0,15186.0,15739.0,17304.0
4.0,1200.0,200.0,12070.0,11755.0,11756.0,0.0,16119.0,17026.0,18651.0,19364.0
4.0,1200.0,200.0,12131.0,11775.0,11766.0,0.0,15999.0,16925.0,18323.0,19344.0
4.0,1200.0,200.0,12075.0,11780.0,11703.0,0.0,16381.0,16827.0,17990.0,19277.0
2.0,2000.0,0.0,11439.0,11641.0,11500.0,11439.0,14547.0,15043.0,15043.0,15550.0
2.0,2000.0,0.0,11413.0,11535.0,11497.0,11413.0,14338.0,14650.0,14650.0,15507.0
2.0,2000.0,0.0,11262.0,11577.0,11341.0,11262.0,14053.0,14211.0,14211.0,15368.0
3.0,2000.0,0.0,11949.0,12326.0,12175.0,11949.0,16958.0,18044.0,18044.0,18750.0
3.0,2000.0,0.0,12017.0,12057.0,11910.0,12017.0,16737.0,17667.0,17667.0,18719.0
3.0,2000.0,0.0,11888.0,12076.0,11800.0,11888.0,16481.0,17263.0,17263.0,18614.0
4.0,2000.0,0.0,12242.0,12305.0,12310.0,12242.0,18304.0,20005.0,20005.0,20779.0
4.0,2000.0,0.0,12207.0,12219.0,12206.0,12207.0,18283.0,19738.0,19738.0,20750.0
4.0,2000.0,0.0,12371.0,12205.0,12196.0,12371.0,17901.0,19354.0,19354.0,20664.0
2.0,2200.0,200.0,11181.0,10878.0,10886.0,0.0,12927.0,13881.0,14252.0,15053.0
2.0,2200.0,200.0,11155.0,10865.0,10807.0,0.0,12919.0,13473.0,13857.0,14981.0
2.0,2200.0,200.0,11065.0,10866.0,10765.0,0.0,12600.0,12992.0,13358.0,14786.0
3.0,2200.0,200.0,11825.0,11508.0,11457.0,0.0,15436.0,16701.0,17295.0,18120.0
3.0,2200.0,200.0,11812.0,11511.0,11451.0,0.0,15217.0,16142.0,16909.0,18095.0
3.0,2200.0,200.0,11753.0,11430.0,11323.0,0.0,14922.0,15757.0,16495.0,17989.0
4.0,2200.0,200.0,12104.0,11799.0,11793.0,0.0,17048.0,18502.0,19327.0,20105.0
4.0,2200.0,200.0,12108.0,11751.0,11760.0,0.0,16882.0,18165.0,19006.0,20089.0
4.0,2200.0,200.0,12022.0,11744.0,11747.0,0.0,16939.0,17950.0,18646.0,20019.0
2.0,2400.0,400.0,10992.0,10679.0,10683.0,0.0,11969.0,12912.0,13484.0,14504.0
2.0,2400.0,400.0,10920.0,10625.0,10625.0,0.0,11878.0,12458.0,13060.0,14417.0
2.0,2400.0,400.0,10827.0,10593.0,10582.0,0.0,11730.0,11977.0,12472.0,14146.0
3.0,2400.0,400.0,11629.0,11324.0,11246.0,0.0,14379.0,15161.0,16643.0,17494.0
3.0,2400.0,400.0,11621.0,11220.0,11190.0,0.0,14576.0,14975.0,16230.0,17470.0
3.0,2400.0,400.0,11570.0,11160.0,11114.0,0.0,14145.0,14629.0,15813.0,17380.0
4.0,2400.0,400.0,12072.0,11524.0,11549.0,0.0,16147.0,17142.0,18736.0,19462.0
4.0,2400.0,400.0,12053.0,11565.0,11558.0,0.0,16330.0,16957.0,18468.0,19432.0
4.0,2400.0,400.0,11987.0,11489.0,11499.0,0.0,16095.0,16902.0,18014.0,19369.0
2.0,3000.0,0.0,11336.0,11923.0,11481.0,11336.0,14667.0,15109.0,15109.0,15558.0
2.0,3000.0,0.0,11330.0,11706.0,11345.0,11330.0,14513.0,14699.0,14699.0,15515.0
2.0,3000.0,0.0,11422.0,11538.0,11209.0,11422.0,14178.0,14289.0,14289.0,15377.0
3.0,3000.0,0.0,11825.0,12313.0,12000.0,11825.0,16915.0,18143.0,18143.0,18739.0
3.0,3000.0,0.0,11836.0,12139.0,11920.0,11836.0,16811.0,17769.0,17769.0,18702.0
3.0,3000.0,0.0,11751.0,12163.0,11792.0,11751.0,16594.0,17370.0,17370.0,18597.0
4.0,3000.0,0.0,12092.0,12386.0,12233.0,12092.0,18432.0,20138.0,20138.0,20743.0
4.0,3000.0,0.0,12155.0,12396.0,12209.0,12155.0,18378.0,19815.0,19815.0,20711.0
4.0,3000.0,0.0,12101.0,12314.0,12171.0,12101.0,18114.0,19492.0,19492.0,20632.0
2.0,3300.0,300.0,11177.0,11075.0,10909.0,0.0,13217.0,13901.0,14197.0,15054.0
2.0,3300.0,300.0,11134.0,10966.0,10925.0,0.0,13082.0,13540.0,13827.0,14986.0
2.0,3300.0,300.0,11029.0,10871.0,10785.0,0.0,12840.0,13146.0,13332.0,14797.0
3.0,3300.0,300.0,11713.0,11686.0,11592.0,0.0,15522.0,16690.0,17373.0,18109.0
3.0,3300.0,300.0,11714.0,11497.0,11442.0,0.0,15327.0,16301.0,17005.0,18079.0
3.0,3300.0,300.0,11627.0,11505.0,11321.0,0.0,14996.0,15847.0,16552.0,17984.0
4.0,3300.0,300.0,11991.0,11927.0,11850.0,0.0,17074.0,18482.0,19342.0,20073.0
4.0,3300.0,300.0,12038.0,11720.0,11722.0,0.0,17226.0,18257.0,19060.0,20060.0
4.0,3300.0,300.0,11975.0,11831.0,11754.0,0.0,16877.0,18021.0,18655.0,19997.0
2.0,3600.0,600.0,10972.0,10693.0,10690.0,0.0,12151.0,13016.0,13430.0,14497.0
2.0,3600.0,600.0,10936.0,10641.0,10639.0,0.0,12123.0,12557.0,13021.0,14401.0
2.0,3600.0,600.0,10819.0,10601.0,10583.0,0.0,11801.0,12146.0,12471.0,14139.0
3.0,3600.0,600.0,11637.0,11329.0,11253.0,0.0,14314.0,15414.0,16649.0,17485.0
3.0,3600.0,600.0,11536.0,11327.0,11257.0,0.0,14414.0,15026.0,16277.0,17455.0
