wareh,capacity,buffer,QMK,CHI,CHILOC,KLINKQMK,GP,GS,BS,RND
2.0,1000.0,0.0,13854.0,13850.0,13854.0,13854.0,13886.0,13858.0,13858.0,15537.0
2.0,1000.0,0.0,14401.0,13240.0,13254.0,14401.0,13304.0,13259.0,13259.0,15496.0
2.0,1000.0,0.0,14876.0,12679.0,12683.0,14876.0,12683.0,12687.0,12687.0,15349.0
3.0,1000.0,0.0,16622.0,16589.0,16621.0,16622.0,16662.0,16626.0,16626.0,18682.0
3.0,1000.0,0.0,16173.0,16148.0,16133.0,16173.0,16170.0,17051.0,17051.0,18650.0
3.0,1000.0,0.0,15691.0,15655.0,15680.0,15691.0,15731.0,16988.0,16988.0,18545.0
4.0,1000.0,0.0,18690.0,18658.0,18678.0,18690.0,18682.0,18687.0,18687.0,20654.0
4.0,1000.0,0.0,19010.0,18157.0,18209.0,19010.0,18273.0,18439.0,18439.0,20630.0
4.0,1000.0,0.0,18073.0,17680.0,17739.0,18073.0,17794.0,17940.0,17940.0,20556.0
2.0,1100.0,100.0,12993.0,12984.0,13003.0,0.0,13048.0,12978.0,12996.0,15027.0
2.0,1100.0,100.0,13573.0,12425.0,12458.0,0.0,12450.0,12420.0,12434.0,14958.0
2.0,1100.0,100.0,13984.0,11916.0,11913.0,0.0,11916.0,11917.0,11925.0,14763.0
3.0,1100.0,100.0,15923.0,15839.0,15839.0,0.0,15878.0,15837.0,15905.0,18052.0
3.0,1100.0,100.0,15626.0,15358.0,15358.0,0.0,15410.0,16191.0,15438.0,18016.0
3.0,1100.0,100.0,15232.0,14872.0,14872.0,0.0,14885.0,16196.0,14931.0,17941.0
4.0,1100.0,100.0,18022.0,17810.0,17810.0,0.0,17910.0,17812.0,17988.0,19992.0
4.0,1100.0,100.0,17743.0,17380.0,17380.0,0.0,17444.0,17513.0,17494.0,19977.0
4.0,1100.0,100.0,17378.0,16932.0,16932.0,0.0,17014.0,16940.0,17041.0,19907.0
2.0,1200.0,200.0,12240.0,12216.0,12238.0,0.0,12226.0,12203.0,12209.0,14471.0
2.0,1200.0,200.0,11703.0,11730.0,11714.0,0.0,11724.0,11725.0,11735.0,14384.0
2.0,1200.0,200.0,13135.0,11234.0,11229.0,0.0,11269.0,11228.0,11233.0,14115.0
3.0,1200.0,200.0,15095.0,15149.0,15149.0,0.0,15189.0,15146.0,15187.0,17409.0
3.0,1200.0,200.0,14801.0,14708.0,14708.0,0.0,14714.0,15583.0,14708.0,17387.0
3.0,1200.0,200.0,14379.0,14194.0,14194.0,0.0,14215.0,15817.0,14136.0,17289.0
4.0,1200.0,200.0,17073.0,17205.0,17090.0,0.0,17254.0,17208.0,17301.0,19354.0
4.0,1200.0,200.0,16865.0,16758.0,16758.0,0.0,16839.0,16682.0,16842.0,19314.0
4.0,1200.0,200.0,16722.0,16283.0,16283.0,0.0,16348.0,16311.0,16366.0,19259.0
2.0,2000.0,0.0,13743.0,13755.0,13743.0,13743.0,13793.0,13764.0,13764.0,15450.0
2.0,2000.0,0.0,14319.0,13157.0,13165.0,14319.0,13184.0,13209.0,13209.0,15405.0
2.0,2000.0,0.0,14757.0,12618.0,12633.0,14757.0,12658.0,12661.0,12661.0,15271.0
3.0,2000.0,0.0,16533.0,16507.0,16501.0,16533.0,16625.0,16521.0,16521.0,18570.0
3.0,2000.0,0.0,16064.0,16010.0,16045.0,16064.0,16183.0,16023.0,16023.0,18538.0
3.0,2000.0,0.0,15532.0,15500.0,15511.0,15532.0,15692.0,15556.0,15556.0,18435.0
4.0,2000.0,0.0,18578.0,18510.0,18483.0,18578.0,18518.0,18478.0,18478.0,20544.0
4.0,2000.0,0.0,18827.0,18120.0,18092.0,18827.0,18061.0,18031.0,18031.0,20511.0
4.0,2000.0,0.0,18013.0,17695.0,17634.0,18013.0,17627.0,17597.0,17597.0,20434.0
2.0,2200.0,200.0,12949.0,12949.0,12956.0,0.0,12960.0,12982.0,12986.0,14948.0
2.0,2200.0,200.0,13510.0,12422.0,12429.0,0.0,12437.0,12441.0,12440.0,14883.0
2.0,2200.0,200.0,14024.0,11914.0,11909.0,0.0,11975.0,11908.0,11907.0,14705.0
3.0,2200.0,200.0,15871.0,15711.0,15711.0,0.0,15798.0,15681.0,15781.0,17946.0
3.0,2200.0,200.0,15360.0,15231.0,15231.0,0.0,15363.0,15242.0,15284.0,17921.0
3.0,2200.0,200.0,14877.0,14773.0,14773.0,0.0,14877.0,14744.0,14796.0,17837.0
4.0,2200.0,200.0,17890.0,17648.0,17648.0,0.0,17741.0,17717.0,17821.0,19885.0
4.0,2200.0,200.0,17659.0,17311.0,17311.0,0.0,17328.0,17266.0,17353.0,19877.0
4.0,2200.0,200.0,17255.0,16832.0,16832.0,0.0,16881.0,16819.0,16876.0,19794.0
2.0,2400.0,400.0,12229.0,12195.0,12216.0,0.0,12218.0,12219.0,12211.0,14409.0
2.0,2400.0,400.0,11715.0,11724.0,11716.0,0.0,11791.0,11723.0,11719.0,14331.0
2.0,2400.0,400.0,13130.0,11226.0,11233.0,0.0,11301.0,11245.0,11230.0,14064.0
