wareh,capacity,buffer,QMK,CHI,CHILOC,KLINKQMK,GP,GS,BS,RND
2.0,1000.0,0.0,135447.0,135181.0,135051.0,135447.0,147501.0,146267.0,146267.0,154953.0
2.0,1000.0,0.0,136453.0,133742.0,133383.0,136453.0,144351.0,141954.0,141954.0,154470.0
2.0,1000.0,0.0,131794.0,131873.0,131579.0,131794.0,140746.0,136839.0,136839.0,153154.0
3.0,1000.0,0.0,153073.0,152396.0,152165.0,153073.0,173680.0,175566.0,175566.0,186329.0
3.0,1000.0,0.0,151331.0,151464.0,151228.0,151331.0,172109.0,173676.0,173676.0,185978.0
3.0,1000.0,0.0,150428.0,150919.0,149678.0,150428.0,169331.0,167565.0,167565.0,185054.0
4.0,1000.0,0.0,162758.0,162927.0,162611.0,162758.0,194600.0,194577.0,194577.0,206248.0
4.0,1000.0,0.0,162385.0,161237.0,161109.0,162385.0,191927.0,191864.0,191864.0,205947.0
4.0,1000.0,0.0,162203.0,160588.0,160360.0,162203.0,187797.0,188509.0,188509.0,205112.0
2.0,1100.0,100.0,129125.0,129483.0,129355.0,0.0,138707.0,137109.0,138337.0,149828.0
2.0,1100.0,100.0,130733.0,127070.0,126760.0,0.0,135656.0,132445.0,133704.0,149260.0
2.0,1100.0,100.0,124293.0,124393.0,123834.0,0.0,132162.0,127433.0,128269.0,147364.0
3.0,1100.0,100.0,147118.0,146387.0,146352.0,0.0,165840.0,164586.0,168146.0,179999.0
3.0,1100.0,100.0,145519.0,146550.0,146631.0,0.0,162918.0,160197.0,163838.0,179861.0
3.0,1100.0,100.0,143618.0,144632.0,143777.0,0.0,158857.0,156341.0,159098.0,178842.0
4.0,1100.0,100.0,158311.0,157512.0,157512.0,0.0,183416.0,182914.0,187707.0,199461.0
4.0,1100.0,100.0,158047.0,157870.0,157013.0,0.0,179429.0,180033.0,184289.0,199385.0
4.0,1100.0,100.0,156526.0,155184.0,155238.0,0.0,175485.0,177536.0,180149.0,198766.0
2.0,1200.0,200.0,123261.0,123043.0,122899.0,0.0,130242.0,128831.0,130102.0,144405.0
2.0,1200.0,200.0,120341.0,121197.0,121069.0,0.0,127364.0,124653.0,125516.0,143528.0
2.0,1200.0,200.0,117299.0,118580.0,117549.0,0.0,124750.0,119553.0,120328.0,140965.0
3.0,1200.0,200.0,142190.0,142315.0,142186.0,0.0,156903.0,154844.0,160946.0,173943.0
3.0,1200.0,200.0,140046.0,141708.0,141533.0,0.0,153303.0,151165.0,156622.0,173632.0
3.0,1200.0,200.0,138415.0,139467.0,139432.0,0.0,149717.0,149412.0,151748.0,172583.0
4.0,1200.0,200.0,155075.0,153736.0,153609.0,0.0,173319.0,174632.0,181492.0,193260.0
4.0,1200.0,200.0,152722.0,152953.0,152574.0,0.0,170069.0,171789.0,177705.0,193003.0
4.0,1200.0,200.0,151674.0,152775.0,152271.0,0.0,167927.0,169417.0,173552.0,192405.0
2.0,2000.0,0.0,127186.0,128387.0,128131.0,127186.0,145961.0,146353.0,146353.0,155071.0
2.0,2000.0,0.0,128679.0,126521.0,126410.0,128679.0,141988.0,150029.0,150029.0,154570.0
2.0,2000.0,0.0,126817.0,125577.0,124428.0,126817.0,137197.0,152634.0,152634.0,153241.0
3.0,2000.0,0.0,140395.0,141555.0,141040.0,140395.0,170397.0,174827.0,174827.0,186512.0
3.0,2000.0,0.0,139826.0,140759.0,140361.0,139826.0,168710.0,177871.0,177871.0,186145.0
3.0,2000.0,0.0,137853.0,138664.0,138563.0,137853.0,165831.0,180746.0,180746.0,185161.0
4.0,2000.0,0.0,148140.0,148337.0,148330.0,148140.0,192057.0,193519.0,193519.0,206401.0
4.0,2000.0,0.0,147579.0,147736.0,147567.0,147579.0,189095.0,191642.0,191642.0,206108.0
4.0,2000.0,0.0,147423.0,146030.0,145935.0,147423.0,185020.0,189011.0,189011.0,205263.0
2.0,2200.0,200.0,123359.0,122339.0,122107.0,0.0,135345.0,135259.0,138196.0,149981.0
2.0,2200.0,200.0,124581.0,120677.0,120688.0,0.0,131907.0,138576.0,133496.0,149379.0
2.0,2200.0,200.0,120014.0,118607.0,118617.0,0.0,127284.0,141263.0,128162.0,147429.0
3.0,2200.0,200.0,137341.0,136831.0,136335.0,0.0,161489.0,161911.0,167410.0,180217.0
3.0,2200.0,200.0,137083.0,135577.0,134866.0,0.0,158593.0,164942.0,163214.0,179960.0
3.0,2200.0,200.0,135041.0,133965.0,133535.0,0.0,155751.0,167308.0,158396.0,179050.0
4.0,2200.0,200.0,145693.0,144384.0,144365.0,0.0,179414.0,180547.0,186618.0,199689.0
4.0,2200.0,200.0,144991.0,143398.0,143071.0,0.0,175495.0,178918.0,182881.0,199577.0
4.0,2200.0,200.0,144075.0,141723.0,141537.0,0.0,171321.0,176854.0,178608.0,198970.0
2.0,2400.0,400.0,119417.0,118031.0,117663.0,0.0,126173.0,126314.0,129900.0,144509.0
2.0,2400.0,400.0,117476.0,116586.0,116274.0,0.0,123279.0,129246.0,125427.0,143652.0
2.0,2400.0,400.0,115062.0,114864.0,114688.0,0.0,120267.0,130752.0,119879.0,141039.0
3.0,2400.0,400.0,135047.0,131601.0,131349.0,0.0,152672.0,151958.0,160367.0,173993.0
3.0,2400.0,400.0,133299.0,130906.0,130378.0,0.0,149899.0,154998.0,155884.0,173795.0
3.0,2400.0,400.0,130783.0,130193.0,129999.0,0.0,146482.0,157047.0,150991.0,172817.0
4.0,2400.0,400.0,142944.0,140292.0,140330.0,0.0,168589.0,171278.0,180420.0,193322.0
4.0,2400.0,400.0,143323.0,140117.0,139967.0,0.0,165140.0,170454.0,176499.0,193098.0
4.0,2400.0,400.0,143134.0,138610.0,138244.0,0.0,163672.0,168611.0,172290.0,192535.0
2.0,3000.0,0.0,125076.0,126493.0,125277.0,125076.0,145654.0,147454.0,147454.0,155114.0
2.0,3000.0,0.0,123856.0,125111.0,123696.0,123856.0,142184.0,143244.0,143244.0,154654.0
2.0,3000.0,0.0,122732.0,123311.0,122723.0,122732.0,137671.0,138180.0,138180.0,153294.0
3.0,3000.0,0.0,136120.0,136959.0,136343.0,136120.0,168217.0,176136.0,176136.0,186559.0
3.0,3000.0,0.0,137125.0,136483.0,134892.0,137125.0,164131.0,173862.0,173862.0,186248.0
3.0,3000.0,0.0,134024.0,134888.0,134264.0,134024.0,162691.0,167730.0,167730.0,185186.0
4.0,3000.0,0.0,142927.0,142902.0,142603.0,142927.0,187195.0,195528.0,195528.0,206420.0
4.0,3000.0,0.0,142191.0,142473.0,141785.0,142191.0,184918.0,194536.0,194536.0,206210.0
4.0,3000.0,0.0,141090.0,141688.0,141293.0,141090.0,182285.0,192789.0,192789.0,205396.0
2.0,3300.0,300.0,121154.0,119675.0,119115.0,0.0,131783.0,136779.0,139519.0,150071.0
2.0,3300.0,300.0,118970.0,118877.0,118442.0,0.0,129175.0,132293.0,134870.0,149441.0
2.0,3300.0,300.0,116929.0,117351.0,116868.0,0.0,127049.0,127667.0,129464.0,147503.0
3.0,3300.0,300.0,133030.0,130813.0,130548.0,0.0,157575.0,163101.0,168896.0,180288.0
3.0,3300.0,300.0,131891.0,131472.0,129746.0,0.0,157968.0,158873.0,165021.0,180060.0
3.0,3300.0,300.0,130333.0,129467.0,129122.0,0.0,154039.0,155016.0,160363.0,179096.0
4.0,3300.0,300.0,139667.0,137286.0,136972.0,0.0,176148.0,181147.0,188888.0,199773.0
4.0,3300.0,300.0,139426.0,137585.0,137144.0,0.0,175062.0,179754.0,184998.0,199607.0
4.0,3300.0,300.0,139103.0,136416.0,135830.0,0.0,169548.0,177947.0,180591.0,199032.0
2.0,3600.0,600.0,117269.0,115343.0,115119.0,0.0,122940.0,127251.0,131169.0,144582.0
2.0,3600.0,600.0,115729.0,114640.0,114651.0,0.0,121634.0,123726.0,126659.0,143704.0
2.0,3600.0,600.0,114116.0,113391.0,113013.0,0.0,119490.0,118855.0,120934.0,140980.0
3.0,3600.0,600.0,131083.0,126898.0,126683.0,0.0,150978.0,151975.0,161919.0,174101.0
3.0,3600.0,600.0,129712.0,126630.0,126055.0,0.0,147056.0,148524.0,157756.0,173785.0
3.0,3600.0,600.0,126493.0,125374.0,125033.0,0.0,144867.0,146037.0,152771.0,172851.0
4.0,3600.0,600.0,137368.0,133535.0,133456.0,0.0,165233.0,171290.0,182683.0,193318.0
