wareh,capacity,buffer,QMK,CHI,CHILOC,GP,GS,BS,RND
2.0,1000.0,0.0,18.616983,0.8401178,0.7130941,0.7045811,1.1105983,0.6159665,0.1115755
2.0,1000.0,0.0,9.387966400000002,0.4812534,0.5169085,0.5460599,0.4702117,0.4707595,0.0330737
2.0,1000.0,0.0,10.8759152,0.5268708,0.5362336,0.6072071,0.5139091,0.514462,0.0732067
3.0,1000.0,0.0,21.402134200000003,0.444004,0.463325,0.5191023,0.46546150000000003,0.4388723,0.0427394
3.0,1000.0,0.0,18.912350999999997,0.5908814,0.6054485,0.6662732,0.6099631,0.586661,0.0409102
3.0,1000.0,0.0,10.566135800000001,0.4359708,0.4450155,0.517108,0.4572609,0.434033,0.0435215
2.0,1200.0,200.0,10.866286899999999,0.4833287,0.5102644,0.5450879,0.4716121,0.4654734,0.2140738
2.0,1200.0,200.0,11.7445728,0.5017555,0.5101783,0.5906961,0.48717669999999996,0.4852345,0.2005471
2.0,1200.0,200.0,29.4711893,0.4373566,0.44299130000000003,0.5342734,0.4204851,0.4191492,0.1751555
3.0,1200.0,200.0,26.5453695,0.5346715,0.5636965,0.6250281,0.525541,0.519364,0.3201454
3.0,1200.0,200.0,61.9267173,0.493667,0.5112739000000001,0.5927336000000001,0.4840995,0.47671840000000004,0.3473416
3.0,1200.0,200.0,33.918533800000006,0.5014099000000001,0.5215243,0.6058841,0.49346070000000003,0.4876686,0.3402476
2.0,2000.0,0.0,27.2245177,0.6877177999999999,0.7620424,1.208326,0.6325566,0.6357172,0.076403
2.0,2000.0,0.0,24.2587276,0.6551914,0.6695727,1.1591797,0.5632475,0.6176114,0.079372
2.0,2000.0,0.0,42.334796600000004,0.6652946,0.6444403000000001,1.1289935,0.5508575,0.5562353,0.0801854
3.0,2000.0,0.0,99.0075416,0.6086433,1.5726045,1.1284073000000001,0.6281629,0.5763139,0.0832752
3.0,2000.0,0.0,38.1189045,0.6320129,0.7338202,1.1451288,0.5979405999999999,0.6005209,0.0927203
3.0,2000.0,0.0,42.473424200000004,1.0166913,1.1132603,1.5603821,1.0421381,0.9804103,0.0922815
2.0,2400.0,400.0,34.1195648,0.6317086,0.6516924,1.1459868,0.5471728,0.5699084,0.2528413
2.0,2400.0,400.0,36.081441299999994,0.6788666999999999,0.7406999,1.1886145,0.6143919999999999,0.5916406,0.3038517
2.0,2400.0,400.0,46.686744399999995,0.6516039,0.7001526,1.1123416,0.6130462,0.5355698,0.2476222
3.0,2400.0,400.0,117.27035289999999,0.6444247999999999,1.6719516,1.1686413,0.6030707,0.6141813,0.3873425
3.0,2400.0,400.0,52.4441414,0.6750699,1.6141334,1.2258504000000001,0.6309143,0.6590699,0.3963406
3.0,2400.0,400.0,51.8437762,0.8057284,0.8436842,1.3506109,0.7845507,0.7027463,0.4416816
2.0,3000.0,0.0,44.5730676,0.9495043999999999,0.9924103,8.2535873,0.8183747,0.7698374,0.267354
