wareh,capacity,buffer,QMK,CHI,CHILOC,KLINKQMK,GP,GS,BS,RND
2.0,1000.0,0.0,11.624618433,0.325354474,0.453392219,2.829658147,0.242947475,0.471438678,0.023597095,0.11810949
2.0,1000.0,0.0,3.282791718,0.392198999,0.327633394,3.289608633,0.239697462,0.022047491,0.024925231,0.033387844
2.0,1000.0,0.0,2.868700069,0.298232655,0.330214224,2.789843933,0.216124694,0.030920577,0.02818315,0.035879326
3.0,1000.0,0.0,9.48107635,0.361068956,0.320266911,9.536925251,0.161220663,0.029480469,0.030616843,0.043139318
3.0,1000.0,0.0,4.355680058,0.334960281,0.363658684,4.383960119,0.17333736,0.025466353,0.025585437,0.0419431
3.0,1000.0,0.0,7.818679324,0.325012406,0.312733202,7.827114781,0.160682245,0.023481125,0.045880059,0.052211418
4.0,1000.0,0.0,7.902609572,0.317903931,0.35387516,7.826166649,0.156135846,0.028067773,0.028713681,0.046386716
4.0,1000.0,0.0,6.282244671,0.311983877,0.421678975,6.128757491,0.150493857,0.024475352,0.033835268,0.048960954
4.0,1000.0,0.0,5.654866687,0.331708484,0.330486838,6.189166449,0.159053953,0.02788617,0.028237583,0.042743708
2.0,1100.0,100.0,3.022048403,0.330750843,0.55699659,0.0,0.164641257,0.020656685,0.020832467,0.082678519
2.0,1100.0,100.0,3.511463518,0.326474937,0.495151701,0.0,0.15981042,0.019425701,0.019804417,0.065356427
2.0,1100.0,100.0,3.582385899,0.346681232,0.432066309,0.0,0.153794586,0.023925644,0.021112785,0.088374759
3.0,1100.0,100.0,4.36124625,0.374162186,0.434655064,0.0,0.15481398,0.029142982,0.02719736,0.146807179
3.0,1100.0,100.0,5.626650346,0.361703914,0.515984197,0.0,0.15325614,0.027840884,0.027309171,0.16639657
3.0,1100.0,100.0,7.11938888,0.297206498,0.446910583,0.0,0.16277202,0.02791832,0.034984125,0.168671845
4.0,1100.0,100.0,6.188111279,0.326277954,0.657572736,0.0,0.159798347,0.029688491,0.024919902,0.235104602
4.0,1100.0,100.0,8.279364064,0.369892939,0.831529726,0.0,0.157141033,0.030723003,0.025307623,0.285249652
4.0,1100.0,100.0,6.176437332,0.34963211,0.653361459,0.0,0.190561967,0.037662751,0.025841861,0.24658548
2.0,1200.0,200.0,3.596590319,0.316326993,0.575707141,0.0,0.21850833,0.024413586,0.025895762,0.096173539
2.0,1200.0,200.0,2.710220936,0.327654453,0.426310676,0.0,0.171261784,0.028744889,0.018856177,0.089969148
2.0,1200.0,200.0,2.887642433,0.346372268,0.409215722,0.0,0.154144486,0.021225158,0.027675252,0.084328654
