wareh,capacity,buffer,CHI,CHILOC,GS,BS,RND
2.0,10000.0,0.0,1.130464e6,1.12038e6,1.512235e6,1.512235e6,1.550758e6
2.0,10000.0,0.0,1.120144e6,1.112544e6,1.478873e6,1.478873e6,1.546346e6
2.0,10000.0,0.0,1.117822e6,1.107414e6,1.438697e6,1.438697e6,1.532596e6
3.0,10000.0,0.0,1.182108e6,1.167713e6,1.815266e6,1.815266e6,1.865336e6
3.0,10000.0,0.0,1.167058e6,1.163682e6,1.797076e6,1.797076e6,1.861852e6
3.0,10000.0,0.0,1.166081e6,1.156623e6,1.774108e6,1.774108e6,1.852107e6
4.0,10000.0,0.0,1.197104e6,1.19463e6,2.008606e6,2.008606e6,2.064196e6
4.0,10000.0,0.0,1.207963e6,1.189036e6,2.008625e6,2.008625e6,2.061577e6
4.0,10000.0,0.0,1.186754e6,1.182775e6,2.001706e6,2.001706e6,2.053552e6
2.0,11000.0,1000.0,1.065989e6,1.065989e6,1.396104e6,1.43301e6,1.500325e6
2.0,11000.0,1000.0,1.064502e6,1.064459e6,1.362662e6,1.396911e6,1.493852e6
2.0,11000.0,1000.0,1.061824e6,1.0618e6,1.328824e6,1.350571e6,1.474984e6
3.0,11000.0,1000.0,1.123352e6,1.120365e6,1.669286e6,1.746409e6,1.802775e6
3.0,11000.0,1000.0,1.119518e6,1.115677e6,1.650462e6,1.712098e6,1.800378e6
3.0,11000.0,1000.0,1.119811e6,1.115457e6,1.626215e6,1.66969e6,1.791262e6
4.0,11000.0,1000.0,1.159896e6,1.157929e6,1.839169e6,1.946432e6,1.997878e6
4.0,11000.0,1000.0,1.151357e6,1.14708e6,1.837933e6,1.914621e6,1.996154e6
4.0,11000.0,1000.0,1.151879e6,1.144486e6,1.836971e6,1.878805e6,1.98968e6
2.0,12000.0,2000.0,1.052608e6,1.052608e6,1.295739e6,1.353658e6,1.445412e6
2.0,12000.0,2000.0,1.049218e6,1.049218e6,1.267429e6,1.316164e6,1.436726e6
2.0,12000.0,2000.0,1.044709e6,1.044709e6,1.228189e6,1.263432e6,1.41011e6
3.0,12000.0,2000.0,1.094993e6,1.09211e6,1.539386e6,1.678971e6,1.740602e6
3.0,12000.0,2000.0,1.091901e6,1.089424e6,1.522051e6,1.64205e6,1.737719e6
3.0,12000.0,2000.0,1.090846e6,1.088955e6,1.50562e6,1.59497e6,1.728322e6
4.0,12000.0,2000.0,1.123424e6,1.122929e6,1.735251e6,1.887042e6,1.933249e6
4.0,12000.0,2000.0,1.123097e6,1.120959e6,1.732799e6,1.854828e6,1.93151e6
4.0,12000.0,2000.0,1.120395e6,1.117508e6,1.730626e6,1.815642e6,1.92512e6
2.0,15000.0,0.0,1.12447e6,1.118775e6,1.515963e6,1.515963e6,1.550872e6
2.0,15000.0,0.0,1.115696e6,1.111659e6,1.481811e6,1.481811e6,1.546286e6
2.0,15000.0,0.0,1.108183e6,1.103062e6,1.441975e6,1.441975e6,1.53278e6
3.0,15000.0,0.0,1.168009e6,1.165743e6,1.819996e6,1.819996e6,1.865513e6
3.0,15000.0,0.0,1.162214e6,1.158457e6,1.802698e6,1.802698e6,1.862208e6
3.0,15000.0,0.0,1.15965e6,1.153122e6,1.77802e6,1.77802e6,1.852281e6
4.0,15000.0,0.0,1.189981e6,1.188272e6,2.013192e6,2.013192e6,2.064582e6
4.0,15000.0,0.0,1.197928e6,1.184061e6,2.019767e6,2.019767e6,2.062027e6
4.0,15000.0,0.0,1.18283e6,1.180807e6,2.018593e6,2.018593e6,2.053886e6
2.0,16500.0,1500.0,1.066766e6,1.066769e6,1.404227e6,1.436598e6,1.500432e6
