experiment,dataset,dependency,wareh,capacity,capacity_base,capvariation,buffer,buffer_rel,variable,value
2_100skus,a_parcels_sent,IND,2.0,100.0,100,1,0.0,0.0,QMK,13725.0
2_100skus,a_parcels_sent,IND,2.0,100.0,100,2,0.0,0.0,QMK,13148.0
2_100skus,a_parcels_sent,IND,2.0,100.0,100,3,0.0,0.0,QMK,12607.0
2_100skus,a_parcels_sent,IND,3.0,100.0,100,1,0.0,0.0,QMK,16524.0
2_100skus,a_parcels_sent,IND,3.0,100.0,100,2,0.0,0.0,QMK,16955.0
2_100skus,a_parcels_sent,IND,3.0,100.0,100,3,0.0,0.0,QMK,16961.0
2_100skus,a_parcels_sent,IND,4.0,100.0,100,1,0.0,0.0,QMK,18515.0
2_100skus,a_parcels_sent,IND,4.0,100.0,100,2,0.0,0.0,QMK,18033.0
2_100skus,a_parcels_sent,IND,4.0,100.0,100,3,0.0,0.0,QMK,17635.0
2_100skus,a_parcels_sent,IND,2.0,110.0,100,1,10.0,0.1,QMK,12895.0
2_100skus,a_parcels_sent,IND,2.0,110.0,100,2,10.0,0.1,QMK,12331.0
2_100skus,a_parcels_sent,IND,2.0,110.0,100,3,10.0,0.1,QMK,13949.0
2_100skus,a_parcels_sent,IND,3.0,110.0,100,1,10.0,0.1,QMK,15773.0
2_100skus,a_parcels_sent,IND,3.0,110.0,100,2,10.0,0.1,QMK,15366.0
2_100skus,a_parcels_sent,IND,3.0,110.0,100,3,10.0,0.1,QMK,15055.0
2_100skus,a_parcels_sent,IND,4.0,110.0,100,1,10.0,0.1,QMK,17681.0
2_100skus,a_parcels_sent,IND,4.0,110.0,100,2,10.0,0.1,QMK,17449.0
2_100skus,a_parcels_sent,IND,4.0,110.0,100,3,10.0,0.1,QMK,17911.0
2_100skus,a_parcels_sent,IND,2.0,120.0,100,1,20.0,0.2,QMK,12139.0
2_100skus,a_parcels_sent,IND,2.0,120.0,100,2,20.0,0.2,QMK,12595.0
2_100skus,a_parcels_sent,IND,2.0,120.0,100,3,20.0,0.2,QMK,13001.0
2_100skus,a_parcels_sent,IND,3.0,120.0,100,1,20.0,0.2,QMK,14950.0
2_100skus,a_parcels_sent,IND,3.0,120.0,100,2,20.0,0.2,QMK,14484.0
2_100skus,a_parcels_sent,IND,3.0,120.0,100,3,20.0,0.2,QMK,14152.0
2_100skus,a_parcels_sent,IND,4.0,120.0,100,1,20.0,0.2,QMK,16999.0
2_100skus,a_parcels_sent,IND,4.0,120.0,100,2,20.0,0.2,QMK,17049.0
2_100skus,a_parcels_sent,IND,4.0,120.0,100,3,20.0,0.2,QMK,17098.0
2_100skus,a_parcels_sent,IND,2.0,200.0,200,1,0.0,0.0,QMK,13798.0
2_100skus,a_parcels_sent,IND,2.0,200.0,200,2,0.0,0.0,QMK,13229.0
2_100skus,a_parcels_sent,IND,2.0,200.0,200,3,0.0,0.0,QMK,12653.0
2_100skus,a_parcels_sent,IND,3.0,200.0,200,1,0.0,0.0,QMK,16568.0
2_100skus,a_parcels_sent,IND,3.0,200.0,200,2,0.0,0.0,QMK,16825.0
2_100skus,a_parcels_sent,IND,3.0,200.0,200,3,0.0,0.0,QMK,15911.0
2_100skus,a_parcels_sent,IND,4.0,200.0,200,1,0.0,0.0,QMK,18639.0
2_100skus,a_parcels_sent,IND,4.0,200.0,200,2,0.0,0.0,QMK,18204.0
2_100skus,a_parcels_sent,IND,4.0,200.0,200,3,0.0,0.0,QMK,17776.0
2_100skus,a_parcels_sent,IND,2.0,220.0,200,1,20.0,0.1,QMK,12998.0
2_100skus,a_parcels_sent,IND,2.0,220.0,200,2,20.0,0.1,QMK,12441.0
2_100skus,a_parcels_sent,IND,2.0,220.0,200,3,20.0,0.1,QMK,14034.0
2_100skus,a_parcels_sent,IND,3.0,220.0,200,1,20.0,0.1,QMK,15840.0
2_100skus,a_parcels_sent,IND,3.0,220.0,200,2,20.0,0.1,QMK,15372.0
2_100skus,a_parcels_sent,IND,3.0,220.0,200,3,20.0,0.1,QMK,15132.0
2_100skus,a_parcels_sent,IND,4.0,220.0,200,1,20.0,0.1,QMK,17911.0
2_100skus,a_parcels_sent,IND,4.0,220.0,200,2,20.0,0.1,QMK,17476.0
2_100skus,a_parcels_sent,IND,4.0,220.0,200,3,20.0,0.1,QMK,17584.0
2_100skus,a_parcels_sent,IND,2.0,240.0,200,1,40.0,0.2,QMK,12258.0
2_100skus,a_parcels_sent,IND,2.0,240.0,200,2,40.0,0.2,QMK,12712.0
2_100skus,a_parcels_sent,IND,2.0,240.0,200,3,40.0,0.2,QMK,13106.0
2_100skus,a_parcels_sent,IND,3.0,240.0,200,1,40.0,0.2,QMK,15047.0
2_100skus,a_parcels_sent,IND,3.0,240.0,200,2,40.0,0.2,QMK,14766.0
2_100skus,a_parcels_sent,IND,3.0,240.0,200,3,40.0,0.2,QMK,14290.0
2_100skus,a_parcels_sent,IND,4.0,240.0,200,1,40.0,0.2,QMK,17032.0
2_100skus,a_parcels_sent,IND,4.0,240.0,200,2,40.0,0.2,QMK,16866.0
2_100skus,a_parcels_sent,IND,4.0,240.0,200,3,40.0,0.2,QMK,17133.0
2_100skus,a_parcels_sent,IND,2.0,300.0,300,1,0.0,0.0,QMK,13779.0
2_100skus,a_parcels_sent,IND,2.0,300.0,300,2,0.0,0.0,QMK,13172.0
2_100skus,a_parcels_sent,IND,2.0,300.0,300,3,0.0,0.0,QMK,14847.0
2_100skus,a_parcels_sent,IND,3.0,300.0,300,1,0.0,0.0,QMK,16589.0
2_100skus,a_parcels_sent,IND,3.0,300.0,300,2,0.0,0.0,QMK,16093.0
2_100skus,a_parcels_sent,IND,3.0,300.0,300,3,0.0,0.0,QMK,15573.0
2_100skus,a_parcels_sent,IND,4.0,300.0,300,1,0.0,0.0,QMK,18531.0
2_100skus,a_parcels_sent,IND,4.0,300.0,300,2,0.0,0.0,QMK,18155.0
2_100skus,a_parcels_sent,IND,4.0,300.0,300,3,0.0,0.0,QMK,18063.0
2_100skus,a_parcels_sent,IND,2.0,330.0,300,1,30.0,0.1,QMK,12962.0
2_100skus,a_parcels_sent,IND,2.0,330.0,300,2,30.0,0.1,QMK,12377.0
2_100skus,a_parcels_sent,IND,2.0,330.0,300,3,30.0,0.1,QMK,11877.0
2_100skus,a_parcels_sent,IND,3.0,330.0,300,1,30.0,0.1,QMK,15824.0
2_100skus,a_parcels_sent,IND,3.0,330.0,300,2,30.0,0.1,QMK,15319.0
2_100skus,a_parcels_sent,IND,3.0,330.0,300,3,30.0,0.1,QMK,16144.0
2_100skus,a_parcels_sent,IND,4.0,330.0,300,1,30.0,0.1,QMK,17808.0
2_100skus,a_parcels_sent,IND,4.0,330.0,300,2,30.0,0.1,QMK,17409.0
2_100skus,a_parcels_sent,IND,4.0,330.0,300,3,30.0,0.1,QMK,16966.0
2_100skus,a_parcels_sent,IND,2.0,360.0,300,1,60.0,0.2,QMK,12194.0
2_100skus,a_parcels_sent,IND,2.0,360.0,300,2,60.0,0.2,QMK,11721.0
2_100skus,a_parcels_sent,IND,2.0,360.0,300,3,60.0,0.2,QMK,11242.0
2_100skus,a_parcels_sent,IND,3.0,360.0,300,1,60.0,0.2,QMK,14973.0
2_100skus,a_parcels_sent,IND,3.0,360.0,300,2,60.0,0.2,QMK,15164.0
2_100skus,a_parcels_sent,IND,3.0,360.0,300,3,60.0,0.2,QMK,13988.0
2_100skus,a_parcels_sent,IND,4.0,360.0,300,1,60.0,0.2,QMK,16994.0
2_100skus,a_parcels_sent,IND,4.0,360.0,300,2,60.0,0.2,QMK,16662.0
2_100skus,a_parcels_sent,IND,4.0,360.0,300,3,60.0,0.2,QMK,16279.0
2_100skus,a_parcels_sent,IND,2.0,400.0,400,1,0.0,0.0,QMK,13817.0
2_100skus,a_parcels_sent,IND,2.0,400.0,400,2,0.0,0.0,QMK,13259.0
2_100skus,a_parcels_sent,IND,2.0,400.0,400,3,0.0,0.0,QMK,12666.0
2_100skus,a_parcels_sent,IND,3.0,400.0,400,1,0.0,0.0,QMK,16533.0
2_100skus,a_parcels_sent,IND,3.0,400.0,400,2,0.0,0.0,QMK,16853.0
2_100skus,a_parcels_sent,IND,3.0,400.0,400,3,0.0,0.0,QMK,15918.0
2_100skus,a_parcels_sent,IND,4.0,400.0,400,1,0.0,0.0,QMK,18604.0
2_100skus,a_parcels_sent,IND,4.0,400.0,400,2,0.0,0.0,QMK,18176.0
2_100skus,a_parcels_sent,IND,4.0,400.0,400,3,0.0,0.0,QMK,17670.0
2_100skus,a_parcels_sent,IND,2.0,440.0,400,1,40.0,0.1,QMK,13016.0
2_100skus,a_parcels_sent,IND,2.0,440.0,400,2,40.0,0.1,QMK,12432.0
2_100skus,a_parcels_sent,IND,2.0,440.0,400,3,40.0,0.1,QMK,14035.0
2_100skus,a_parcels_sent,IND,3.0,440.0,400,1,40.0,0.1,QMK,15865.0
2_100skus,a_parcels_sent,IND,3.0,440.0,400,2,40.0,0.1,QMK,15461.0
2_100skus,a_parcels_sent,IND,3.0,440.0,400,3,40.0,0.1,QMK,15108.0
2_100skus,a_parcels_sent,IND,4.0,440.0,400,1,40.0,0.1,QMK,17859.0
2_100skus,a_parcels_sent,IND,4.0,440.0,400,2,40.0,0.1,QMK,17416.0
2_100skus,a_parcels_sent,IND,4.0,440.0,400,3,40.0,0.1,QMK,17597.0
2_100skus,a_parcels_sent,IND,2.0,480.0,400,1,80.0,0.2,QMK,12183.0
2_100skus,a_parcels_sent,IND,2.0,480.0,400,2,80.0,0.2,QMK,12691.0
2_100skus,a_parcels_sent,IND,2.0,480.0,400,3,80.0,0.2,QMK,13096.0
2_100skus,a_parcels_sent,IND,3.0,480.0,400,1,80.0,0.2,QMK,15108.0
2_100skus,a_parcels_sent,IND,3.0,480.0,400,2,80.0,0.2,QMK,14734.0
2_100skus,a_parcels_sent,IND,3.0,480.0,400,3,80.0,0.2,QMK,14322.0
2_100skus,a_parcels_sent,IND,4.0,480.0,400,1,80.0,0.2,QMK,17039.0
2_100skus,a_parcels_sent,IND,4.0,480.0,400,2,80.0,0.2,QMK,16847.0
2_100skus,a_parcels_sent,IND,4.0,480.0,400,3,80.0,0.2,QMK,17170.0
2_100skus,a_parcels_sent,IND,2.0,500.0,500,1,0.0,0.0,QMK,13854.0
2_100skus,a_parcels_sent,IND,2.0,500.0,500,2,0.0,0.0,QMK,14372.0
2_100skus,a_parcels_sent,IND,2.0,500.0,500,3,0.0,0.0,QMK,14855.0
2_100skus,a_parcels_sent,IND,3.0,500.0,500,1,0.0,0.0,QMK,16563.0
2_100skus,a_parcels_sent,IND,3.0,500.0,500,2,0.0,0.0,QMK,16124.0
2_100skus,a_parcels_sent,IND,3.0,500.0,500,3,0.0,0.0,QMK,15628.0
2_100skus,a_parcels_sent,IND,4.0,500.0,500,1,0.0,0.0,QMK,18600.0
2_100skus,a_parcels_sent,IND,4.0,500.0,500,2,0.0,0.0,QMK,18956.0
2_100skus,a_parcels_sent,IND,4.0,500.0,500,3,0.0,0.0,QMK,18048.0
2_100skus,a_parcels_sent,IND,2.0,550.0,500,1,50.0,0.1,QMK,13001.0
2_100skus,a_parcels_sent,IND,2.0,550.0,500,2,50.0,0.1,QMK,13565.0
2_100skus,a_parcels_sent,IND,2.0,550.0,500,3,50.0,0.1,QMK,14026.0
2_100skus,a_parcels_sent,IND,3.0,550.0,500,1,50.0,0.1,QMK,15867.0
2_100skus,a_parcels_sent,IND,3.0,550.0,500,2,50.0,0.1,QMK,15377.0
2_100skus,a_parcels_sent,IND,3.0,550.0,500,3,50.0,0.1,QMK,15104.0
2_100skus,a_parcels_sent,IND,4.0,550.0,500,1,50.0,0.1,QMK,17961.0
2_100skus,a_parcels_sent,IND,4.0,550.0,500,2,50.0,0.1,QMK,17652.0
2_100skus,a_parcels_sent,IND,4.0,550.0,500,3,50.0,0.1,QMK,17353.0
2_100skus,a_parcels_sent,IND,2.0,600.0,500,1,100.0,0.2,QMK,12234.0
2_100skus,a_parcels_sent,IND,2.0,600.0,500,2,100.0,0.2,QMK,11706.0
2_100skus,a_parcels_sent,IND,2.0,600.0,500,3,100.0,0.2,QMK,13147.0
2_100skus,a_parcels_sent,IND,3.0,600.0,500,1,100.0,0.2,QMK,15080.0
2_100skus,a_parcels_sent,IND,3.0,600.0,500,2,100.0,0.2,QMK,14738.0
2_100skus,a_parcels_sent,IND,3.0,600.0,500,3,100.0,0.2,QMK,14299.0
2_100skus,a_parcels_sent,IND,4.0,600.0,500,1,100.0,0.2,QMK,17014.0
2_100skus,a_parcels_sent,IND,4.0,600.0,500,2,100.0,0.2,QMK,16828.0
2_100skus,a_parcels_sent,IND,4.0,600.0,500,3,100.0,0.2,QMK,16604.0
2_100skus,a_parcels_sent,IND,2.0,600.0,600,1,0.0,0.0,QMK,13835.0
2_100skus,a_parcels_sent,IND,2.0,600.0,600,2,0.0,0.0,QMK,13211.0
2_100skus,a_parcels_sent,IND,2.0,600.0,600,3,0.0,0.0,QMK,14877.0
2_100skus,a_parcels_sent,IND,3.0,600.0,600,1,0.0,0.0,QMK,16589.0
2_100skus,a_parcels_sent,IND,3.0,600.0,600,2,0.0,0.0,QMK,16147.0
2_100skus,a_parcels_sent,IND,3.0,600.0,600,3,0.0,0.0,QMK,15648.0
2_100skus,a_parcels_sent,IND,4.0,600.0,600,1,0.0,0.0,QMK,18644.0
2_100skus,a_parcels_sent,IND,4.0,600.0,600,2,0.0,0.0,QMK,18184.0
2_100skus,a_parcels_sent,IND,4.0,600.0,600,3,0.0,0.0,QMK,18135.0
2_100skus,a_parcels_sent,IND,2.0,660.0,600,1,60.0,0.1,QMK,12991.0
2_100skus,a_parcels_sent,IND,2.0,660.0,600,2,60.0,0.1,QMK,12432.0
2_100skus,a_parcels_sent,IND,2.0,660.0,600,3,60.0,0.1,QMK,11888.0
2_100skus,a_parcels_sent,IND,3.0,660.0,600,1,60.0,0.1,QMK,15937.0
2_100skus,a_parcels_sent,IND,3.0,660.0,600,2,60.0,0.1,QMK,15443.0
2_100skus,a_parcels_sent,IND,3.0,660.0,600,3,60.0,0.1,QMK,15523.0
2_100skus,a_parcels_sent,IND,4.0,660.0,600,1,60.0,0.1,QMK,17918.0
2_100skus,a_parcels_sent,IND,4.0,660.0,600,2,60.0,0.1,QMK,17539.0
2_100skus,a_parcels_sent,IND,4.0,660.0,600,3,60.0,0.1,QMK,17291.0
2_100skus,a_parcels_sent,IND,2.0,720.0,600,1,120.0,0.2,QMK,12171.0
2_100skus,a_parcels_sent,IND,2.0,720.0,600,2,120.0,0.2,QMK,11673.0
2_100skus,a_parcels_sent,IND,2.0,720.0,600,3,120.0,0.2,QMK,11238.0
2_100skus,a_parcels_sent,IND,3.0,720.0,600,1,120.0,0.2,QMK,15078.0
2_100skus,a_parcels_sent,IND,3.0,720.0,600,2,120.0,0.2,QMK,14817.0
2_100skus,a_parcels_sent,IND,3.0,720.0,600,3,120.0,0.2,QMK,14066.0
2_100skus,a_parcels_sent,IND,4.0,720.0,600,1,120.0,0.2,QMK,17006.0
2_100skus,a_parcels_sent,IND,4.0,720.0,600,2,120.0,0.2,QMK,16786.0
2_100skus,a_parcels_sent,IND,4.0,720.0,600,3,120.0,0.2,QMK,16409.0
2_100skus,a_parcels_sent,IND,2.0,700.0,700,1,0.0,0.0,QMK,13850.0
2_100skus,a_parcels_sent,IND,2.0,700.0,700,2,0.0,0.0,QMK,13305.0
2_100skus,a_parcels_sent,IND,2.0,700.0,700,3,0.0,0.0,QMK,12698.0
2_100skus,a_parcels_sent,IND,3.0,700.0,700,1,0.0,0.0,QMK,16712.0
2_100skus,a_parcels_sent,IND,3.0,700.0,700,2,0.0,0.0,QMK,16899.0
2_100skus,a_parcels_sent,IND,3.0,700.0,700,3,0.0,0.0,QMK,17108.0
2_100skus,a_parcels_sent,IND,4.0,700.0,700,1,0.0,0.0,QMK,18749.0
2_100skus,a_parcels_sent,IND,4.0,700.0,700,2,0.0,0.0,QMK,18285.0
2_100skus,a_parcels_sent,IND,4.0,700.0,700,3,0.0,0.0,QMK,17814.0
2_100skus,a_parcels_sent,IND,2.0,770.0,700,1,70.0,0.1,QMK,13079.0
2_100skus,a_parcels_sent,IND,2.0,770.0,700,2,70.0,0.1,QMK,12450.0
2_100skus,a_parcels_sent,IND,2.0,770.0,700,3,70.0,0.1,QMK,11907.0
2_100skus,a_parcels_sent,IND,3.0,770.0,700,1,70.0,0.1,QMK,16027.0
2_100skus,a_parcels_sent,IND,3.0,770.0,700,2,70.0,0.1,QMK,16416.0
2_100skus,a_parcels_sent,IND,3.0,770.0,700,3,70.0,0.1,QMK,15242.0
2_100skus,a_parcels_sent,IND,4.0,770.0,700,1,70.0,0.1,QMK,17981.0
2_100skus,a_parcels_sent,IND,4.0,770.0,700,2,70.0,0.1,QMK,17611.0
2_100skus,a_parcels_sent,IND,4.0,770.0,700,3,70.0,0.1,QMK,17242.0
2_100skus,a_parcels_sent,IND,2.0,840.0,700,1,140.0,0.2,QMK,12254.0
2_100skus,a_parcels_sent,IND,2.0,840.0,700,2,140.0,0.2,QMK,11736.0
2_100skus,a_parcels_sent,IND,2.0,840.0,700,3,140.0,0.2,QMK,11254.0
2_100skus,a_parcels_sent,IND,3.0,840.0,700,1,140.0,0.2,QMK,15140.0
2_100skus,a_parcels_sent,IND,3.0,840.0,700,2,140.0,0.2,QMK,15324.0
2_100skus,a_parcels_sent,IND,3.0,840.0,700,3,140.0,0.2,QMK,14388.0
2_100skus,a_parcels_sent,IND,4.0,840.0,700,1,140.0,0.2,QMK,17097.0
2_100skus,a_parcels_sent,IND,4.0,840.0,700,2,140.0,0.2,QMK,16901.0
2_100skus,a_parcels_sent,IND,4.0,840.0,700,3,140.0,0.2,QMK,16467.0
2_100skus,a_parcels_sent,IND,2.0,800.0,800,1,0.0,0.0,QMK,13834.0
2_100skus,a_parcels_sent,IND,2.0,800.0,800,2,0.0,0.0,QMK,13269.0
2_100skus,a_parcels_sent,IND,2.0,800.0,800,3,0.0,0.0,QMK,12676.0
2_100skus,a_parcels_sent,IND,3.0,800.0,800,1,0.0,0.0,QMK,16718.0
2_100skus,a_parcels_sent,IND,3.0,800.0,800,2,0.0,0.0,QMK,16946.0
2_100skus,a_parcels_sent,IND,3.0,800.0,800,3,0.0,0.0,QMK,15970.0
2_100skus,a_parcels_sent,IND,4.0,800.0,800,1,0.0,0.0,QMK,18723.0
2_100skus,a_parcels_sent,IND,4.0,800.0,800,2,0.0,0.0,QMK,18287.0
2_100skus,a_parcels_sent,IND,4.0,800.0,800,3,0.0,0.0,QMK,17828.0
2_100skus,a_parcels_sent,IND,2.0,880.0,800,1,80.0,0.1,QMK,13033.0
2_100skus,a_parcels_sent,IND,2.0,880.0,800,2,80.0,0.1,QMK,12466.0
2_100skus,a_parcels_sent,IND,2.0,880.0,800,3,80.0,0.1,QMK,14105.0
2_100skus,a_parcels_sent,IND,3.0,880.0,800,1,80.0,0.1,QMK,15996.0
2_100skus,a_parcels_sent,IND,3.0,880.0,800,2,80.0,0.1,QMK,15661.0
2_100skus,a_parcels_sent,IND,3.0,880.0,800,3,80.0,0.1,QMK,15218.0
