wareh,capacity,buffer,QMKO,QMK,CHIM,CHI,KL,KLQ,GO,GP,GS,BS,OPT,RND
2.0,40.0,0.0,13129.0,13129.0,13129.0,13129.0,13129.0,13129.0,14602.0,13338.0,13844.0,13844.0,13129.0,15438.0
2.0,40.0,0.0,12594.0,12594.0,12594.0,12594.0,12594.0,12594.0,14029.0,12937.0,13439.0,13439.0,12594.0,15374.0
2.0,40.0,0.0,12044.0,12044.0,12044.0,12044.0,12044.0,12044.0,12733.0,12298.0,12952.0,12952.0,12044.0,15284.0
3.0,40.0,0.0,15774.0,15688.0,15688.0,15688.0,15938.0,15688.0,17079.0,15787.0,16904.0,16904.0,15774.0,18470.0
3.0,40.0,0.0,15437.0,15181.0,15181.0,15181.0,15464.0,15181.0,16219.0,15279.0,16632.0,16632.0,15243.0,18369.0
3.0,40.0,0.0,15066.0,15786.0,14848.0,14843.0,15057.0,15786.0,16128.0,14931.0,16137.0,16137.0,14904.0,18371.0
4.0,40.0,0.0,18202.0,17919.0,17944.0,17883.0,18022.0,17919.0,19159.0,18070.0,19233.0,19233.0,17883.0,20412.0
4.0,40.0,0.0,17927.0,17497.0,17490.0,17490.0,17817.0,17497.0,18946.0,17606.0,19326.0,19326.0,17445.0,20367.0
4.0,40.0,0.0,17042.0,17010.0,16878.0,16845.0,17343.0,17010.0,18162.0,17033.0,18952.0,18952.0,16856.0,20224.0
2.0,48.0,8.0,11676.0,11636.0,11636.0,11636.0,12044.0,11636.0,12150.0,11866.0,11636.0,11820.0,11734.0,14369.0
2.0,48.0,8.0,11355.0,11298.0,11298.0,11298.0,11572.0,11298.0,11969.0,11422.0,11298.0,11442.0,11409.0,14298.0
2.0,48.0,8.0,10822.0,10822.0,10822.0,10822.0,10972.0,10822.0,10903.0,11013.0,10822.0,10934.0,10860.0,14029.0
3.0,48.0,8.0,14163.0,14163.0,14455.0,14479.0,15200.0,14163.0,15293.0,14465.0,14952.0,14775.0,14695.0,17169.0
3.0,48.0,8.0,13681.0,13715.0,13821.0,13862.0,14407.0,13715.0,15082.0,14093.0,14084.0,14052.0,14171.0,17196.0
3.0,48.0,8.0,13259.0,13476.0,13486.0,13486.0,13907.0,13476.0,14926.0,13765.0,14112.0,13709.0,13698.0,17063.0
4.0,48.0,8.0,16582.0,16241.0,16460.0,16395.0,16827.0,16241.0,17056.0,16708.0,16798.0,16876.0,17361.0,19067.0
4.0,48.0,8.0,16219.0,15913.0,16049.0,15905.0,16686.0,15913.0,17035.0,16298.0,16744.0,16556.0,16976.0,19076.0
4.0,48.0,8.0,16002.0,15653.0,15690.0,15690.0,16162.0,15653.0,16845.0,15860.0,16640.0,16193.0,16370.0,19047.0
