wareh,capacity,buffer,QMKO,QMK,CHIM,CHI,KL,KLQ,GO,GP,GS,BS,OPT,RND
2.0,40.0,0.0,12741.0,12741.0,12741.0,12741.0,12741.0,12741.0,13408.0,12741.0,13582.0,13582.0,12741.0,15463.0
2.0,40.0,0.0,12141.0,12141.0,12141.0,12141.0,12141.0,12141.0,12948.0,12141.0,14106.0,14106.0,12141.0,15418.0
2.0,40.0,0.0,11613.0,11613.0,11613.0,11613.0,11613.0,11613.0,12103.0,11613.0,14634.0,14634.0,11613.0,15268.0
3.0,40.0,0.0,15541.0,15256.0,15259.0,15259.0,15665.0,15256.0,16292.0,15284.0,16803.0,16803.0,15256.0,18489.0
3.0,40.0,0.0,14851.0,14781.0,14781.0,14781.0,15385.0,14781.0,15860.0,14788.0,16524.0,16524.0,14766.0,18408.0
3.0,40.0,0.0,14499.0,15382.0,14389.0,14389.0,14654.0,15382.0,15764.0,14389.0,16325.0,16325.0,14389.0,18395.0
4.0,40.0,0.0,17745.0,17519.0,17465.0,17475.0,17740.0,17519.0,18329.0,17483.0,19146.0,19146.0,17493.0,20427.0
4.0,40.0,0.0,17609.0,17032.0,17015.0,17032.0,17675.0,17032.0,18108.0,17015.0,19025.0,19025.0,17015.0,20409.0
4.0,40.0,0.0,16874.0,16672.0,16431.0,16431.0,17165.0,16672.0,17407.0,16431.0,19099.0,19099.0,16431.0,20265.0
2.0,48.0,8.0,11285.0,11285.0,11285.0,11285.0,11613.0,11285.0,11653.0,11285.0,11285.0,11473.0,11285.0,14359.0
2.0,48.0,8.0,10914.0,10914.0,10914.0,10914.0,11159.0,10914.0,11266.0,10914.0,11683.0,11061.0,10959.0,14297.0
2.0,48.0,8.0,10539.0,10539.0,10539.0,10539.0,10667.0,10539.0,10816.0,10539.0,12292.0,10644.0,10560.0,13987.0
3.0,48.0,8.0,13816.0,13794.0,14122.0,13961.0,14365.0,13794.0,14763.0,14122.0,14839.0,14427.0,14259.0,17200.0
3.0,48.0,8.0,13217.0,13298.0,13426.0,13430.0,13876.0,13298.0,14374.0,13426.0,14346.0,13708.0,13751.0,17221.0
3.0,48.0,8.0,13006.0,13063.0,13142.0,13118.0,13463.0,13063.0,13959.0,13069.0,14104.0,13346.0,13283.0,17073.0
4.0,48.0,8.0,16106.0,15878.0,16200.0,15968.0,16474.0,15878.0,16458.0,16205.0,16633.0,16631.0,16961.0,19101.0
4.0,48.0,8.0,15801.0,15536.0,15747.0,15703.0,16531.0,15536.0,16230.0,15747.0,16516.0,16272.0,16624.0,19089.0
4.0,48.0,8.0,15456.0,15203.0,15327.0,15327.0,16046.0,15203.0,15878.0,15353.0,16419.0,15817.0,15963.0,19064.0
