wareh,capacity,buffer,QMKO,QMK,CHIM,CHI,KL,KLQ,GO,GP,GS,BS,OPT,RND
2.0,40.0,0.0,3614.4031999,24.7046555,0.7915755,1.0494635,1.929922,24.9283857,0.0698083,0.2792874,0.7348684,0.0009839,3608.8091322,0.6667944
2.0,40.0,0.0,3602.7226338,63.2658552,0.7459843,0.5471932,2.0288693,54.0211481,0.0179222,0.0009822,0.0011834,0.0008802,3609.0722088,0.0774782
2.0,40.0,0.0,3604.1545456,58.8608847,0.3903127,0.4289885,1.9822434,59.866362,0.0161469,0.0008757,0.0009853,0.0010017,3607.2692475,0.0691038
3.0,40.0,0.0,3601.8471807,501.0319549,0.4274419,0.3753665,0.6571467,140.3287123,0.0150606,0.0012464,0.0013877,0.0013026,3607.7628661,0.090481
3.0,40.0,0.0,3605.3873946,558.4223339,1.8589058,1.8909804,1.3712566,786.0024026,0.048377,0.0017498,0.0014383,0.0337665,3615.6431014,0.0895629
3.0,40.0,0.0,3603.5435903,833.369185,1.94281,2.505761,1.6154068,777.6806974,0.0133314,0.0015645,0.0018249,0.0017981,3620.0792717,0.0969094
4.0,40.0,0.0,3601.9286683,721.6295136,1.197816,1.2690987,1.4927941,886.0481158,0.0170615,0.0010962,0.0011265,0.0015559,3614.1235383,0.0925935
4.0,40.0,0.0,3610.9985983,958.412757,2.1254836,1.8216025,1.6773133,879.7043671,0.0495665,0.0011154,0.0017003,0.0014927,3615.1451741,0.0603612
4.0,40.0,0.0,3603.5964616,692.9035825,0.5309152,0.7020102,1.0031022,687.6949942,0.0287643,0.0012062,0.001337,0.0011093,3609.5970718,0.0448622
2.0,48.0,8.0,3601.0704035,122.4736805,0.5873447,0.7198993,1.0127579,125.3972997,0.0512973,0.0014535,0.0009817,0.0014732,3746.3996252,0.5998652
2.0,48.0,8.0,3600.9086756,660.9704994,1.3334483,0.9273935,1.481911,757.0380557,0.0406697,0.0039897,0.0023598,0.0011888,3817.5278954,0.3521298
2.0,48.0,8.0,3623.1585471,182.1519792,0.4075649,0.5137917,1.6440759,174.1400337,0.0504693,0.0013851,0.0019757,0.0010542,3763.7280421,0.2231714
3.0,48.0,8.0,3630.9129222,797.6126967,1.2563425,1.176337,1.8381374,384.7044744,0.0365645,0.0024434,0.0061088,0.001334,3777.3330686,0.4169491
3.0,48.0,8.0,3617.2224475,107.403926,0.5389011,0.5586132,0.5127277,96.4285164,0.0111579,0.0015473,0.0008758,0.0007158,3667.7235796,0.2218066
3.0,48.0,8.0,3603.3074586,58.1042682,0.1793052,0.1787364,0.3147902,54.3413376,0.0107347,0.0008141,0.0007703,0.0007694,3653.8519304,0.2336868
4.0,48.0,8.0,3603.3874919,76.6470604,0.1688416,0.1783454,0.3057883,79.6698028,0.0108215,0.0007223,0.0007641,0.0006965,3679.9960854,0.3927285
4.0,48.0,8.0,3603.6069582,75.5300578,0.169523,0.1781232,0.2998665,72.5805625,0.0108993,0.0006882,0.0008006,0.0007731,3680.3192346,0.3773331
4.0,48.0,8.0,3607.3167932,73.2760102,0.1732828,0.1771927,0.3039019,74.6172807,0.010879,0.0006776,0.0007772,0.0006843,3679.8130179,0.3749012
