wareh,capacity,buffer,QMKO,QMK,CHIM,CHI,KL,KLQ,GO,GP,GS,BS,OPT,RND
2.0,40.0,0.0,42.9073134,0.5275581,0.8089476,1.1324073,0.9723465,0.787135,0.0471486,0.2393971,1.5687944,0.0009564,295.4189013,0.238583
2.0,40.0,0.0,16.7829882,0.5040435,0.5673466,0.4443439,1.0289314,1.4114948,0.0250632,0.0011932,0.0010576,0.001116,211.0023123,0.0191133
2.0,40.0,0.0,18.3413963,0.5983633,0.4186651,0.4343146,1.5272621,0.8008915,0.0161437,0.0010812,0.0008674,0.0009067,118.6634366,0.0189427
3.0,40.0,0.0,3603.0279539,1.1277627,0.8839074,0.7886987,0.803779,0.8787124,0.0408772,0.0013054,0.0012449,0.0011083,3611.2534634,0.0765928
3.0,40.0,0.0,3601.9375195,2.282884,0.9711675,1.3579086,1.3666398,2.5096918,0.0473691,0.0013268,0.0014047,0.0015115,3611.6075657,0.0738378
3.0,40.0,0.0,3601.4765759,0.8441137,1.3939721,1.3639881,1.4254662,1.3798046,0.013781,0.001652,0.0012518,0.0019446,3610.7659037,0.0295039
4.0,40.0,0.0,3601.1532613,0.6228755,0.4358717,0.4194019,0.6051517,0.5477063,0.0121559,0.0009878,0.0009444,0.0008796,3610.6629591,0.649827
4.0,40.0,0.0,3601.4807692,2.8565291,0.5844975,0.5113457,0.7958897,2.5440742,0.0149307,0.0011672,0.0010801,0.0011752,3611.4529443,0.2932406
4.0,40.0,0.0,3601.583332,3.0163465,1.0691433,0.4767519,1.6248755,3.4553632,0.0226246,0.0011887,0.0010915,0.0009549,3612.4773786,0.3049685
2.0,48.0,8.0,3385.7682268,1.1616543,0.711665,0.4800379,0.8306664,1.0485089,0.0163645,0.0010658,0.0008344,0.0010593,3724.8910792,0.2336126
2.0,48.0,8.0,1359.4146138,1.0248226,0.8149915,0.7928011,0.970901,1.0432133,0.0377974,0.0011639,0.0012586,0.0008981,3785.4802809,0.4536959
2.0,48.0,8.0,770.0829833,1.9437517,1.0982481,1.2025044,1.4184189,1.2510315,0.0144539,0.0011123,0.0013661,0.0009266,3763.1386806,0.327682
3.0,48.0,8.0,3657.3775107,5.2522346,1.7346921,1.6703799,1.2906854,2.8065305,0.0485709,0.0014437,0.0017027,0.0010961,3924.4179424,0.8995834
3.0,48.0,8.0,3603.1971769,0.6380942,0.8449569,0.9162656,0.9436752,0.6811815,0.0132812,0.0014543,0.0017418,0.001229,3858.6628777,0.9229839
3.0,48.0,8.0,3636.7360102,1.063837,0.9619021,1.0512574,4.2035923,0.9102559,0.0131397,0.0012571,0.001114,0.0009245,3897.6400599,0.9516666
4.0,48.0,8.0,3675.1317045,28.6553536,1.6846638,0.911845,1.3227991,26.6994077,0.0500207,0.0012209,0.011349,0.0392976,4041.4857205,1.006477
4.0,48.0,8.0,3659.6351529,7.8127659,1.2207097,0.9615352,1.0854784,8.0645464,0.0123964,0.0014398,0.0016786,0.0086912,3956.8530686,1.1108721
4.0,48.0,8.0,3655.6004128,0.5853356,0.5220714,0.5328607,0.5963625,0.47694,0.0134131,0.0014258,0.0015913,0.0010742,3904.7513904,0.9396915
