wareh,capacity,buffer,QMKO,QMK,CHIM,CHI,KL,KLQ,GO,GP,GS,BS,OPT,RND
2.0,40.0,0.0,49.6774824,0.4920003,0.8551185,1.0254772,0.9478708,0.6599149,0.016077,0.197749,2.023206,0.0010752,291.1832284,0.40751
2.0,40.0,0.0,20.6353867,0.8549736,0.8218322,0.7371188,1.0823408,0.7847408,0.0147925,0.0011147,0.0010919,0.0009539,170.6948792,0.0221321
2.0,40.0,0.0,15.2499298,2.4556754,0.3402289,0.4037533,1.1981849,0.5739563,0.0367233,0.0010643,0.0007062,0.0008891,102.2207718,0.020216
3.0,40.0,0.0,3601.6722138,0.8316037,0.4439415,0.5378499,0.7314872,1.1929272,0.0147185,0.0009773,0.0011235,0.0011044,3610.2399906,0.07573
3.0,40.0,0.0,3602.3924889,0.9173012,0.5803401,0.7781703,0.7804384,1.0606212,0.0493224,0.0012398,0.00128,0.0010999,3611.8491861,0.0853451
3.0,40.0,0.0,3602.9025457,1.7658185,1.0254007,1.2405799,1.0059503,1.5893317,0.0473458,0.0012604,0.0011381,0.0011202,3611.5149138,0.0777436
4.0,40.0,0.0,4107.3047389,3.7526003,1.410812,1.2824802,0.8750299,3.5317327,0.0133698,0.0017867,0.0056972,0.001425,3620.9602629,0.3286709
4.0,40.0,0.0,3641.6754433,1.8826538,0.9716136,1.1784056,0.9421942,1.9071877,0.0273196,0.0017085,0.0010908,0.001399,3619.3486465,0.6052987
4.0,40.0,0.0,3635.7526532,2.4818921,1.6068453,1.5265564,1.199465,2.7780334,0.0139362,0.0014383,0.0013654,0.0012659,3615.3753736,0.2900445
2.0,48.0,8.0,3607.1118553,3.0427902,1.3117792,1.3807793,1.3291351,2.680749,0.0185572,0.0011793,0.0011201,0.0009689,3782.6195448,0.5076295
2.0,48.0,8.0,1403.9896451,1.9487812,1.0890727,1.1405436,0.7315983,1.3880306,0.0305141,0.0014231,0.0013181,0.0011575,3749.1021958,0.26222
2.0,48.0,8.0,606.6981666,1.6305812,1.1461746,0.9525487,0.7016989,2.2831552,0.0136156,0.0013153,0.0013211,0.0012003,3749.897935,0.2814
3.0,48.0,8.0,3602.7372774,8.68522,1.0752319,0.7975019,0.8388133,8.7205122,0.0307993,0.0013373,0.0023701,0.0012092,3790.2149656,0.4263755
3.0,48.0,8.0,3644.1401795,1.9489818,1.0496757,0.8534393,0.5408763,1.8009745,0.0135927,0.0012196,0.0016265,0.0013898,3808.9262383,0.5703598
3.0,48.0,8.0,3604.4389282,3.1132863,1.3124562,1.3157357,0.9129239,2.6298295,0.0425244,0.0014537,0.0012974,0.0011192,3778.180388,0.717008
4.0,48.0,8.0,3669.031067,14.8715566,0.6574069,0.7131808,0.5511153,16.75699,0.0126271,0.0016988,0.0014438,0.0011356,3970.8022855,1.7939418
4.0,48.0,8.0,3645.7343286,6.4007269,0.4681245,0.5201641,0.5626234,7.9657726,0.0131818,0.0039449,0.001835,0.0011147,3949.3302613,1.3132687
4.0,48.0,8.0,3629.6207696,29.6545359,0.2942283,0.308492,0.853007,24.7805229,0.0126445,0.0011127,0.0036618,0.0008853,3857.818853,0.8788199
