wareh,capacity,buffer,QMKO,QMK,CHIM,CHI,KL,KLQ,GO,GP,GS,BS,OPT
2.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,40.0,0.0,1.1875236843312098e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,40.0,0.0,0.3207969474521648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16474538952422274
3.0,40.0,0.0,0.2470535309343428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13267819338244768
3.0,40.0,0.0,0.22929987616799463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11063337438882645
4.0,40.0,0.0,1.261060414856736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.296337148798395
4.0,40.0,0.0,1.127618503808372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3348951490839324
4.0,40.0,0.0,0.917746131156649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3007413541543509
2.0,48.0,8.0,0.06241111230144298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1463206419668411
2.0,48.0,8.0,0.03636897780349847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12303779707094614
2.0,48.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08071336642757398
3.0,48.0,8.0,0.3343613927989281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3556285843159176
3.0,48.0,8.0,0.2441179682536344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3207905997419002
3.0,48.0,8.0,0.2103217783614093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29293643498546285
4.0,48.0,8.0,0.7571286804948226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.445952684359158
4.0,48.0,8.0,0.7134784467999101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.435793274655814
4.0,48.0,8.0,0.638066862817357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4204242494492991
