wareh,capacity,buffer,QMKO,QMK,CHIM,CHI,KL,KLQ,GO,GP,GS,BS,OPT
2.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,40.0,0.0,1.182928661957249e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,40.0,0.0,0.2749729458096263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14089838039748487
3.0,40.0,0.0,0.18661539693281648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14384233401814225
3.0,40.0,0.0,0.11582373596104512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0948895434462449
4.0,40.0,0.0,1.1398844762118638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24712952213166808
4.0,40.0,0.0,1.0091362985037047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3029072119710532
4.0,40.0,0.0,0.8855709012521527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28728936643656394
2.0,48.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11660777385152413
2.0,48.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08958485069190285
2.0,48.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05428409305844038
3.0,48.0,8.0,0.2736070646524453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3237760346225982
3.0,48.0,8.0,0.19670799542540993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2844364937387507
3.0,48.0,8.0,0.1826808885422858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25705794947989324
4.0,48.0,8.0,0.703478013105434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4444444444444442
4.0,48.0,8.0,0.619544954844474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4327850255245602
4.0,48.0,8.0,0.5541481417654079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40008398824163655
