wareh,capacity,buffer,QMK,CHIM,CHI,KL,KLQ,GO,GP,GS,BS,RND
2.0,100.0,0.0,13077.0,13132.0,13132.0,14165.0,13077.0,14579.0,13535.0,13451.0,13451.0,15461.0
2.0,100.0,0.0,12540.0,12525.0,12525.0,14173.0,12540.0,13960.0,12988.0,12931.0,12931.0,15416.0
2.0,100.0,0.0,11952.0,11959.0,11952.0,13448.0,11952.0,13691.0,12654.0,12401.0,12401.0,15288.0
3.0,100.0,0.0,15796.0,15758.0,15758.0,17319.0,15796.0,17318.0,16507.0,16303.0,16303.0,18571.0
3.0,100.0,0.0,16310.0,15290.0,15285.0,16883.0,16310.0,16866.0,15985.0,15902.0,15902.0,18519.0
3.0,100.0,0.0,15619.0,14836.0,14836.0,16664.0,15619.0,16652.0,15519.0,15486.0,15486.0,18424.0
4.0,100.0,0.0,17885.0,17908.0,17820.0,19009.0,17885.0,19362.0,18398.0,18529.0,18529.0,20511.0
4.0,100.0,0.0,17207.0,17252.0,17230.0,18956.0,17207.0,18955.0,17948.0,18225.0,18225.0,20457.0
4.0,100.0,0.0,16813.0,16861.0,16844.0,18857.0,16813.0,18605.0,17555.0,18117.0,18117.0,20400.0
2.0,120.0,20.0,11573.0,11588.0,11573.0,13456.0,11573.0,12681.0,12103.0,11588.0,11680.0,14410.0
2.0,120.0,20.0,12071.0,11163.0,11163.0,13341.0,12071.0,12154.0,11649.0,11163.0,11241.0,14305.0
2.0,120.0,20.0,12501.0,10842.0,10842.0,13691.0,12501.0,11512.0,11092.0,10819.0,10879.0,14082.0
3.0,120.0,20.0,14198.0,14456.0,14456.0,16104.0,14198.0,15344.0,15002.0,14755.0,14580.0,17250.0
3.0,120.0,20.0,13618.0,13912.0,13912.0,16323.0,13618.0,15118.0,14446.0,14220.0,14034.0,17298.0
3.0,120.0,20.0,13377.0,13383.0,13383.0,16066.0,13377.0,14654.0,13828.0,13678.0,13466.0,17179.0
4.0,120.0,20.0,16214.0,16341.0,16341.0,18503.0,16214.0,17380.0,17002.0,16486.0,16621.0,19162.0
4.0,120.0,20.0,16099.0,15818.0,15818.0,18544.0,16099.0,17041.0,16619.0,16362.0,16148.0,19204.0
4.0,120.0,20.0,16255.0,15379.0,15379.0,18033.0,16255.0,16644.0,16252.0,16049.0,15653.0,19108.0
2.0,200.0,0.0,13211.0,13207.0,13173.0,15204.0,13211.0,14685.0,14081.0,13361.0,13361.0,15547.0
2.0,200.0,0.0,12606.0,12622.0,12622.0,14852.0,12606.0,14174.0,13394.0,12751.0,12751.0,15506.0
2.0,200.0,0.0,12024.0,12024.0,12024.0,14170.0,12024.0,13566.0,12854.0,12233.0,12233.0,15380.0
3.0,200.0,0.0,15928.0,15903.0,15932.0,18266.0,15928.0,17385.0,16740.0,16172.0,16172.0,18717.0
3.0,200.0,0.0,16247.0,15478.0,15488.0,18087.0,16247.0,16933.0,16283.0,16101.0,16101.0,18706.0
3.0,200.0,0.0,16598.0,14875.0,14893.0,17529.0,16598.0,16329.0,15656.0,15921.0,15921.0,18593.0
4.0,200.0,0.0,18039.0,18016.0,17917.0,20296.0,18039.0,19412.0,18738.0,18373.0,18373.0,20738.0
4.0,200.0,0.0,17493.0,17534.0,17494.0,20209.0,17493.0,19061.0,18266.0,18104.0,18104.0,20703.0
4.0,200.0,0.0,16968.0,17038.0,16952.0,19981.0,16968.0,18783.0,17914.0,18494.0,18494.0,20647.0
2.0,240.0,40.0,11663.0,11637.0,11663.0,14851.0,11663.0,12649.0,12219.0,11643.0,11671.0,14487.0
2.0,240.0,40.0,12165.0,11204.0,11204.0,14941.0,12165.0,12203.0,11663.0,11179.0,11219.0,14409.0
2.0,240.0,40.0,12579.0,10829.0,10819.0,14805.0,12579.0,11419.0,11176.0,10824.0,10835.0,14127.0
3.0,240.0,40.0,14213.0,14497.0,14256.0,17935.0,14213.0,15293.0,15108.0,14541.0,14478.0,17463.0
3.0,240.0,40.0,13860.0,13931.0,13992.0,17315.0,13860.0,14972.0,14722.0,14601.0,13927.0,17450.0
3.0,240.0,40.0,13450.0,13482.0,13493.0,17529.0,13450.0,14686.0,14356.0,14605.0,13436.0,17350.0
4.0,240.0,40.0,16290.0,16428.0,16428.0,19708.0,16290.0,17437.0,17144.0,16709.0,16736.0,19406.0
4.0,240.0,40.0,16118.0,15966.0,15966.0,19388.0,16118.0,17185.0,16819.0,16340.0,16152.0,19403.0
4.0,240.0,40.0,16372.0,15464.0,15464.0,19634.0,16372.0,16773.0,16442.0,16106.0,15621.0,19309.0
2.0,300.0,0.0,13076.0,13104.0,13076.0,15238.0,13076.0,14594.0,13873.0,13191.0,13191.0,15457.0
2.0,300.0,0.0,12474.0,12503.0,12486.0,15049.0,12474.0,13962.0,13277.0,13747.0,13747.0,15420.0
2.0,300.0,0.0,14239.0,11958.0,11952.0,14630.0,14239.0,13140.0,12706.0,14317.0,14317.0,15262.0
3.0,300.0,0.0,15820.0,15881.0,15815.0,18328.0,15820.0,17237.0,16585.0,15977.0,15977.0,18574.0
3.0,300.0,0.0,15249.0,15277.0,15242.0,18160.0,15249.0,16846.0,16225.0,15832.0,15832.0,18531.0
3.0,300.0,0.0,14707.0,14735.0,14690.0,17853.0,14707.0,16416.0,15786.0,15697.0,15697.0,18438.0
4.0,300.0,0.0,17855.0,17920.0,17783.0,20162.0,17855.0,19227.0,18450.0,18063.0,18063.0,20531.0
4.0,300.0,0.0,17447.0,17490.0,17368.0,20109.0,17447.0,18920.0,18218.0,18006.0,18006.0,20510.0
4.0,300.0,0.0,17264.0,16969.0,16897.0,19740.0,17264.0,18527.0,17710.0,17984.0,17984.0,20418.0
2.0,360.0,60.0,11642.0,11632.0,11630.0,14973.0,11642.0,12408.0,12165.0,11637.0,11644.0,14416.0
2.0,360.0,60.0,11206.0,11195.0,11195.0,14974.0,11206.0,11977.0,11508.0,12071.0,11201.0,14345.0
2.0,360.0,60.0,10848.0,10846.0,10855.0,15168.0,10848.0,11355.0,10992.0,12532.0,10862.0,14057.0
3.0,360.0,60.0,14176.0,14374.0,14137.0,17899.0,14176.0,15249.0,15052.0,14421.0,14374.0,17320.0
3.0,360.0,60.0,14296.0,13842.0,13854.0,18058.0,14296.0,14933.0,14718.0,14473.0,13841.0,17280.0
3.0,360.0,60.0,13178.0,13375.0,13375.0,17896.0,13178.0,14590.0,14211.0,14508.0,13310.0,17192.0
4.0,360.0,60.0,16064.0,16406.0,16406.0,19839.0,16064.0,17082.0,16803.0,16472.0,16523.0,19200.0
4.0,360.0,60.0,15908.0,15900.0,15900.0,19896.0,15908.0,16841.0,16382.0,16537.0,15949.0,19226.0
4.0,360.0,60.0,15409.0,15324.0,15324.0,19885.0,15409.0,16484.0,16078.0,15832.0,15397.0,19121.0
2.0,400.0,0.0,13143.0,13141.0,13143.0,15458.0,13143.0,14537.0,14080.0,13194.0,13194.0,15557.0
2.0,400.0,0.0,12591.0,12548.0,12548.0,15341.0,12591.0,13884.0,13315.0,13820.0,13820.0,15510.0
2.0,400.0,0.0,12073.0,12081.0,12073.0,14996.0,12073.0,13028.0,12674.0,14448.0,14448.0,15384.0
3.0,400.0,0.0,16034.0,16028.0,16023.0,18591.0,16034.0,17264.0,16927.0,16132.0,16132.0,18742.0
