wareh,capacity,buffer,QMK,CHIM,CHI,KL,KLQ,GO,GP,GS,BS,RND
2.0,100.0,0.0,15534.0,15532.0,15535.0,15536.0,15534.0,15578.0,15535.0,15485.0,15485.0,15522.0
2.0,100.0,0.0,15459.0,15492.0,15467.0,15517.0,15459.0,15541.0,15502.0,15485.0,15485.0,15483.0
2.0,100.0,0.0,15423.0,15395.0,15374.0,15279.0,15423.0,15398.0,15361.0,15382.0,15382.0,15348.0
3.0,100.0,0.0,18656.0,18667.0,18732.0,18665.0,18656.0,18732.0,18697.0,18746.0,18746.0,18664.0
3.0,100.0,0.0,18576.0,18593.0,18592.0,18745.0,18576.0,18647.0,18679.0,18685.0,18685.0,18608.0
3.0,100.0,0.0,18622.0,18511.0,18527.0,18555.0,18622.0,18578.0,18629.0,18624.0,18624.0,18537.0
4.0,100.0,0.0,20662.0,20562.0,20660.0,20613.0,20662.0,20733.0,20626.0,20593.0,20593.0,20652.0
4.0,100.0,0.0,20659.0,20525.0,20552.0,20637.0,20659.0,20614.0,20560.0,20584.0,20584.0,20613.0
4.0,100.0,0.0,20513.0,20491.0,20485.0,20607.0,20513.0,20534.0,20529.0,20527.0,20527.0,20531.0
2.0,120.0,20.0,14480.0,14495.0,14498.0,15396.0,14480.0,14524.0,14503.0,14492.0,14496.0,14459.0
2.0,120.0,20.0,14393.0,14425.0,14425.0,15103.0,14393.0,14447.0,14414.0,14443.0,14410.0,14373.0
2.0,120.0,20.0,14123.0,14110.0,14144.0,15096.0,14123.0,14151.0,14142.0,14176.0,14168.0,14113.0
3.0,120.0,20.0,17637.0,17257.0,17257.0,18211.0,17637.0,17377.0,17333.0,17331.0,17765.0,17384.0
3.0,120.0,20.0,17580.0,17174.0,17174.0,18191.0,17580.0,17261.0,17229.0,17264.0,17702.0,17370.0
3.0,120.0,20.0,17486.0,16952.0,16952.0,18037.0,17486.0,17009.0,16961.0,17163.0,17486.0,17264.0
4.0,120.0,20.0,19526.0,19229.0,19229.0,20106.0,19526.0,19301.0,19248.0,19379.0,19781.0,19316.0
4.0,120.0,20.0,19552.0,19116.0,19116.0,20258.0,19552.0,19152.0,19153.0,19268.0,19780.0,19296.0
4.0,120.0,20.0,19541.0,18900.0,18900.0,19974.0,19541.0,18919.0,18911.0,19160.0,19688.0,19231.0
2.0,200.0,0.0,15535.0,15515.0,15559.0,15448.0,15535.0,15535.0,15467.0,15524.0,15524.0,15523.0
2.0,200.0,0.0,15503.0,15526.0,15537.0,15466.0,15503.0,15501.0,15456.0,15465.0,15465.0,15479.0
