wareh,capacity,buffer,QMK,CHIM,CHI,KL,KLQ,GO,GP,GS,BS,RND
2.0,100.0,0.0,12833.0,12865.0,12833.0,14505.0,12833.0,14298.0,12882.0,13210.0,13210.0,15530.0
2.0,100.0,0.0,12188.0,12188.0,12188.0,14143.0,12188.0,13520.0,12251.0,12579.0,12579.0,15491.0
2.0,100.0,0.0,11649.0,11649.0,11649.0,13189.0,11649.0,12952.0,11649.0,12096.0,12096.0,15325.0
3.0,100.0,0.0,15525.0,15513.0,15513.0,17478.0,15525.0,16963.0,15540.0,16316.0,16316.0,18667.0
3.0,100.0,0.0,16137.0,15022.0,15025.0,16821.0,16137.0,16431.0,15051.0,16064.0,16064.0,18613.0
3.0,100.0,0.0,16255.0,14516.0,14516.0,16512.0,16255.0,16090.0,14570.0,16100.0,16100.0,18529.0
4.0,100.0,0.0,17595.0,17612.0,17577.0,19155.0,17595.0,18893.0,17670.0,18485.0,18485.0,20636.0
4.0,100.0,0.0,17009.0,16943.0,16958.0,18931.0,17009.0,18469.0,17099.0,18373.0,18373.0,20585.0
4.0,100.0,0.0,16530.0,16522.0,16526.0,19000.0,16530.0,18036.0,16645.0,17854.0,17854.0,20506.0
2.0,120.0,20.0,11348.0,11348.0,11348.0,13682.0,11348.0,12264.0,11348.0,11358.0,11431.0,14476.0
2.0,120.0,20.0,11846.0,10913.0,10913.0,12862.0,11846.0,11536.0,10919.0,10913.0,10986.0,14392.0
2.0,120.0,20.0,12368.0,10591.0,10591.0,13215.0,12368.0,10952.0,10616.0,10591.0,10629.0,14093.0
3.0,120.0,20.0,13860.0,14256.0,14256.0,16544.0,13860.0,15246.0,14312.0,14529.0,14270.0,17359.0
3.0,120.0,20.0,13365.0,13700.0,13700.0,15977.0,13365.0,14985.0,13771.0,14495.0,13708.0,17406.0
3.0,120.0,20.0,13052.0,13151.0,13151.0,15834.0,13052.0,14598.0,13154.0,14481.0,13151.0,17321.0
4.0,120.0,20.0,15952.0,16287.0,16039.0,18597.0,15952.0,17125.0,16340.0,16639.0,16448.0,19296.0
4.0,120.0,20.0,15799.0,15789.0,15789.0,18430.0,15799.0,16776.0,15769.0,16407.0,15887.0,19272.0
4.0,120.0,20.0,15986.0,15232.0,15232.0,17926.0,15986.0,16368.0,15255.0,16403.0,15384.0,19198.0
