wareh,capacity,buffer,QMK,CHIM,CHI,KLQ,GO,GP,GS,BS,RND
2.0,1000.0,0.0,1.330076e6,1.331664e6,1.330182e6,1.330076e6,1.463314e6,1.502363e6,1.335298e6,1.335298e6,1.550419e6
2.0,1000.0,0.0,1.387333e6,1.274127e6,1.273663e6,1.387333e6,1.419607e6,1.485025e6,1.39205e6,1.39205e6,1.546073e6
2.0,1000.0,0.0,1.442131e6,1.221646e6,1.221156e6,1.442131e6,1.358173e6,1.462989e6,1.446477e6,1.446477e6,1.531903e6
3.0,1000.0,0.0,1.600614e6,1.609888e6,1.601194e6,1.600614e6,1.737868e6,1.7906e6,1.614449e6,1.614449e6,1.864642e6
3.0,1000.0,0.0,1.549123e6,1.558583e6,1.550406e6,1.549123e6,1.706032e6,1.768873e6,1.560554e6,1.560554e6,1.861326e6
3.0,1000.0,0.0,1.497921e6,1.511139e6,1.498242e6,1.497921e6,1.666687e6,1.732931e6,1.508276e6,1.508276e6,1.85097e6
4.0,1000.0,0.0,1.790042e6,1.811428e6,1.793633e6,1.790042e6,1.937987e6,1.967972e6,1.814342e6,1.814342e6,2.063255e6
4.0,1000.0,0.0,1.817882e6,1.768491e6,1.745973e6,1.817882e6,1.90534e6,1.932853e6,1.828047e6,1.828047e6,2.060403e6
4.0,1000.0,0.0,1.723856e6,1.715659e6,1.700914e6,1.723856e6,1.868667e6,1.898758e6,1.836392e6,1.836392e6,2.052859e6
2.0,1200.0,200.0,1.1788e6,1.179881e6,1.178837e6,1.1788e6,1.267871e6,1.296999e6,1.179599e6,1.181288e6,1.445667e6
2.0,1200.0,200.0,1.13582e6,1.136856e6,1.135889e6,1.13582e6,1.219129e6,1.294322e6,1.224524e6,1.138724e6,1.436146e6
2.0,1200.0,200.0,1.261107e6,1.097645e6,1.096896e6,1.261107e6,1.170209e6,1.254567e6,1.266417e6,1.099003e6,1.410027e6
3.0,1200.0,200.0,1.430485e6,1.461528e6,1.455872e6,1.430485e6,1.538078e6,1.539387e6,1.46293e6,1.459234e6,1.740786e6
3.0,1200.0,200.0,1.398948e6,1.411978e6,1.399458e6,1.398948e6,1.512133e6,1.517441e6,1.412705e6,1.406451e6,1.736224e6
3.0,1200.0,200.0,1.35872e6,1.362929e6,1.357464e6,1.35872e6,1.478291e6,1.493174e6,1.362047e6,1.353874e6,1.727613e6
4.0,1200.0,200.0,1.625551e6,1.646445e6,1.646445e6,1.625551e6,1.734698e6,1.734879e6,1.665996e6,1.669907e6,1.932826e6
4.0,1200.0,200.0,1.605057e6,1.604563e6,1.604563e6,1.605057e6,1.703944e6,1.723875e6,1.686897e6,1.618996e6,1.930262e6
4.0,1200.0,200.0,1.574242e6,1.557947e6,1.557947e6,1.574242e6,1.670366e6,1.711518e6,1.749997e6,1.567075e6,1.924851e6
2.0,2000.0,0.0,1.360217e6,1.365725e6,1.360217e6,1.360217e6,1.486383e6,1.487899e6,1.363178e6,1.363178e6,1.550639e6
