wareh,capacity,buffer,QMK,CHIM,CHI,KLQ,GO,GP,GS,BS,RND
2.0,1000.0,0.0,131777.0,132806.0,132095.0,131777.0,148531.0,143377.0,143329.0,143329.0,155142.0
2.0,1000.0,0.0,132665.0,131248.0,130074.0,132665.0,145677.0,140497.0,147537.0,147537.0,154630.0
2.0,1000.0,0.0,133137.0,127688.0,126645.0,133137.0,142009.0,135988.0,151134.0,151134.0,153305.0
3.0,1000.0,0.0,146686.0,148621.0,147116.0,146686.0,175392.0,170889.0,171243.0,171243.0,186667.0
3.0,1000.0,0.0,146298.0,147496.0,145577.0,146298.0,172952.0,167759.0,166993.0,166993.0,186096.0
3.0,1000.0,0.0,143921.0,146665.0,144437.0,143921.0,169960.0,164123.0,162451.0,162451.0,185310.0
4.0,1000.0,0.0,155333.0,156175.0,155338.0,155333.0,193138.0,187918.0,191737.0,191737.0,206526.0
4.0,1000.0,0.0,155736.0,156556.0,154795.0,155736.0,189389.0,185075.0,188477.0,188477.0,206249.0
4.0,1000.0,0.0,154679.0,155486.0,153083.0,154679.0,185998.0,181880.0,183947.0,183947.0,205463.0
2.0,1200.0,200.0,119020.0,120537.0,118958.0,119020.0,129945.0,127448.0,124597.0,126124.0,144515.0
2.0,1200.0,200.0,116355.0,117935.0,116470.0,116355.0,126746.0,124944.0,127778.0,121173.0,143652.0
2.0,1200.0,200.0,114268.0,114055.0,113124.0,114268.0,121959.0,121775.0,131533.0,115882.0,141055.0
3.0,1200.0,200.0,136255.0,136998.0,135231.0,136255.0,153182.0,151824.0,150486.0,156258.0,174016.0
3.0,1200.0,200.0,135641.0,135759.0,134214.0,135641.0,150867.0,148963.0,146867.0,151520.0,173780.0
3.0,1200.0,200.0,133698.0,134093.0,132553.0,133698.0,148028.0,144866.0,143362.0,146741.0,172902.0
4.0,1200.0,200.0,148195.0,146419.0,145269.0,148195.0,169840.0,167674.0,169455.0,177430.0,193351.0
4.0,1200.0,200.0,146473.0,145871.0,144557.0,146473.0,169320.0,165718.0,165449.0,173453.0,193196.0
4.0,1200.0,200.0,146484.0,144673.0,143711.0,146484.0,166550.0,163111.0,163407.0,168438.0,192552.0
2.0,2000.0,0.0,122336.0,122968.0,122264.0,122336.0,149510.0,146319.0,145766.0,145766.0,155213.0
2.0,2000.0,0.0,122457.0,122192.0,121388.0,122457.0,147049.0,142760.0,141169.0,141169.0,154778.0
2.0,2000.0,0.0,121739.0,119960.0,119223.0,121739.0,143781.0,138333.0,136191.0,136191.0,153340.0
3.0,2000.0,0.0,132191.0,132462.0,131708.0,132191.0,177376.0,172612.0,174482.0,174482.0,186706.0
3.0,2000.0,0.0,131421.0,131751.0,131148.0,131421.0,175013.0,169317.0,177480.0,177480.0,186446.0
3.0,2000.0,0.0,130460.0,130850.0,130122.0,130460.0,171723.0,165663.0,179636.0,179636.0,185342.0
4.0,2000.0,0.0,136937.0,137593.0,136948.0,136937.0,194637.0,189528.0,193145.0,193145.0,206656.0
4.0,2000.0,0.0,137051.0,137373.0,136274.0,137051.0,193032.0,187008.0,192282.0,192282.0,206362.0
4.0,2000.0,0.0,136743.0,136878.0,135774.0,136743.0,190969.0,184461.0,190584.0,190584.0,205654.0
2.0,2400.0,400.0,114742.0,113418.0,113068.0,114742.0,129201.0,126488.0,125939.0,128922.0,144599.0
2.0,2400.0,400.0,113748.0,113924.0,113215.0,113748.0,126866.0,123087.0,121884.0,124278.0,143780.0
2.0,2400.0,400.0,112691.0,112093.0,111850.0,112691.0,122243.0,119769.0,116981.0,118969.0,141004.0
3.0,2400.0,400.0,126192.0,124371.0,123597.0,126192.0,151498.0,151451.0,150827.0,159816.0,174242.0
3.0,2400.0,400.0,125741.0,124188.0,123203.0,125741.0,149701.0,148537.0,154028.0,155624.0,173937.0
3.0,2400.0,400.0,124317.0,123257.0,122633.0,124317.0,147193.0,145805.0,155441.0,150567.0,172987.0
4.0,2400.0,400.0,131967.0,130912.0,129908.0,131967.0,169498.0,167797.0,168655.0,180026.0,193549.0
4.0,2400.0,400.0,131277.0,130115.0,129558.0,131277.0,168687.0,164529.0,168801.0,176843.0,193306.0
4.0,2400.0,400.0,132191.0,129531.0,129149.0,132191.0,166337.0,163134.0,169057.0,172809.0,192797.0
2.0,3000.0,0.0,116800.0,117487.0,116547.0,116800.0,147757.0,147134.0,147409.0,147409.0,155097.0
2.0,3000.0,0.0,116647.0,116294.0,115701.0,116647.0,146047.0,143747.0,142263.0,142263.0,154680.0
2.0,3000.0,0.0,115800.0,115383.0,114668.0,115800.0,143555.0,139821.0,137114.0,137114.0,153312.0
3.0,3000.0,0.0,123312.0,123771.0,123180.0,123312.0,174992.0,173279.0,176667.0,176667.0,186643.0
3.0,3000.0,0.0,123374.0,124285.0,123029.0,123374.0,172374.0,169901.0,172043.0,172043.0,186318.0
3.0,3000.0,0.0,122656.0,122837.0,122016.0,122656.0,169785.0,166738.0,167920.0,167920.0,185344.0
4.0,3000.0,0.0,126847.0,127358.0,126896.0,126847.0,191726.0,191463.0,197358.0,197358.0,206590.0
4.0,3000.0,0.0,126629.0,126751.0,126501.0,126629.0,191152.0,188430.0,192635.0,192635.0,206300.0
4.0,3000.0,0.0,125569.0,126165.0,125786.0,125569.0,189301.0,185152.0,190421.0,190421.0,205458.0
2.0,3600.0,600.0,111243.0,108508.0,108349.0,111243.0,126231.0,123981.0,125514.0,130458.0,144611.0
2.0,3600.0,600.0,110486.0,108712.0,108601.0,110486.0,124531.0,122045.0,119749.0,126107.0,143733.0
2.0,3600.0,600.0,109629.0,107928.0,107877.0,109629.0,121181.0,119189.0,115826.0,120996.0,141096.0
3.0,3600.0,600.0,119126.0,116517.0,116256.0,119126.0,149186.0,148780.0,151453.0,161766.0,174114.0
3.0,3600.0,600.0,118762.0,116190.0,115791.0,118762.0,148063.0,146987.0,146947.0,157660.0,173837.0
3.0,3600.0,600.0,118246.0,115830.0,115560.0,118246.0,144568.0,145394.0,143283.0,152889.0,172893.0
4.0,3600.0,600.0,123614.0,121279.0,120991.0,123614.0,167104.0,168206.0,170048.0,182494.0,193475.0
4.0,3600.0,600.0,123365.0,120958.0,120710.0,123365.0,164945.0,166479.0,165930.0,179204.0,193302.0
4.0,3600.0,600.0,123465.0,120520.0,120264.0,123465.0,163328.0,163445.0,161848.0,174840.0,192696.0
