wareh,capacity,buffer,CHIM,CHI,GS,BS,RND
2.0,10000.0,0.0,3.391516,4.9399419,4.2428956,3.7589927,16.4371153
2.0,10000.0,0.0,2.9542482,4.6015017,3.7348551,3.7516104,17.5992298
2.0,10000.0,0.0,3.0715966,4.5065602,3.8389401,3.7512805,17.4359635
3.0,10000.0,0.0,3.235793,5.9189356,5.1610445,5.1689169,20.407455
3.0,10000.0,0.0,3.5210177,5.6160294,4.7057485,4.8467516,17.2562429
3.0,10000.0,0.0,3.2661666,5.8425167,4.9328561,4.8886948,20.1895525
4.0,10000.0,0.0,3.4205689,6.907874,6.5695554,6.1492234,17.4618434
4.0,10000.0,0.0,3.4254313,7.3441558,6.7453634,6.8066697,21.8486183
4.0,10000.0,0.0,4.3976352,10.325006,7.7189697,8.4854349,23.1916612
2.0,12000.0,2000.0,4.1954644,7.700734,4.1373783,3.0372579,41.4601471
2.0,12000.0,2000.0,4.1624086,5.4929829,4.0895255,3.056989,39.146381
2.0,12000.0,2000.0,4.201476,7.6798002,4.124561,2.8431659,39.0864589
3.0,12000.0,2000.0,4.6011861,6.2530359,4.9964679,3.8812098,56.6697488
3.0,12000.0,2000.0,4.3586288,6.003031,5.2022841,3.9571115,56.5646969
3.0,12000.0,2000.0,4.4456064,7.1749636,5.4295388,4.5793544,59.6027697
4.0,12000.0,2000.0,5.1533864,13.2609515,6.6152751,5.3710966,102.4459852
4.0,12000.0,2000.0,4.536471,10.5413695,6.303567,4.5144143,95.9647662
4.0,12000.0,2000.0,5.2177084,10.5828594,6.9256232,5.1931154,111.5336201
2.0,20000.0,0.0,9.9701794,19.4121751,14.1363066,14.5466946,131.7553834
2.0,20000.0,0.0,8.5596549,17.7255318,13.8890431,13.1065374,131.8274676
2.0,20000.0,0.0,8.0776456,15.9187708,13.1672769,12.9489485,149.6722032
3.0,20000.0,0.0,8.9531408,17.0284566,17.6628211,20.6253801,130.5205449
3.0,20000.0,0.0,10.1777049,18.1444409,19.2609214,19.778452,154.569936
3.0,20000.0,0.0,11.5361701,28.649971,18.4674131,23.8418647,59.5210902
4.0,20000.0,0.0,9.8585864,26.8239202,18.8055274,20.7693626,46.6408646
4.0,20000.0,0.0,10.5025572,29.4195377,22.0559855,22.4082139,51.8784156
4.0,20000.0,0.0,9.8077325,27.7284855,19.8295582,19.5930768,55.5219295
2.0,24000.0,4000.0,13.7851419,23.6392071,11.43938,9.1640484,86.5945166
2.0,24000.0,4000.0,12.2251491,22.0551896,11.3159854,9.0337475,82.3037241
2.0,24000.0,4000.0,12.9670349,25.6716283,12.291075,10.7346532,93.3253948
3.0,24000.0,4000.0,13.3179049,23.0143495,16.2663044,12.2316084,99.9781422
3.0,24000.0,4000.0,19.0495207,37.654502,18.377699,14.2183322,103.1260019
3.0,24000.0,4000.0,13.977263,31.5212234,18.2541133,13.7888328,99.6723805
4.0,24000.0,4000.0,15.8131091,42.3129934,22.0434522,14.8044594,148.8932058
4.0,24000.0,4000.0,14.4056962,33.7589595,23.6537669,16.4335265,136.9843608
4.0,24000.0,4000.0,15.5246346,45.6307899,22.8014393,15.7538593,138.7252292
2.0,30000.0,0.0,18.1591617,40.6585651,27.0978336,24.7899857,95.8185191
2.0,30000.0,0.0,15.0701066,34.9314816,24.7934177,24.2793157,104.0256777
2.0,30000.0,0.0,17.6764371,37.3116518,30.5602556,27.7246051,116.8325249
3.0,30000.0,0.0,16.6960368,45.7725812,36.9313242,40.4302618,116.5649767
3.0,30000.0,0.0,19.9028238,46.3765276,37.1551383,36.5430746,114.0894294
3.0,30000.0,0.0,20.7515244,52.9077304,36.5504429,36.462891,114.2178979
4.0,30000.0,0.0,18.9403238,59.627223,46.9273109,47.0194037,101.3263691
4.0,30000.0,0.0,24.0808134,67.0423607,53.0746699,50.2149507,117.6166403
4.0,30000.0,0.0,17.9906385,61.1973588,52.8785559,49.8917136,125.9442507
2.0,36000.0,6000.0,28.5424285,49.3867329,26.5420775,19.6581044,164.3889774
2.0,36000.0,6000.0,26.8360845,52.6673903,29.0819613,21.7863581,165.3459928
2.0,36000.0,6000.0,28.4865242,49.3303333,27.9861545,21.1179577,176.6437448
3.0,36000.0,6000.0,29.9775445,81.8498556,38.777563,28.0236741,198.4773357
3.0,36000.0,6000.0,27.923592,66.5943626,39.2176824,27.3469919,186.8507762
3.0,36000.0,6000.0,28.4660658,68.2903069,38.4258189,27.6163373,182.6741732
4.0,36000.0,6000.0,32.4996696,107.4679398,61.1403163,36.7596718,229.4202012
4.0,36000.0,6000.0,36.2992242,97.5497742,54.2497751,35.5626148,211.8625047
4.0,36000.0,6000.0,34.339441,102.3415471,60.6929236,38.3087599,241.0734615
2.0,40000.0,0.0,25.220319,69.7956502,89.3698451,71.732071,167.9349352
2.0,40000.0,0.0,28.3954097,66.4193319,103.2500127,87.517431,186.5954885
2.0,40000.0,0.0,31.7179435,63.3003659,87.6862189,68.4270742,202.0223482
3.0,40000.0,0.0,30.3208963,86.5132887,65.9995741,83.3446552,168.2953998
3.0,40000.0,0.0,29.2107181,82.3432271,76.9390243,70.4687998,184.1742767
3.0,40000.0,0.0,30.873285,89.3363291,126.5275378,91.273087,198.5293339
4.0,40000.0,0.0,31.5857883,107.4259161,89.4340583,92.3203966,169.2366466
4.0,40000.0,0.0,31.2796789,114.4007701,96.0363383,91.6504106,175.6883597
4.0,40000.0,0.0,39.2640796,116.7740058,136.8472657,107.7374498,192.9562629
2.0,48000.0,8000.0,63.9433389,108.0858298,56.9293077,37.7291573,285.1175911
2.0,48000.0,8000.0,62.6471111,115.7075826,87.4300783,42.5056201,267.457623
2.0,48000.0,8000.0,56.601992,102.6345806,78.6257958,57.0350555,288.6487742
3.0,48000.0,8000.0,60.656435,137.6610505,93.6908933,75.3294728,264.502904
3.0,48000.0,8000.0,62.4045899,129.3886569,70.9429332,55.444862,281.2076454
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
