wareh,capacity,buffer,CHIM,CHI,GS,BS,RND
2.0,10000.0,0.0,3.7871239,4.9338958,4.4824906,4.1250956,16.8826956
2.0,10000.0,0.0,3.3461651,4.7076022,3.6371496,3.9391944,18.4802791
2.0,10000.0,0.0,3.5131904,4.9846519,3.7775018,4.0369885,18.7157392
3.0,10000.0,0.0,4.2742958,6.6839512,5.3954058,5.1811206,20.838999
3.0,10000.0,0.0,3.8939456,6.0336437,4.9659022,5.0420509,19.5674746
3.0,10000.0,0.0,3.7557412,6.0773002,5.2117941,5.1405248,21.7833395
4.0,10000.0,0.0,4.2378492,7.7610267,6.3344435,6.4152386,20.1940988
4.0,10000.0,0.0,4.3039503,7.9929533,6.567989,6.6020922,27.0653366
4.0,10000.0,0.0,5.8095013,7.9619265,7.0861691,6.9292003,24.4583563
2.0,12000.0,2000.0,4.2827896,7.8499898,3.6837715,2.8297782,41.9594056
2.0,12000.0,2000.0,4.72732,8.0219135,3.9162484,3.2027124,41.5128793
2.0,12000.0,2000.0,4.7071964,8.574008,3.9663691,3.187985,41.2956704
3.0,12000.0,2000.0,4.8755852,11.5425437,5.0970228,3.9670566,62.3741967
3.0,12000.0,2000.0,4.7637793,6.368826,5.1935765,4.0778716,57.6337581
3.0,12000.0,2000.0,4.8125397,5.8765586,4.8564253,4.0623239,63.7399618
4.0,12000.0,2000.0,5.0251309,19.1274254,6.4117139,5.0182364,101.7966103
4.0,12000.0,2000.0,5.2436682,7.6002745,6.5284495,4.9427154,108.7790829
4.0,12000.0,2000.0,5.4412276,8.1927634,6.7344144,4.8269897,104.2252232
2.0,20000.0,0.0,12.2981052,18.8551591,13.8733681,13.6102193,132.929155
2.0,20000.0,0.0,10.5966813,16.4470753,13.3769179,13.4432009,136.35988
2.0,20000.0,0.0,10.0524901,16.3829638,14.3273651,14.0615809,159.5973279
3.0,20000.0,0.0,11.5393852,24.2793793,19.0946031,18.6637779,140.9186596
3.0,20000.0,0.0,11.7286007,26.0246912,18.2506536,18.1461042,174.5210362
3.0,20000.0,0.0,10.7352691,23.5794213,17.1709067,14.6320702,55.4295418
4.0,20000.0,0.0,11.0128604,29.0925336,21.4692457,21.8685677,49.2206063
4.0,20000.0,0.0,12.8888568,29.1536396,20.5385598,20.4994908,51.4146125
4.0,20000.0,0.0,12.8000054,30.1785211,20.764833,20.1373486,59.6369639
2.0,24000.0,4000.0,13.8553017,22.4590718,12.4090136,9.2275822,84.561174
2.0,24000.0,4000.0,13.6938325,24.8961373,14.5552604,11.5026968,87.1053484
2.0,24000.0,4000.0,14.530425,22.9430546,12.6699609,9.8656728,91.6024991
3.0,24000.0,4000.0,18.5471521,45.1310859,18.3071315,12.9938467,113.6116572
3.0,24000.0,4000.0,14.5236224,16.3896175,17.4418531,13.0452865,102.1934528
3.0,24000.0,4000.0,16.1259441,17.5768712,17.5398551,12.442389,107.9804129
4.0,24000.0,4000.0,15.9100445,49.605324,24.8401007,16.664893,152.4966619
4.0,24000.0,4000.0,15.9851344,45.7003255,22.8430588,15.8361503,148.216231
4.0,24000.0,4000.0,17.6404158,44.9512344,23.270065,17.3732994,162.8585936
2.0,30000.0,0.0,15.4034323,32.860816,23.9685751,23.7864423,95.9614221
2.0,30000.0,0.0,17.0613561,35.227519,26.5417814,27.3942131,110.3296805
2.0,30000.0,0.0,17.6069032,34.7973291,26.4769569,27.0704422,121.7804202
3.0,30000.0,0.0,20.8022108,68.3597689,56.3749857,37.6960328,102.3324931
3.0,30000.0,0.0,21.4325964,55.0405641,43.5430311,44.1119563,112.35447
3.0,30000.0,0.0,19.8916625,53.368346,37.9087005,35.5350221,127.2143818
4.0,30000.0,0.0,19.6001329,70.3399249,52.3863001,56.1860252,111.0057497
4.0,30000.0,0.0,19.4017598,70.5044396,59.1852787,48.3989624,116.423955
4.0,30000.0,0.0,22.1963852,70.380533,54.5020629,53.2765691,128.2449196
