wareh,capacity,buffer,CHIM,CHI,GS,BS,RND
2.0,10000.0,0.0,1.309139e6,1.287262e6,1.444123e6,1.444123e6,1.550943e6
2.0,10000.0,0.0,1.282572e6,1.269002e6,1.394768e6,1.394768e6,1.54634e6
2.0,10000.0,0.0,1.260608e6,1.246472e6,1.343285e6,1.343285e6,1.532728e6
3.0,10000.0,0.0,1.448666e6,1.419322e6,1.734558e6,1.734558e6,1.865997e6
3.0,10000.0,0.0,1.431185e6,1.4062e6,1.753431e6,1.753431e6,1.862471e6
3.0,10000.0,0.0,1.408979e6,1.388993e6,1.764775e6,1.764775e6,1.852488e6
4.0,10000.0,0.0,1.511381e6,1.492902e6,1.926851e6,1.926851e6,2.065009e6
4.0,10000.0,0.0,1.509403e6,1.48611e6,1.89411e6,1.89411e6,2.062301e6
4.0,10000.0,0.0,1.504961e6,1.474574e6,1.857956e6,1.857956e6,2.054323e6
2.0,12000.0,2000.0,1.184288e6,1.162418e6,1.264585e6,1.277427e6,1.445637e6
2.0,12000.0,2000.0,1.16685e6,1.161388e6,1.214321e6,1.229822e6,1.437197e6
2.0,12000.0,2000.0,1.133983e6,1.129622e6,1.159587e6,1.174862e6,1.409976e6
3.0,12000.0,2000.0,1.325441e6,1.317102e6,1.50783e6,1.576284e6,1.741492e6
3.0,12000.0,2000.0,1.318601e6,1.3135e6,1.531075e6,1.528919e6,1.738554e6
3.0,12000.0,2000.0,1.305148e6,1.298417e6,1.546934e6,1.477752e6,1.728435e6
4.0,12000.0,2000.0,1.421819e6,1.404677e6,1.700404e6,1.787581e6,1.934207e6
4.0,12000.0,2000.0,1.414013e6,1.399332e6,1.67377e6,1.745417e6,1.93227e6
4.0,12000.0,2000.0,1.398513e6,1.39096e6,1.64485e6,1.700863e6,1.926111e6
2.0,20000.0,0.0,1.249649e6,1.238819e6,1.466005e6,1.466005e6,1.550449e6
2.0,20000.0,0.0,1.239986e6,1.230152e6,1.414552e6,1.414552e6,1.546049e6
2.0,20000.0,0.0,1.223613e6,1.21576e6,1.36385e6,1.36385e6,1.532411e6
3.0,20000.0,0.0,1.357414e6,1.335264e6,1.755262e6,1.755262e6,1.865108e6
3.0,20000.0,0.0,1.354886e6,1.321737e6,1.706099e6,1.706099e6,1.861862e6
3.0,20000.0,0.0,1.341836e6,1.322454e6,1.657125e6,1.657125e6,1.85195e6
4.0,20000.0,0.0,1.411816e6,1.397212e6,1.949298e6,1.949298e6,2.06438e6
4.0,20000.0,0.0,1.407511e6,1.388402e6,1.90189e6,1.90189e6,2.061556e6
4.0,20000.0,0.0,1.408679e6,1.384078e6,1.86129e6,1.86129e6,2.053445e6
2.0,24000.0,4000.0,1.135338e6,1.124077e6,1.268682e6,1.292258e6,1.445137e6
2.0,24000.0,4000.0,1.142888e6,1.132389e6,1.21927e6,1.246059e6,1.436705e6
2.0,24000.0,4000.0,1.11811e6,1.105228e6,1.167633e6,1.188945e6,1.409931e6
3.0,24000.0,4000.0,1.268184e6,1.253769e6,1.514372e6,1.59575e6,1.740889e6
3.0,24000.0,4000.0,1.28672e6,1.263298e6,1.467134e6,1.549465e6,1.73766e6
3.0,24000.0,4000.0,1.25082e6,1.241529e6,1.434688e6,1.497065e6,1.728097e6
4.0,24000.0,4000.0,1.34693e6,1.32825e6,1.710354e6,1.804624e6,1.933555e6
4.0,24000.0,4000.0,1.327652e6,1.315796e6,1.671123e6,1.765215e6,1.931742e6
4.0,24000.0,4000.0,1.320264e6,1.305411e6,1.63332e6,1.720556e6,1.925349e6
2.0,30000.0,0.0,1.245381e6,1.22622e6,1.470198e6,1.470198e6,1.551244e6
2.0,30000.0,0.0,1.225767e6,1.215553e6,1.41874e6,1.41874e6,1.546713e6
2.0,30000.0,0.0,1.215578e6,1.201808e6,1.367695e6,1.367695e6,1.5331e6
3.0,30000.0,0.0,1.344842e6,1.322395e6,1.765927e6,1.765927e6,1.866198e6
3.0,30000.0,0.0,1.342712e6,1.318632e6,1.711439e6,1.711439e6,1.862885e6
3.0,30000.0,0.0,1.330703e6,1.309889e6,1.662611e6,1.662611e6,1.85312e6
4.0,30000.0,0.0,1.407993e6,1.380906e6,1.957129e6,1.957129e6,2.065612e6
4.0,30000.0,0.0,1.399864e6,1.373021e6,1.909388e6,1.909388e6,2.06301e6
4.0,30000.0,0.0,1.397492e6,1.369274e6,1.870192e6,1.870192e6,2.054839e6
2.0,36000.0,6000.0,1.132824e6,1.127662e6,1.267491e6,1.296187e6,1.445889e6
2.0,36000.0,6000.0,1.129846e6,1.124392e6,1.218652e6,1.24988e6,1.437269e6
2.0,36000.0,6000.0,1.12009e6,1.115026e6,1.167702e6,1.191882e6,1.410362e6
3.0,36000.0,6000.0,1.273339e6,1.257047e6,1.514278e6,1.600685e6,1.741795e6
3.0,36000.0,6000.0,1.265142e6,1.248199e6,1.465062e6,1.552946e6,1.738465e6
3.0,36000.0,6000.0,1.24942e6,1.227237e6,1.433435e6,1.501117e6,1.728997e6
4.0,36000.0,6000.0,1.354698e6,1.314627e6,1.711034e6,1.809491e6,1.934762e6
4.0,36000.0,6000.0,1.340586e6,1.304081e6,1.667528e6,1.768878e6,1.932784e6
4.0,36000.0,6000.0,1.341266e6,1.309959e6,1.633539e6,1.723425e6,1.926341e6
2.0,40000.0,0.0,1.22774e6,1.214527e6,1.472674e6,1.472674e6,1.550449e6
2.0,40000.0,0.0,1.220121e6,1.20745e6,1.417751e6,1.417751e6,1.545933e6
2.0,40000.0,0.0,1.210361e6,1.196414e6,1.367134e6,1.367134e6,1.53239e6
3.0,40000.0,0.0,1.331575e6,1.308879e6,1.766036e6,1.766036e6,1.86494e6
3.0,40000.0,0.0,1.32555e6,1.305803e6,1.711245e6,1.711245e6,1.86162e6
3.0,40000.0,0.0,1.317352e6,1.297692e6,1.661714e6,1.661714e6,1.851616e6
4.0,40000.0,0.0,1.385941e6,1.360111e6,1.959621e6,1.959621e6,2.063856e6
4.0,40000.0,0.0,1.379484e6,1.357043e6,1.911156e6,1.911156e6,2.06121e6
4.0,40000.0,0.0,1.382135e6,1.355807e6,1.872317e6,1.872317e6,2.053238e6
2.0,48000.0,8000.0,1.128688e6,1.124934e6,1.270329e6,1.295683e6,1.445274e6
2.0,48000.0,8000.0,1.124569e6,1.12054e6,1.217848e6,1.249366e6,1.436333e6
2.0,48000.0,8000.0,1.115908e6,1.112425e6,1.168335e6,1.191988e6,1.410026e6
3.0,48000.0,8000.0,1.265761e6,1.249865e6,1.522567e6,1.600006e6,1.740589e6
3.0,48000.0,8000.0,1.251787e6,1.236825e6,1.463508e6,1.553605e6,1.737652e6
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
