wareh,capacity,buffer,CHIM,CHI,GS,BS,RND
2.0,10000.0,0.0,1.277662e6,1.277394e6,1.278203e6,1.278203e6,1.550583e6
2.0,10000.0,0.0,1.216403e6,1.216219e6,1.216704e6,1.216704e6,1.546027e6
2.0,10000.0,0.0,1.162913e6,1.162826e6,1.163301e6,1.163301e6,1.532791e6
3.0,10000.0,0.0,1.55045e6,1.549412e6,1.552286e6,1.552286e6,1.865148e6
3.0,10000.0,0.0,1.495508e6,1.494647e6,1.4964e6,1.4964e6,1.861772e6
3.0,10000.0,0.0,1.439862e6,1.439338e6,1.441022e6,1.441022e6,1.851718e6
4.0,10000.0,0.0,1.759964e6,1.745043e6,1.750206e6,1.750206e6,2.064082e6
4.0,10000.0,0.0,1.703938e6,1.699063e6,1.69945e6,1.69945e6,2.061415e6
4.0,10000.0,0.0,1.645757e6,1.644054e6,1.666992e6,1.666992e6,2.053244e6
2.0,12000.0,2000.0,1.131671e6,1.131544e6,1.132079e6,1.131834e6,1.445257e6
2.0,12000.0,2000.0,1.090736e6,1.09073e6,1.090818e6,1.09096e6,1.436534e6
2.0,12000.0,2000.0,1.058923e6,1.058875e6,1.058913e6,1.059004e6,1.410069e6
3.0,12000.0,2000.0,1.41583e6,1.41583e6,1.418182e6,1.400926e6,1.740131e6
3.0,12000.0,2000.0,1.360053e6,1.360053e6,1.361418e6,1.345334e6,1.737216e6
3.0,12000.0,2000.0,1.298091e6,1.274389e6,1.305835e6,1.290893e6,1.727796e6
4.0,12000.0,2000.0,1.616609e6,1.580743e6,1.614153e6,1.611163e6,1.93295e6
4.0,12000.0,2000.0,1.563005e6,1.563005e6,1.574397e6,1.556793e6,1.930874e6
4.0,12000.0,2000.0,1.509691e6,1.509691e6,1.510001e6,1.502035e6,1.92537e6
2.0,20000.0,0.0,1.276998e6,1.27678e6,1.278174e6,1.278174e6,1.551483e6
2.0,20000.0,0.0,1.215884e6,1.215679e6,1.21589e6,1.21589e6,1.546974e6
2.0,20000.0,0.0,1.162197e6,1.162105e6,1.16218e6,1.16218e6,1.533302e6
3.0,20000.0,0.0,1.613276e6,1.547765e6,1.554706e6,1.554706e6,1.866526e6
3.0,20000.0,0.0,1.544269e6,1.493685e6,1.496543e6,1.496543e6,1.863318e6
3.0,20000.0,0.0,1.439495e6,1.438839e6,1.44223e6,1.44223e6,1.853181e6
4.0,20000.0,0.0,1.791259e6,1.741583e6,1.75345e6,1.75345e6,2.065962e6
4.0,20000.0,0.0,1.753812e6,1.70267e6,1.698932e6,1.698932e6,2.063188e6
4.0,20000.0,0.0,1.71505e6,1.660176e6,1.648375e6,1.648375e6,2.055209e6
2.0,24000.0,4000.0,1.131258e6,1.131073e6,1.132537e6,1.131554e6,1.446086e6
2.0,24000.0,4000.0,1.090315e6,1.09017e6,1.090305e6,1.090511e6,1.437137e6
2.0,24000.0,4000.0,1.058371e6,1.05824e6,1.058285e6,1.058434e6,1.410477e6
3.0,24000.0,4000.0,1.423729e6,1.374e6,1.420538e6,1.400599e6,1.741544e6
3.0,24000.0,4000.0,1.359273e6,1.359273e6,1.361331e6,1.344466e6,1.738811e6
