wareh,capacity,buffer,CHIM,CHI,GS,BS,RND
2.0,10000.0,0.0,1.31141e6,1.296704e6,1.442283e6,1.442283e6,1.550633e6
2.0,10000.0,0.0,1.288614e6,1.275012e6,1.394111e6,1.394111e6,1.546156e6
2.0,10000.0,0.0,1.259735e6,1.248837e6,1.341265e6,1.341265e6,1.532459e6
3.0,10000.0,0.0,1.464905e6,1.432515e6,1.728342e6,1.728342e6,1.865024e6
3.0,10000.0,0.0,1.4489e6,1.423207e6,1.681993e6,1.681993e6,1.861619e6
3.0,10000.0,0.0,1.422104e6,1.401083e6,1.634246e6,1.634246e6,1.85169e6
4.0,10000.0,0.0,1.543064e6,1.513411e6,1.924485e6,1.924485e6,2.064215e6
4.0,10000.0,0.0,1.522548e6,1.502225e6,1.88413e6,1.88413e6,2.061389e6
4.0,10000.0,0.0,1.512985e6,1.488002e6,1.841634e6,1.841634e6,2.053188e6
2.0,12000.0,2000.0,1.178805e6,1.165066e6,1.260039e6,1.274592e6,1.445439e6
2.0,12000.0,2000.0,1.166641e6,1.16248e6,1.212708e6,1.226328e6,1.436663e6
2.0,12000.0,2000.0,1.138633e6,1.133168e6,1.159768e6,1.171072e6,1.410008e6
3.0,12000.0,2000.0,1.332679e6,1.322216e6,1.507838e6,1.571912e6,1.740776e6
3.0,12000.0,2000.0,1.331895e6,1.320592e6,1.4711e6,1.525393e6,1.737594e6
3.0,12000.0,2000.0,1.316567e6,1.310517e6,1.431282e6,1.474427e6,1.727849e6
4.0,12000.0,2000.0,1.433514e6,1.422313e6,1.70108e6,1.784484e6,1.933073e6
4.0,12000.0,2000.0,1.420377e6,1.410874e6,1.668086e6,1.741809e6,1.931357e6
4.0,12000.0,2000.0,1.406304e6,1.395034e6,1.627628e6,1.695744e6,1.925162e6
2.0,20000.0,0.0,1.249311e6,1.230925e6,1.462672e6,1.462672e6,1.550528e6
2.0,20000.0,0.0,1.23503e6,1.224438e6,1.412181e6,1.412181e6,1.546177e6
2.0,20000.0,0.0,1.207596e6,1.19616e6,1.360119e6,1.360119e6,1.532463e6
3.0,20000.0,0.0,1.352945e6,1.337042e6,1.752717e6,1.752717e6,1.865013e6
3.0,20000.0,0.0,1.349592e6,1.324576e6,1.703758e6,1.703758e6,1.861607e6
3.0,20000.0,0.0,1.344228e6,1.314807e6,1.653702e6,1.653702e6,1.851665e6
4.0,20000.0,0.0,1.412614e6,1.391994e6,1.949681e6,1.949681e6,2.063727e6
