wareh,capacity,QMK,CHI,CHILOC,GP,GS,BS,RND
2.0,100.0,0.1058256,0.0703133,0.1870509,0.0934613,0.09338690000000001,0.0129978,0.0109471
2.0,100.0,0.1298727,0.0147846,0.0177028,0.0135948,0.013238,0.0129675,0.0110696
2.0,100.0,0.1172547,0.014705000000000001,0.0187409,0.013688500000000001,0.013335900000000001,0.0130109,0.0117574
2.0,120.0,0.1823169,0.0152148,0.0174101,0.0141715,0.0137823,0.0137026,0.2843874
2.0,120.0,0.1150418,0.0144882,0.0172867,0.0138132,0.0134808,0.0134008,0.2207049
2.0,120.0,0.1573951,0.0146814,0.0176679,0.0137757,0.0134244,0.0135202,0.1919963
3.0,100.0,0.1765257,0.014348399999999999,0.0183299,0.013828799999999999,0.0134551,0.0129302,0.0146913
3.0,100.0,0.272398,0.0144586,0.0178305,0.014024700000000001,0.0133655,0.0130127,0.0135648
3.0,100.0,0.1708169,0.0149252,0.0185879,0.0138276,0.0132349,0.0129853,0.0146005
3.0,120.0,0.2505538,0.015186999999999999,0.0193361,0.0140756,0.0137128,0.0135602,0.4643154
3.0,120.0,0.358897,0.0146665,0.0183912,0.013940600000000001,0.013664800000000001,0.013425300000000001,0.4411997
3.0,120.0,0.19425309999999998,0.014563099999999999,0.0187443,0.0288698,0.013923,0.0137696,0.3859193
4.0,100.0,0.258815,0.0145351,0.0184275,0.013640900000000001,0.0131605,0.012857,0.0160734
4.0,100.0,0.34482989999999997,0.0148413,0.0186044,0.0138146,0.0134324,0.0130606,0.0164552
4.0,100.0,0.2230759,0.014502000000000001,0.018497600000000003,0.0137707,0.0136205,0.0130845,0.0341214
4.0,120.0,0.2293699,0.0147404,0.0183086,0.014060600000000001,0.0139956,0.013832800000000001,0.768069
4.0,120.0,0.9065739,0.014773,0.0187256,0.0140332,0.013759500000000001,0.0135285,0.729282
4.0,120.0,0.4253904,0.014721699999999999,0.0191834,0.014032999999999999,0.013719199999999999,0.0137389,0.6687107
