wareh,capacity,QMK,CHI,CHILOC,GP,GS,BS,RND
2.0,100.0,0.20365,0.0707091,0.1527795,0.0933562,0.0931537,0.0129631,0.0113086
2.0,100.0,0.2113745,0.014445699999999999,0.016869199999999997,0.013803399999999999,0.0132003,0.0129229,0.0110651
2.0,100.0,0.1731759,0.014792399999999999,0.0177761,0.01389,0.0133002,0.0129728,0.0114563
2.0,120.0,0.5415606,0.0152764,0.0172151,0.013977,0.0138175,0.0137727,0.2558836
2.0,120.0,0.5128294,0.0151081,0.0178002,0.0144875,0.0142159,0.014000499999999999,0.2491837
2.0,120.0,0.2360917,0.014646300000000001,0.0174854,0.013882700000000001,0.013556200000000001,0.013593500000000001,0.1927559
3.0,100.0,0.7258008,0.0143588,0.016485899999999998,0.013790499999999999,0.0130719,0.0128163,0.0133648
3.0,100.0,0.7169139,0.0146342,0.0172012,0.013894199999999999,0.0133657,0.0129938,0.0141525
3.0,100.0,0.2149029,0.0150566,0.0183996,0.0136841,0.0134056,0.0129889,0.0142831
3.0,120.0,0.7879292,0.014870500000000002,0.016315600000000003,0.013837,0.0137684,0.013671200000000001,0.5056996
3.0,120.0,1.0641397000000001,0.014954,0.017952700000000002,0.013998400000000001,0.0137388,0.0135362,0.4704893
3.0,120.0,0.5401414,0.0148118,0.0182667,0.013886800000000001,0.0138855,0.013476,0.4124331
4.0,100.0,2.5185845000000002,0.0145711,0.0164751,0.013585100000000001,0.0130916,0.0128137,0.0161671
4.0,100.0,2.1705366,0.0144946,0.0166386,0.0138052,0.0133183,0.012985,0.0166764
4.0,100.0,0.6074451,0.0148246,0.0178715,0.013849199999999999,0.0134185,0.0130642,0.0165835
4.0,120.0,1.6586792,0.0149201,0.0170953,0.0139731,0.0141998,0.0139964,0.8078742
4.0,120.0,3.2527305,0.0147756,0.0170678,0.0140219,0.0139761,0.013545100000000001,0.7487622
4.0,120.0,0.8505301000000001,0.0149268,0.0182393,0.014209000000000001,0.014082500000000001,0.013855800000000001,0.6758625
