wareh,capacity,QMK,CHI,CHILOC,GP,GS,BS,RND
2.0,100.0,0.1054626,0.0706796,0.153928,0.09524880000000001,0.0944767,0.0140793,0.0108667
2.0,100.0,0.15191,0.014451,0.0174952,0.0134743,0.013107,0.0128433,0.011407
2.0,100.0,0.1313995,0.0144061,0.0174549,0.0137251,0.0132648,0.0128983,0.011585
2.0,120.0,0.17487640000000002,0.0147671,0.0172465,0.013972,0.013966,0.0136188,0.2760563
2.0,120.0,0.1182241,0.0149369,0.0174273,0.0137878,0.0137037,0.013575199999999999,0.2332156
2.0,120.0,0.12987390000000001,0.0145679,0.017606,0.014007799999999999,0.0135023,0.013495499999999999,0.1989285
3.0,100.0,0.1545955,0.0143707,0.017890200000000002,0.0134834,0.0134015,0.0128696,0.0142591
3.0,100.0,0.1289775,0.014492999999999999,0.0175282,0.013880799999999999,0.0134989,0.0129673,0.0150251
3.0,100.0,0.1693637,0.0147692,0.018246,0.0136694,0.0132821,0.0129871,0.0136225
3.0,120.0,0.1660772,0.014830699999999999,0.018195,0.0140159,0.0137684,0.0134595,0.4527938
3.0,120.0,0.1547093,0.0145801,0.0182755,0.0139135,0.013768,0.013705700000000001,0.4251847
3.0,120.0,0.1233855,0.014718400000000001,0.018540900000000003,0.013817200000000002,0.0139431,0.013674400000000001,0.3796621
4.0,100.0,0.2002563,0.0142591,0.0173356,0.0139363,0.013252,0.0128945,0.0158414
4.0,100.0,0.21017719999999998,0.0144948,0.0179519,0.0136503,0.0133322,0.0129732,0.0167329
4.0,100.0,0.1923915,0.0148842,0.0189422,0.0140629,0.013416500000000001,0.0130778,0.0167829
4.0,120.0,0.18077970000000002,0.0148009,0.0185808,0.0139221,0.0139273,0.0136986,0.7188344
4.0,120.0,0.2592769,0.0149971,0.0192575,0.0138422,0.0135987,0.013437900000000001,0.6943884
4.0,120.0,0.20264780000000002,0.0146383,0.018609399999999998,0.013985599999999999,0.0139206,0.0136882,0.6365089
