wareh,capacity,QMK,CHI,CHILOC,GP,GS,BS,RND
2.0,500.0,10.795783499999999,3.6897482000000004,3.8864607,3.18621,3.1859834,3.0820812,6.2331162
3.0,500.0,6.6842071,3.3720361000000003,3.4690783000000005,3.2179526000000003,3.1615230000000003,3.1449329,7.2035475
2.0,1000.0,15.3479662,14.0987643,14.851179799999999,12.7428141,12.5624873,12.5212316,13.1623346
3.0,1000.0,16.7998515,13.7303222,14.4795343,12.7057218,12.605992299999999,12.5545765,15.677887
2.0,1500.0,33.5422494,33.7153037,36.1370854,29.5048276,28.6207255,28.5576717,25.5843014
3.0,1500.0,35.0389052,33.5489265,35.6319252,30.0466218,27.9319024,27.8545509,27.7215496
2.0,2000.0,56.8287997,60.198368099999996,65.5803093,57.071724599999996,49.6967411,49.5444244,35.846706
3.0,2000.0,60.570184,58.4160548,62.7194779,56.0556024,49.383368399999995,49.2604408,38.0871567
2.0,2500.0,89.0160387,96.6859417,107.6187615,92.26851979999999,77.938739,77.795166,47.2551201
3.0,2500.0,95.6221621,98.7706449,105.8521423,92.1195894,78.0869421,77.6362597,54.2513408
2.0,3000.0,120.0290236,138.8912864,155.65039180000002,134.1727263,109.9250174,109.1865968,60.1926577
3.0,3000.0,124.8200578,141.1739916,151.5698857,121.96602969999999,109.0540085,108.060532,65.3634171
