wareh,capacity,QMK,CHI,CHILOC,GP,GS,BS,RND
2.0,1000.0,11.960711700000001,0.5884971999999999,0.9075875999999999,0.30373249999999996,0.6224571,0.3071191,1.7276561
2.0,1000.0,4.205596699999999,0.5131209,0.7644015,0.2664047,0.2639076,0.2669745,1.6226923
2.0,1000.0,5.1455502,0.500788,0.7364282,0.2463907,0.2516065,0.2503534,1.6177089
3.0,1000.0,22.232343,0.5000053,0.6997168,0.271623,0.3231,0.2532428,1.6496777
3.0,1000.0,9.1679453,0.4998226,0.7162259,0.2535267,0.322757,0.2493025,1.6410805
3.0,1000.0,17.326091899999998,0.4984957,0.7223757,0.3936252,0.3271654,0.2685185,1.6266223
2.0,2000.0,10.6646804,3.3285768,5.542794499999999,1.1436647,0.49822140000000004,0.49957589999999996,3.1538027
2.0,2000.0,18.4060928,3.3788603999999998,5.3355774,2.1768989000000003,0.4982871,0.5056415,3.1541048
2.0,2000.0,12.259163599999999,3.3268361,5.166496,1.7089153,0.5000546,0.49952399999999997,3.1789091
3.0,2000.0,17.3957695,3.3416772999999997,4.8878723,1.1141754,0.5075649,0.5169204,3.1668978
3.0,2000.0,17.041355099999997,3.3441196,4.9866504,1.0187682,0.5148403,0.5199478,3.171337
3.0,2000.0,18.5490472,3.3608236000000002,5.0521976,1.0370696,0.5257992,0.5244081,3.1903029
2.0,1200.0,7.8638289,0.7971633,1.2357402,0.3161872,0.2968228,0.3065295,1.9191584
2.0,1200.0,8.2959108,0.784879,1.2146042,0.46573549999999997,0.2967167,0.3054862,1.9263732
2.0,1200.0,5.8378169,0.7992603,1.2009463,0.3838459,0.2998273,0.3072076,1.9295489
3.0,1200.0,11.514864600000001,0.7953612,1.1309068,0.39203469999999996,0.3174953,0.3194596,2.0082274
3.0,1200.0,12.7802492,0.8023847000000001,1.1754778000000001,0.47204440000000003,0.2997468,0.3137648,2.0042727
3.0,1200.0,20.7539021,0.8021578,1.1846808,0.3886263,0.2988666,0.3101317,2.0074284
2.0,2400.0,15.8560296,6.0127012,10.3786201,1.5981743000000002,0.6446902999999999,0.6448255,3.7785639
2.0,2400.0,15.618581,6.008143400000001,10.182973500000001,2.4253845,0.6451361,0.6419706,3.7780873
2.0,2400.0,15.406020700000001,6.0237593,9.5027609,4.5302889,0.6587197,0.657483,3.8550122
3.0,2400.0,26.053411099999998,6.054310699999999,8.9260643,2.3287113,0.6718218,0.6785325,3.8062395
3.0,2400.0,21.1786957,5.9720429,8.9072532,1.1953189,0.6282209,0.6350486,3.8023365
3.0,2400.0,24.1056392,6.3387608,9.814973,1.1514783,0.6751773,0.6846764,3.9525696
