wareh,capacity,QMK,CHI,CHILOC,GP,GS,BS,RND
2.0,1000.0,4.0899646,0.4076708,0.632387,0.3143531,0.37256290000000003,0.2761205,0.5985107
2.0,1000.0,4.714216700000001,0.4071379,0.6288779,0.3354272,0.2600521,0.2574378,0.5919796
2.0,1000.0,4.370161,0.4098488,0.615116,0.36418320000000004,0.2641956,0.2602719,0.5411322
3.0,1000.0,14.983181100000001,0.4064605,0.5985785,0.2962096,0.2582448,0.2593958,0.6434831
3.0,1000.0,5.773842,0.4153975,0.6128574999999999,0.2926288,0.2587423,0.260008,0.5527622
3.0,1000.0,5.7140619,0.4211995,0.6196153,0.3081993,0.2583784,0.2591629,0.5763929
2.0,2000.0,9.7701607,2.3784975,3.7339241,1.2473285,0.5239515,0.5206924,1.3138033
2.0,2000.0,10.2710367,2.5410543,3.7641158,0.8415461,0.5350733999999999,0.5288645999999999,1.0300973
2.0,2000.0,10.547733599999999,2.6566094000000002,3.7671964000000004,1.2468265,0.5075171,0.5064738,1.1747537
3.0,2000.0,17.2113998,2.7025748999999997,3.6974458999999995,1.3054992,0.5327269,0.7718509,1.1451663
3.0,2000.0,15.109211,2.7631331,3.7930287,1.5735919,0.5314318,0.5249477,1.3048749
3.0,2000.0,16.1620433,2.8118948,3.8565750000000003,1.2814485,0.5416186000000001,0.7733525,1.135578
2.0,3000.0,16.2659609,7.463516800000001,12.744629800000002,3.2875478,0.8281723999999999,0.8315197999999999,2.4687548
2.0,3000.0,16.3610794,8.0341445,13.032620699999999,4.8895181,0.8247553999999999,0.8231127,2.3698187
2.0,3000.0,16.0588387,8.7197585,13.2463367,2.4244939,0.8218153,0.8249959,2.4555605
3.0,3000.0,25.3273421,8.778465399999998,12.856994199999999,3.3123264,0.8578511999999999,0.8505723999999999,2.2991746
3.0,3000.0,24.4831232,9.1625962,13.3849537,2.2037686,0.8585521,0.8515975,2.5771966
3.0,3000.0,46.872275800000004,9.2598548,13.427918899999998,4.4761027,0.8702411,0.8693067,2.7809951
