wareh,capacity,QMK,CHI,CHILOC,GP,GS,BS,RND
2.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
