dependency,skus,wareh,diff,buffer,weight_mode,mode,benchiter,orders,train_test,parcel_train,parcel_test,flexibility,duration,cap_used,local_search,gap
HD-VF,100,2,0.0,0.0,uniform,CHI_1.0e-5,1,200,0.5,19,42,0.58,5.818877817,100,0,0.0
HD-VF,100,2,0.0,0.0,uniform,CHI_1.0e-5_LS,1,200,0.5,18,45,0.55,6.036692872,100,2,0.0
HD-VF,100,2,0.0,0.0,uniform,CHI_1.0e-5,1,1000,0.5,184,210,0.58,0.927719225,100,0,0.0
HD-VF,100,2,0.0,0.0,uniform,CHI_1.0e-5_LS,1,1000,0.5,184,210,0.58,0.927907879,100,1,0.0
HD-VF,100,2,0.0,0.0,uniform,CHI_1.0e-5,1,2000,0.5,302,324,0.676,1.11391142,100,0,0.0
HD-VF,100,2,0.0,0.0,uniform,CHI_1.0e-5_LS,1,2000,0.5,288,356,0.644,1.114249514,100,3,0.0
HD-VF,100,2,0.2,0.0,uniform,CHI_1.0e-5,1,200,0.5,21,27,0.73,0.877310086,100,0,0.0
HD-VF,100,2,0.2,0.0,uniform,CHI_1.0e-5_LS,1,200,0.5,13,32,0.68,0.877429068,100,4,0.0
HD-VF,100,2,0.2,0.0,uniform,CHI_1.0e-5,1,1000,0.5,139,185,0.63,0.807879657,100,0,0.0
HD-VF,100,2,0.2,0.0,uniform,CHI_1.0e-5_LS,1,1000,0.5,139,185,0.63,0.808040769,100,1,0.0
HD-VF,100,2,0.2,0.0,uniform,CHI_1.0e-5,1,2000,0.5,265,256,0.744,0.777392567,100,0,0.0
HD-VF,100,2,0.2,0.0,uniform,CHI_1.0e-5_LS,1,2000,0.5,257,272,0.728,0.7776760880000001,100,4,0.0
HD-VF,100,4,0.0,0.0,uniform,CHI_1.0e-5,1,200,0.5,61,59,0.49,0.912383257,100,0,0.0
HD-VF,100,4,0.0,0.0,uniform,CHI_1.0e-5_LS,1,200,0.5,44,49,0.54,0.912490487,100,2,0.0
HD-VF,100,4,0.0,0.0,uniform,CHI_1.0e-5,1,1000,0.5,296,321,0.472,0.912211715,100,0,0.0
HD-VF,100,4,0.0,0.0,uniform,CHI_1.0e-5_LS,1,1000,0.5,276,306,0.502,0.912493723,100,3,0.0
HD-VF,100,4,0.0,0.0,uniform,CHI_1.0e-5,1,2000,0.5,585,657,0.432,0.967529529,100,0,0.0
HD-VF,100,4,0.0,0.0,uniform,CHI_1.0e-5_LS,1,2000,0.5,560,646,0.438,0.9678554100000001,100,2,0.0
HD-VF,100,4,0.2,0.0,uniform,CHI_1.0e-5,1,200,0.5,61,96,0.3,0.962820519,100,0,0.0
HD-VF,100,4,0.2,0.0,uniform,CHI_1.0e-5_LS,1,200,0.5,52,88,0.31,0.962945473,100,2,0.0
HD-VF,100,4,0.2,0.0,uniform,CHI_1.0e-5,1,1000,0.5,259,285,0.502,1.012897254,100,0,0.0
HD-VF,100,4,0.2,0.0,uniform,CHI_1.0e-5_LS,1,1000,0.5,229,265,0.532,1.0132152790000002,100,4,0.0
HD-VF,100,4,0.2,0.0,uniform,CHI_1.0e-5,1,2000,0.5,515,549,0.524,1.067508724,100,0,0.0
