wareh,capacity,QMK,CHI,CHILOC,GP,GS,BS,RND
2.0,100.0,14303.0,14444.0,14339.0,14437.0,14463.0,0.0,14623.0
2.0,100.0,13643.0,13674.0,13652.0,13805.0,14590.0,0.0,14373.0
2.0,100.0,12508.0,12550.0,12518.0,12644.0,14060.0,0.0,13550.0
2.0,120.0,12896.0,13024.0,12969.0,13072.0,13036.0,13078.0,13535.0
2.0,120.0,12094.0,12150.0,12117.0,12231.0,12989.0,12185.0,13063.0
2.0,120.0,10881.0,10866.0,10877.0,10897.0,11743.0,10881.0,11657.0
3.0,100.0,16399.0,16668.0,16518.0,16662.0,16637.0,0.0,16892.0
3.0,100.0,15951.0,16136.0,16008.0,16128.0,16163.0,0.0,16718.0
3.0,100.0,15252.0,15393.0,15304.0,15388.0,15710.0,0.0,16241.0
3.0,120.0,15093.0,15338.0,15266.0,15223.0,15288.0,15502.0,15745.0
3.0,120.0,14747.0,14783.0,14795.0,14772.0,14963.0,14902.0,15582.0
3.0,120.0,13945.0,13899.0,13866.0,14005.0,14172.0,13993.0,14985.0
4.0,100.0,17631.0,18033.0,17786.0,17985.0,18061.0,0.0,18218.0
4.0,100.0,17239.0,17499.0,17337.0,17511.0,17938.0,0.0,18038.0
4.0,100.0,16702.0,16903.0,16713.0,16927.0,17582.0,0.0,17667.0
4.0,120.0,16449.0,16937.0,16691.0,16824.0,16760.0,16979.0,17142.0
4.0,120.0,16141.0,16439.0,16310.0,16337.0,16681.0,16463.0,17053.0
4.0,120.0,15642.0,15644.0,15586.0,15626.0,16136.0,15744.0,16645.0
