wareh,capacity,QMK,CHI,CHILOC,GP,GS,BS,RND
2.0,100.0,12788.0,13055.0,12963.0,13090.0,13927.0,0.0,14045.0
2.0,100.0,12547.0,12472.0,12390.0,12725.0,14084.0,0.0,13813.0
2.0,100.0,11697.0,11680.0,11612.0,11857.0,13775.0,0.0,13045.0
2.0,120.0,11697.0,12019.0,11739.0,12055.0,12315.0,12328.0,12986.0
2.0,120.0,11264.0,11403.0,11262.0,11453.0,12288.0,11490.0,12643.0
2.0,120.0,10474.0,10471.0,10466.0,10526.0,11364.0,10477.0,11269.0
3.0,100.0,13920.0,14074.0,13901.0,14522.0,15627.0,0.0,15988.0
3.0,100.0,13738.0,13902.0,13805.0,14129.0,15373.0,0.0,15793.0
3.0,100.0,13405.0,13453.0,13452.0,13644.0,14704.0,0.0,15330.0
3.0,120.0,13129.0,13369.0,13091.0,13472.0,13998.0,14319.0,15008.0
3.0,120.0,12918.0,13126.0,12930.0,13182.0,13591.0,13641.0,14838.0
3.0,120.0,12362.0,12611.0,12341.0,12808.0,12891.0,12890.0,14320.0
4.0,100.0,14474.0,14669.0,14580.0,15240.0,16618.0,0.0,17050.0
4.0,100.0,14280.0,14441.0,14349.0,15102.0,16322.0,0.0,16856.0
4.0,100.0,14044.0,14223.0,14139.0,14714.0,16167.0,0.0,16558.0
4.0,120.0,13829.0,14032.0,13830.0,14590.0,15144.0,15565.0,16214.0
4.0,120.0,13648.0,13944.0,13770.0,14305.0,15097.0,15063.0,16016.0
4.0,120.0,13352.0,13515.0,13379.0,13736.0,14629.0,14342.0,15708.0
