wareh,capacity,QMK,CHI,CHILOC,GP,GS,BS,RND
2.0,500.0,138346.0,138401.0,138346.0,139078.0,138709.0,0.0,146492.0
3.0,500.0,160109.0,160227.0,159922.0,161145.0,160966.0,0.0,168942.0
2.0,1000.0,137902.0,138054.0,137908.0,139982.0,138457.0,0.0,146187.0
3.0,1000.0,159192.0,161774.0,160602.0,161378.0,161218.0,0.0,168757.0
2.0,1500.0,137809.0,138082.0,137853.0,141627.0,139509.0,0.0,146220.0
3.0,1500.0,158826.0,164585.0,160087.0,161773.0,160789.0,0.0,168776.0
2.0,2000.0,137948.0,138616.0,137944.0,140417.0,139332.0,0.0,146231.0
3.0,2000.0,158465.0,161870.0,160082.0,163783.0,161367.0,0.0,168915.0
2.0,2500.0,137800.0,138682.0,137819.0,143480.0,139720.0,0.0,146135.0
3.0,2500.0,157770.0,161520.0,159466.0,164177.0,161052.0,0.0,168658.0
2.0,3000.0,137605.0,138502.0,137637.0,143698.0,139508.0,0.0,146356.0
3.0,3000.0,157754.0,161623.0,159500.0,163361.0,161316.0,0.0,168928.0
