wareh,capacity,QMK,CHI,CHILOC,GP,GS,BS,RND
2.0,1000.0,217075.0,218154.0,217135.0,266305.0,301352.0,301352.0,310305.0
2.0,1000.0,218439.0,217718.0,217561.0,267219.0,296854.0,296854.0,307931.0
2.0,1000.0,219319.0,216227.0,216053.0,251867.0,304566.0,304566.0,302311.0
3.0,1000.0,226246.0,224784.0,224485.0,323677.0,361001.0,361001.0,373402.0
3.0,1000.0,225291.0,225043.0,224832.0,300293.0,354451.0,354451.0,371202.0
3.0,1000.0,225010.0,222523.0,222304.0,293572.0,349782.0,349782.0,367069.0
2.0,2000.0,218007.0,218458.0,216940.0,288771.0,304759.0,304759.0,310184.0
2.0,2000.0,216567.0,217083.0,216097.0,279161.0,295590.0,295590.0,308259.0
2.0,2000.0,216263.0,215736.0,215579.0,279094.0,279022.0,279022.0,302120.0
3.0,2000.0,223551.0,224616.0,223458.0,301305.0,366129.0,366129.0,373496.0
3.0,2000.0,225032.0,227450.0,225657.0,334084.0,358733.0,358733.0,371746.0
3.0,2000.0,225668.0,224672.0,223622.0,307725.0,342377.0,342377.0,367904.0
2.0,3000.0,219376.0,221292.0,219836.0,269451.0,304112.0,304112.0,310057.0
2.0,3000.0,217471.0,218061.0,216777.0,282939.0,294199.0,294199.0,307968.0
2.0,3000.0,220510.0,218856.0,217654.0,274403.0,280740.0,280740.0,301570.0
3.0,3000.0,221819.0,222464.0,221454.0,315945.0,364896.0,364896.0,373154.0
3.0,3000.0,224616.0,226692.0,225534.0,333507.0,358814.0,358814.0,371633.0
3.0,3000.0,225924.0,226651.0,224376.0,325852.0,343743.0,343743.0,367453.0
2.0,4000.0,216611.0,221162.0,218069.0,289052.0,304794.0,304794.0,309803.0
2.0,4000.0,214953.0,215832.0,215125.0,283508.0,296761.0,296761.0,308414.0
2.0,4000.0,213348.0,217829.0,215363.0,266552.0,283551.0,283551.0,301886.0
3.0,4000.0,220285.0,222129.0,220413.0,314916.0,367377.0,367377.0,373234.0
3.0,4000.0,223558.0,226762.0,225031.0,325431.0,354572.0,354572.0,371558.0
3.0,4000.0,221761.0,224545.0,223389.0,324594.0,343405.0,343405.0,367175.0
2.0,5000.0,217638.0,221400.0,218239.0,286347.0,304817.0,304817.0,309976.0
2.0,5000.0,219258.0,220741.0,219009.0,280369.0,292413.0,292413.0,308298.0
2.0,5000.0,220413.0,218588.0,217540.0,271744.0,279955.0,279955.0,301875.0
3.0,5000.0,224366.0,227878.0,223954.0,334611.0,364473.0,364473.0,373092.0
3.0,5000.0,230347.0,233481.0,229623.0,321720.0,351349.0,351349.0,371449.0
3.0,5000.0,220915.0,227199.0,223710.0,315040.0,345088.0,345088.0,367450.0
2.0,6000.0,217355.0,222224.0,218034.0,292250.0,305514.0,305514.0,310072.0
2.0,6000.0,222181.0,218076.0,216677.0,287454.0,294531.0,294531.0,308038.0
2.0,6000.0,219827.0,217994.0,216074.0,272947.0,282590.0,282590.0,301903.0
3.0,6000.0,224005.0,228738.0,224257.0,340886.0,364712.0,364712.0,373497.0
3.0,6000.0,223736.0,225947.0,222311.0,343578.0,356155.0,356155.0,371762.0
3.0,6000.0,220255.0,227491.0,223250.0,333077.0,346300.0,346300.0,366847.0
2.0,7000.0,218733.0,225038.0,220051.0,296237.0,305253.0,305253.0,310050.0
2.0,7000.0,214518.0,225769.0,223478.0,290613.0,295899.0,295899.0,308441.0
2.0,7000.0,217577.0,222688.0,222045.0,276364.0,276859.0,276859.0,301866.0
3.0,7000.0,229895.0,229174.0,224240.0,336136.0,364485.0,364485.0,372740.0
3.0,7000.0,225397.0,231229.0,226800.0,340169.0,350567.0,350567.0,371396.0
3.0,7000.0,223673.0,231682.0,226708.0,321798.0,340726.0,340726.0,367043.0
2.0,8000.0,216841.0,221549.0,218579.0,291744.0,305639.0,305639.0,310262.0
2.0,8000.0,217627.0,233913.0,228291.0,288679.0,292937.0,292937.0,308113.0
2.0,8000.0,213403.0,227387.0,224691.0,275217.0,282242.0,282242.0,301898.0
