wareh,capacity,QMK,CHI,CHILOC,GP,GS,BS,RND
2.0,1000.0,254252.0,256411.0,255279.0,268826.0,261426.0,261426.0,310472.0
2.0,1000.0,263406.0,243780.0,243589.0,248845.0,271368.0,271368.0,307963.0
2.0,1000.0,272561.0,234173.0,234064.0,241648.0,235657.0,235657.0,302270.0
3.0,1000.0,298830.0,306232.0,302133.0,321307.0,312534.0,312534.0,373255.0
3.0,1000.0,286939.0,290685.0,289401.0,316862.0,305880.0,305880.0,371803.0
3.0,1000.0,281979.0,280873.0,277259.0,297501.0,286053.0,286053.0,366926.0
2.0,2000.0,253376.0,254796.0,253889.0,273440.0,259466.0,259466.0,310062.0
2.0,2000.0,264866.0,244513.0,244208.0,249953.0,246105.0,246105.0,308224.0
2.0,2000.0,275184.0,234174.0,234173.0,238668.0,235050.0,235050.0,301927.0
3.0,2000.0,295233.0,305175.0,299899.0,323137.0,314334.0,314334.0,373375.0
3.0,2000.0,284087.0,291444.0,288256.0,311700.0,309385.0,309385.0,371221.0
3.0,2000.0,274794.0,278129.0,274560.0,301020.0,304588.0,304588.0,367448.0
2.0,3000.0,253564.0,254717.0,254137.0,265870.0,263309.0,263309.0,310029.0
2.0,3000.0,242645.0,243096.0,242695.0,248071.0,244518.0,244518.0,307928.0
2.0,3000.0,233890.0,233948.0,233921.0,238866.0,236262.0,236262.0,302573.0
3.0,3000.0,295028.0,306781.0,301445.0,321127.0,311038.0,311038.0,373135.0
3.0,3000.0,294624.0,289482.0,285821.0,314393.0,315173.0,315173.0,371679.0
3.0,3000.0,296061.0,279014.0,276248.0,301147.0,282210.0,282210.0,367298.0
2.0,4000.0,253123.0,255079.0,253680.0,266668.0,258163.0,258163.0,310115.0
2.0,4000.0,263479.0,244064.0,243503.0,247665.0,245434.0,245434.0,308106.0
2.0,4000.0,272559.0,232900.0,232876.0,237689.0,288751.0,288751.0,302289.0
3.0,4000.0,292848.0,304708.0,299505.0,323969.0,313888.0,313888.0,373088.0
3.0,4000.0,282281.0,289590.0,286169.0,315185.0,297338.0,297338.0,371288.0
3.0,4000.0,276595.0,277582.0,274057.0,298553.0,287459.0,287459.0,368020.0
2.0,5000.0,253853.0,255559.0,254483.0,269706.0,259841.0,259841.0,310168.0
2.0,5000.0,243047.0,243502.0,243125.0,246889.0,245765.0,245765.0,308372.0
2.0,5000.0,272969.0,232957.0,232785.0,236838.0,234888.0,234888.0,301508.0
3.0,5000.0,292398.0,303688.0,297896.0,323887.0,309816.0,309816.0,373605.0
3.0,5000.0,282956.0,291901.0,287297.0,313726.0,295075.0,295075.0,371729.0
3.0,5000.0,293422.0,282051.0,274981.0,296443.0,281132.0,281132.0,366894.0
2.0,6000.0,253691.0,254985.0,253718.0,270274.0,265838.0,265838.0,310038.0
2.0,6000.0,243241.0,243767.0,243199.0,247025.0,246296.0,246296.0,308240.0
2.0,6000.0,233042.0,233210.0,233133.0,237340.0,234112.0,234112.0,301720.0
3.0,6000.0,293048.0,305428.0,299888.0,323404.0,313663.0,313663.0,372761.0
3.0,6000.0,295150.0,292346.0,287458.0,311457.0,296320.0,296320.0,371356.0
3.0,6000.0,294883.0,282448.0,276004.0,297071.0,288791.0,288791.0,366999.0
2.0,7000.0,252779.0,254595.0,253404.0,267322.0,264911.0,264911.0,310291.0
2.0,7000.0,243096.0,243630.0,243175.0,247062.0,245247.0,245247.0,308031.0
2.0,7000.0,271741.0,232738.0,232614.0,236188.0,237064.0,237064.0,301902.0
3.0,7000.0,293138.0,306264.0,299900.0,322799.0,313171.0,313171.0,373303.0
3.0,7000.0,298076.0,294041.0,287249.0,314740.0,295591.0,295591.0,371730.0
