dependency,skus,service_level,wareh,diff,buffer,heuristic,parcel_train,parcel_test,duration
ED,1000,1.0,2,0.0,0.0,CHIM,132795,133209,11.5055726
ED,1000,1.0,2,0.0,0.0,CHI,132554,133072,0.3413832
ED,1000,1.0,2,0.0,0.0,RND,155035,155148,0.4459122
ED,1000,0.9,2,0.0,0.0,CHIM,132795,133209,0.2350978
ED,1000,0.9,2,0.0,0.0,CHI,132554,133072,0.2388934
ED,1000,0.9,2,0.0,0.0,RND,155020,155135,0.2049859
ED,1000,0.8,2,0.0,0.0,CHIM,132795,133209,0.2354625
ED,1000,0.8,2,0.0,0.0,CHI,132554,133072,0.2783207
ED,1000,0.8,2,0.0,0.0,RND,155036,155192,0.2698567
ED,1000,0.7,2,0.0,0.0,CHIM,132795,133209,0.2740138
ED,1000,0.7,2,0.0,0.0,CHI,132554,133072,0.2683423
ED,1000,0.7,2,0.0,0.0,RND,155019,155134,0.2769046
ED,1000,0.6,2,0.0,0.0,CHIM,132795,133209,0.2604647
ED,1000,0.6,2,0.0,0.0,CHI,132554,133072,0.2675582
ED,1000,0.6,2,0.0,0.0,RND,155084,155163,0.2588171
ED,1000,0.5,2,0.0,0.0,CHIM,132795,133209,0.258142
ED,1000,0.5,2,0.0,0.0,CHI,132554,133072,0.276234
ED,1000,0.5,2,0.0,0.0,RND,155022,155153,0.281314
ED,1000,0.4,2,0.0,0.0,CHIM,132795,133209,0.2755424
ED,1000,0.4,2,0.0,0.0,CHI,132554,133072,0.2854589
ED,1000,0.4,2,0.0,0.0,RND,155041,155159,0.2837112
ED,1000,0.3,2,0.0,0.0,CHIM,132795,133209,0.2498495
ED,1000,0.3,2,0.0,0.0,CHI,132554,133072,0.2907527
ED,1000,0.3,2,0.0,0.0,RND,155001,155172,0.229635
ED,1000,0.2,2,0.0,0.0,CHIM,132795,133209,0.248828
ED,1000,0.2,2,0.0,0.0,CHI,132554,133072,0.3050266
ED,1000,0.2,2,0.0,0.0,RND,155070,155167,0.2600846
ED,1000,0.1,2,0.0,0.0,CHIM,132795,133209,0.2728676
ED,1000,0.1,2,0.0,0.0,CHI,132554,133072,0.296335
ED,1000,0.1,2,0.0,0.0,RND,155025,155144,0.2350663
ED,1000,0.09,2,0.0,0.0,CHIM,132795,133209,0.2745196
ED,1000,0.09,2,0.0,0.0,CHI,132554,133072,0.2794975
ED,1000,0.09,2,0.0,0.0,RND,155029,155146,0.3029772
ED,1000,0.08,2,0.0,0.0,CHIM,132795,133209,0.2837426
ED,1000,0.08,2,0.0,0.0,CHI,132554,133072,0.3011953
ED,1000,0.08,2,0.0,0.0,RND,155005,155127,0.2512609
ED,1000,0.07,2,0.0,0.0,CHIM,132795,133209,0.2679675
ED,1000,0.07,2,0.0,0.0,CHI,132554,133072,0.2806134
ED,1000,0.07,2,0.0,0.0,RND,155052,155151,0.2387292
ED,1000,0.06,2,0.0,0.0,CHIM,132795,133209,0.271835
ED,1000,0.06,2,0.0,0.0,CHI,132554,133072,0.283899
ED,1000,0.06,2,0.0,0.0,RND,155059,155160,0.2620072
ED,1000,0.05,2,0.0,0.0,CHIM,132795,133209,0.2759263
ED,1000,0.05,2,0.0,0.0,CHI,132554,133072,0.2921439
ED,1000,0.05,2,0.0,0.0,RND,155014,155173,0.3102386
ED,1000,0.04,2,0.0,0.0,CHIM,132795,133209,0.2998803
ED,1000,0.04,2,0.0,0.0,CHI,132554,133072,0.3015309
ED,1000,0.04,2,0.0,0.0,RND,155039,155153,0.2625618
ED,1000,0.03,2,0.0,0.0,CHIM,132795,133209,0.2933195
ED,1000,0.03,2,0.0,0.0,CHI,132554,133072,0.2970871
ED,1000,0.03,2,0.0,0.0,RND,155007,155140,0.2475746
ED,1000,0.02,2,0.0,0.0,CHIM,132795,133209,0.2819788
ED,1000,0.02,2,0.0,0.0,CHI,132554,133072,0.3098215
ED,1000,0.02,2,0.0,0.0,RND,155006,155145,0.2236879
ED,1000,0.01,2,0.0,0.0,CHIM,132795,133209,0.3016349
ED,1000,0.01,2,0.0,0.0,CHI,132554,133072,0.3115334
ED,1000,0.01,2,0.0,0.0,RND,155054,155129,0.2573028
ED,1000,0.009,2,0.0,0.0,CHIM,132795,133209,0.294577
ED,1000,0.009,2,0.0,0.0,CHI,132554,133072,0.3161103
ED,1000,0.009,2,0.0,0.0,RND,155074,155152,0.2635744
ED,1000,0.008,2,0.0,0.0,CHIM,132795,133209,0.2930901
ED,1000,0.008,2,0.0,0.0,CHI,132554,133072,0.3463718
ED,1000,0.008,2,0.0,0.0,RND,155063,155135,0.2759064
ED,1000,0.007,2,0.0,0.0,CHIM,132795,133209,0.3228166
ED,1000,0.007,2,0.0,0.0,CHI,132554,133072,0.3340911
ED,1000,0.007,2,0.0,0.0,RND,155038,155131,0.2296865
ED,1000,0.006,2,0.0,0.0,CHIM,132795,133209,0.3163775
ED,1000,0.006,2,0.0,0.0,CHI,132554,133072,0.3536373
ED,1000,0.006,2,0.0,0.0,RND,155013,155113,0.2542418
ED,1000,0.005,2,0.0,0.0,CHIM,132795,133209,0.3532111
ED,1000,0.005,2,0.0,0.0,CHI,132554,133072,0.3296014
ED,1000,0.005,2,0.0,0.0,RND,155035,155159,0.2479159
ED,1000,0.004,2,0.0,0.0,CHIM,132795,133209,0.2959899
ED,1000,0.004,2,0.0,0.0,CHI,132554,133072,0.3519403
ED,1000,0.004,2,0.0,0.0,RND,155034,155128,0.2504893
ED,1000,0.003,2,0.0,0.0,CHIM,132795,133209,0.30631
ED,1000,0.003,2,0.0,0.0,CHI,132554,133072,0.3424871
ED,1000,0.003,2,0.0,0.0,RND,155022,155176,0.2457614
ED,1000,0.002,2,0.0,0.0,CHIM,132795,133209,0.2874768
ED,1000,0.002,2,0.0,0.0,CHI,132554,133072,0.3215773
ED,1000,0.002,2,0.0,0.0,RND,155019,155150,0.2222972
ED,1000,0.001,2,0.0,0.0,CHIM,132795,133209,0.2806072
ED,1000,0.001,2,0.0,0.0,CHI,132554,133072,0.328695
ED,1000,0.001,2,0.0,0.0,RND,155018,155123,0.2088571
ED,1000,0.0009,2,0.0,0.0,CHIM,132795,133209,0.2902683
ED,1000,0.0009,2,0.0,0.0,CHI,132554,133072,0.3173209
ED,1000,0.0009,2,0.0,0.0,RND,155046,155176,0.2088505
ED,1000,0.0008,2,0.0,0.0,CHIM,132795,133209,0.292172
ED,1000,0.0008,2,0.0,0.0,CHI,132554,133072,0.3233043
ED,1000,0.0008,2,0.0,0.0,RND,155051,155179,0.1973667
ED,1000,0.0007,2,0.0,0.0,CHIM,132795,133209,0.2880107
ED,1000,0.0007,2,0.0,0.0,CHI,132554,133072,0.3344145
ED,1000,0.0007,2,0.0,0.0,RND,155026,155161,0.2179516
ED,1000,0.0006,2,0.0,0.0,CHIM,132795,133209,0.2917588
ED,1000,0.0006,2,0.0,0.0,CHI,132554,133072,0.3034783
ED,1000,0.0006,2,0.0,0.0,RND,155008,155147,0.2290296
ED,1000,0.0005,2,0.0,0.0,CHIM,132795,133209,0.3147684
