dependency,skus,service_level,wareh,diff,buffer,heuristic,parcel_train,parcel_test,duration
HD,1000,1.0,2,0.0,0.0,CHIM,131844,132239,14.4527369
HD,1000,1.0,2,0.0,0.0,CHI,131196,131679,0.4234275
HD,1000,1.0,2,0.0,0.0,RND,154909,155336,0.5366689
HD,1000,0.9,2,0.0,0.0,CHIM,131844,132239,0.303077
HD,1000,0.9,2,0.0,0.0,CHI,131196,131679,0.3085918
HD,1000,0.9,2,0.0,0.0,RND,155080,155252,0.3013302
HD,1000,0.8,2,0.0,0.0,CHIM,131844,132239,0.2941446
HD,1000,0.8,2,0.0,0.0,CHI,131196,131679,0.3021431
HD,1000,0.8,2,0.0,0.0,RND,154959,155265,0.2768519
HD,1000,0.7,2,0.0,0.0,CHIM,131844,132239,0.2936703
HD,1000,0.7,2,0.0,0.0,CHI,131196,131679,0.3130373
HD,1000,0.7,2,0.0,0.0,RND,154944,155221,0.255673
HD,1000,0.6,2,0.0,0.0,CHIM,131844,132239,0.2930616
HD,1000,0.6,2,0.0,0.0,CHI,131196,131679,0.3028787
HD,1000,0.6,2,0.0,0.0,RND,154922,155302,0.3216842
HD,1000,0.5,2,0.0,0.0,CHIM,131844,132239,0.3072778
HD,1000,0.5,2,0.0,0.0,CHI,131196,131679,0.2783017
HD,1000,0.5,2,0.0,0.0,RND,154895,155164,0.295104
HD,1000,0.4,2,0.0,0.0,CHIM,131844,132239,0.2895877
HD,1000,0.4,2,0.0,0.0,CHI,131196,131679,0.3114843
HD,1000,0.4,2,0.0,0.0,RND,154950,155221,0.3001726
HD,1000,0.3,2,0.0,0.0,CHIM,131755,132149,0.2959724
HD,1000,0.3,2,0.0,0.0,CHI,131075,131556,0.3096905
HD,1000,0.3,2,0.0,0.0,RND,154963,155198,0.2849381
HD,1000,0.2,2,0.0,0.0,CHIM,131755,132149,0.2980718
HD,1000,0.2,2,0.0,0.0,CHI,131075,131556,0.292878
HD,1000,0.2,2,0.0,0.0,RND,154968,155275,0.2933725
HD,1000,0.1,2,0.0,0.0,CHIM,131755,132149,0.3115392
HD,1000,0.1,2,0.0,0.0,CHI,131075,131556,0.3229971
HD,1000,0.1,2,0.0,0.0,RND,154976,155285,0.2655782
HD,1000,0.09,2,0.0,0.0,CHIM,131755,132149,0.3062364
HD,1000,0.09,2,0.0,0.0,CHI,131075,131556,0.3039813
HD,1000,0.09,2,0.0,0.0,RND,154953,155317,0.2391569
HD,1000,0.08,2,0.0,0.0,CHIM,131755,132149,0.3155173
HD,1000,0.08,2,0.0,0.0,CHI,131075,131556,0.3223313
HD,1000,0.08,2,0.0,0.0,RND,154933,155330,0.2800473
HD,1000,0.07,2,0.0,0.0,CHIM,131755,132149,0.3031844
HD,1000,0.07,2,0.0,0.0,CHI,131075,131556,0.3145704
HD,1000,0.07,2,0.0,0.0,RND,154985,155355,0.2969183
HD,1000,0.06,2,0.0,0.0,CHIM,131755,132149,0.2803015
HD,1000,0.06,2,0.0,0.0,CHI,131075,131556,0.3045172
HD,1000,0.06,2,0.0,0.0,RND,154925,155268,0.2517881
HD,1000,0.05,2,0.0,0.0,CHIM,131755,132149,0.3082607
HD,1000,0.05,2,0.0,0.0,CHI,131075,131556,0.3029348
HD,1000,0.05,2,0.0,0.0,RND,154935,155371,0.2366466
HD,1000,0.04,2,0.0,0.0,CHIM,131512,132061,0.3064623
HD,1000,0.04,2,0.0,0.0,CHI,130837,131312,0.3229554
HD,1000,0.04,2,0.0,0.0,RND,154959,155338,0.216673
HD,1000,0.03,2,0.0,0.0,CHIM,131512,132061,0.291898
HD,1000,0.03,2,0.0,0.0,CHI,130837,131312,0.2909743
HD,1000,0.03,2,0.0,0.0,RND,154970,155342,0.1990272
HD,1000,0.02,2,0.0,0.0,CHIM,131512,132061,0.3153184
HD,1000,0.02,2,0.0,0.0,CHI,130837,131312,0.2930578
HD,1000,0.02,2,0.0,0.0,RND,154960,155258,0.2132804
HD,1000,0.01,2,0.0,0.0,CHIM,131614,132066,0.2980509
HD,1000,0.01,2,0.0,0.0,CHI,131009,131422,0.2896597
HD,1000,0.01,2,0.0,0.0,RND,154952,155237,0.2022515
HD,1000,0.009,2,0.0,0.0,CHIM,131614,132066,0.2902727
HD,1000,0.009,2,0.0,0.0,CHI,131009,131422,0.2892306
HD,1000,0.009,2,0.0,0.0,RND,154892,155285,0.219449
HD,1000,0.008,2,0.0,0.0,CHIM,131614,132066,0.2961199
HD,1000,0.008,2,0.0,0.0,CHI,131009,131422,0.2948443
HD,1000,0.008,2,0.0,0.0,RND,154995,155220,0.2105695
HD,1000,0.007,2,0.0,0.0,CHIM,131614,132066,0.3209951
HD,1000,0.007,2,0.0,0.0,CHI,131009,131422,0.2939964
HD,1000,0.007,2,0.0,0.0,RND,154926,155247,0.228312
HD,1000,0.006,2,0.0,0.0,CHIM,131867,132375,0.2925871
HD,1000,0.006,2,0.0,0.0,CHI,130953,131531,0.2896999
HD,1000,0.006,2,0.0,0.0,RND,154947,155274,0.2476675
HD,1000,0.005,2,0.0,0.0,CHIM,131867,132375,0.3015104
HD,1000,0.005,2,0.0,0.0,CHI,130953,131531,0.2996006
HD,1000,0.005,2,0.0,0.0,RND,154909,155222,0.19914
HD,1000,0.004,2,0.0,0.0,CHIM,131867,132375,0.3120504
HD,1000,0.004,2,0.0,0.0,CHI,130953,131531,0.2887134
HD,1000,0.004,2,0.0,0.0,RND,154945,155313,0.2339852
HD,1000,0.003,2,0.0,0.0,CHIM,131867,132375,0.304238
