wareh,capacity,buffer,QMKOPT,QMK,CHI,CHILOC,KLINK,KLINKQMK,GP,GS,BS,OPT,RND
2.0,20.0,0.0,143.0,143.0,145.0,143.0,143.0,143.0,147.0,154.0,154.0,143.0,163.0
2.0,20.0,0.0,137.0,137.0,137.0,142.0,137.0,137.0,139.0,146.0,146.0,137.0,160.0
2.0,20.0,0.0,126.0,126.0,126.0,126.0,126.0,126.0,126.0,138.0,138.0,126.0,162.0
3.0,20.0,0.0,167.0,168.0,170.0,165.0,169.0,166.0,174.0,205.0,205.0,166.0,199.0
3.0,20.0,0.0,167.0,168.0,170.0,165.0,169.0,166.0,174.0,205.0,205.0,166.0,199.0
3.0,20.0,0.0,161.0,162.0,166.0,176.0,161.0,161.0,168.0,193.0,193.0,161.0,197.0
2.0,24.0,4.0,120.0,120.0,123.0,123.0,0.0,0.0,120.0,120.0,134.0,122.0,152.0
2.0,24.0,4.0,116.0,116.0,124.0,119.0,0.0,0.0,118.0,121.0,124.0,121.0,150.0
2.0,24.0,4.0,114.0,114.0,119.0,119.0,0.0,0.0,117.0,116.0,125.0,117.0,145.0
3.0,24.0,4.0,152.0,152.0,160.0,161.0,0.0,0.0,159.0,155.0,171.0,156.0,182.0
3.0,24.0,4.0,148.0,165.0,155.0,151.0,0.0,0.0,157.0,169.0,169.0,153.0,186.0
3.0,24.0,4.0,150.0,147.0,147.0,153.0,0.0,0.0,151.0,174.0,160.0,142.0,181.0
