wareh,capacity,buffer,QMKOPT,QMK,CHI,CHILOC,KLINK,KLINKQMK,GP,GS,BS,OPT,RND
2.0,20.0,0.0682315,10.1498331,0.200448,0.26685349999999997,0.13468449999999998,0.047088,0.1596688,0.0682866,0.5302432,0.0683349,1.4859219,0.070498
2.0,20.0,7.01e-5,2.0340594,0.11959260000000001,0.00012069999999999999,0.00015079999999999998,0.030879,0.091681,0.0001097,0.0001569,0.00011879999999999999,0.7638028,0.0001164
2.0,20.0,9.77e-5,2.2209391,0.1134956,0.0001616,0.00015920000000000002,0.0790746,0.1117764,0.0001575,0.000205,0.0002041,0.770615,0.0001775
3.0,20.0,8.44e-5,44.603177099999996,0.1891364,0.0001392,0.0001617,0.0405392,0.1748057,0.0001579,0.000207,0.0001626,4.4508096,0.0001898
3.0,20.0,9.56e-5,43.4485076,0.1747739,0.0001588,0.0001801,0.0886637,0.175194,0.00016820000000000002,0.0002345,0.00022400000000000002,4.8787054,0.0001751
3.0,20.0,6.69e-5,20.3408973,0.21720530000000002,0.0001405,0.0001574,0.0405459,0.2604321,0.0001363,0.0001922,0.0001717,4.2276297,0.0002181
2.0,24.0,0.0001067,6.279617,0.1374934,0.0001872,0.0002003,0.0,0.0,0.0001627,0.00020820000000000002,0.0002463,12.9586601,0.0114895
2.0,24.0,7.37e-5,4.657877099999999,0.16969530000000002,0.00014800000000000002,0.0001717,0.0,0.0,0.0001598,0.0001698,0.00016889999999999999,11.6293206,0.0003908
2.0,24.0,8.06e-5,3.6641914,0.14127599999999998,0.0001669,0.0001787,0.0,0.0,0.0001538,0.0001792,0.0001792,10.7883689,0.0003769
3.0,24.0,0.00011,871.8746658,0.2155274,0.00020150000000000002,0.00018449999999999999,0.0,0.0,0.00018449999999999999,0.0002273,0.0001921,12497.0332786,0.0007878
3.0,24.0,8.68e-5,1034.8179896,0.2487115,0.000185,0.0002172,0.0,0.0,0.0001448,0.0002155,0.0001659,6254.2670951,0.0006855
3.0,24.0,0.0001277,542.1692078,0.1558378,0.0002643,0.0002205,0.0,0.0,0.00020009999999999998,0.0002555,0.0002075,1054.2353402,0.0007726
