wareh,capacity,buffer,QMKOPT,QMK,CHI,CHILOC,KLINK,KLINKQMK,GP,GS,BS,OPT,RND
2.0,20.0,0.0647921,9.9562273,0.1928859,0.2605531,0.1316971,0.0479776,0.1394117,0.0648355,0.5051335,0.06485360000000001,1.412519,0.0763199
2.0,20.0,6.57e-5,2.0343149,0.0971825,0.0001071,0.0001083,0.0282165,0.1287301,0.00010510000000000001,0.0001539,0.0001206,0.6405858,0.0001709
2.0,20.0,0.0001047,2.0700118,0.0882172,0.0001435,0.0001606,0.0288243,0.16116399999999997,0.00015329999999999999,0.00018439999999999998,0.0001579,0.7119441,0.0001458
3.0,20.0,0.0001752,100.4678322,0.33045379999999996,0.0002391,0.0002458,0.0390934,0.22485770000000002,0.0002401,0.0002561,0.00024380000000000002,6.5723151,0.0001744
3.0,20.0,8.14e-5,103.1109484,0.2969619,0.00014570000000000002,0.0001593,0.0368139,0.1694683,0.0001518,0.0001885,0.0001619,6.3822619,0.0001523
3.0,20.0,8.52e-5,25.463399300000003,0.22617400000000001,0.0001506,0.0001525,0.0401655,0.2392973,0.00016669999999999999,0.0002053,0.00017329999999999998,4.4406166,0.0001966
2.0,24.0,6.95e-5,5.960217,0.1664448,0.0001493,0.0001317,0.0,0.0,0.0001319,0.00015670000000000001,0.000159,19.2923138,0.0111598
2.0,24.0,6.66e-5,4.0539537,0.1792156,0.0001319,0.0001373,0.0,0.0,0.0001295,0.000138,0.00012330000000000002,16.5217088,0.000407
2.0,24.0,6.23e-5,3.5995206000000004,0.21113169999999998,0.00013099999999999999,0.0001183,0.0,0.0,0.0001275,0.0001499,0.000117,11.1029727,0.0003673
3.0,24.0,9.11e-5,943.5050650999999,0.409714,0.0001803,0.0002185,0.0,0.0,0.0001855,0.0002786,0.00022439999999999998,8840.045606,0.00074
3.0,24.0,8.97e-5,848.9832139,0.35386660000000003,0.0001852,0.00023999999999999998,0.0,0.0,0.0001997,0.0001906,0.00015309999999999998,18421.4070303,0.0006441
3.0,24.0,0.0001084,202.0490868,0.20988410000000002,0.00018,0.0002188,0.0,0.0,0.0002044,0.0002402,0.0002414,2162.0634425,0.0005884
