wareh,capacity,buffer,QMKOPT,QMK,CHI,CHILOC,KLINK,KLINKQMK,GP,GS,BS,OPT,RND
2.0,20.0,0.0,0.10457516339869277,0.10457516339869277,0.10457516339869277,0.07843137254901966,0.10457516339869277,0.10457516339869277,0.08496732026143794,0.05882352941176472,0.05882352941176472,0.10457516339869277,0.0
2.0,20.0,0.0,0.10135135135135132,0.10135135135135132,0.10135135135135132,0.10135135135135132,0.10135135135135132,0.10135135135135132,0.08108108108108103,0.04729729729729726,0.04729729729729726,0.10135135135135132,0.0
2.0,20.0,0.0,0.13422818791946312,0.13422818791946312,0.13422818791946312,0.13422818791946312,0.13422818791946312,0.13422818791946312,0.13422818791946312,0.0738255033557047,0.0738255033557047,0.13422818791946312,0.0
3.0,20.0,0.0,0.09444444444444444,0.09444444444444444,0.09999999999999998,0.09444444444444444,0.09444444444444444,0.09444444444444444,0.09999999999999998,0.050000000000000044,0.050000000000000044,0.09444444444444444,0.0
3.0,20.0,0.0,0.08938547486033521,0.08938547486033521,0.0949720670391061,0.08938547486033521,0.08938547486033521,0.08938547486033521,0.0949720670391061,0.04469273743016755,0.04469273743016755,0.08938547486033521,0.0
3.0,20.0,0.0,0.13966480446927376,0.0949720670391061,0.13966480446927376,0.0949720670391061,0.13966480446927376,0.0949720670391061,0.14525139664804465,0.06145251396648044,0.06145251396648044,0.12849162011173187,0.0
2.0,24.0,4.0,0.12587412587412583,0.12587412587412583,0.11888111888111885,0.11888111888111885,0.0,0.0,0.12587412587412583,0.11888111888111885,0.09790209790209792,0.12587412587412583,0.0
2.0,24.0,4.0,0.17266187050359716,0.17266187050359716,0.1007194244604317,0.15107913669064743,0.0,0.0,0.17266187050359716,0.1007194244604317,0.1007194244604317,0.1079136690647482,0.0
2.0,24.0,4.0,0.204225352112676,0.204225352112676,0.1901408450704225,0.1338028169014085,0.0,0.0,0.22535211267605637,0.1901408450704225,0.12676056338028174,0.21126760563380287,0.0
3.0,24.0,4.0,0.0662650602409639,0.0662650602409639,0.09036144578313254,0.08433734939759041,0.0,0.0,0.09638554216867468,0.06024096385542166,0.04216867469879515,0.07831325301204817,0.0
3.0,24.0,4.0,0.14457831325301207,0.07831325301204817,0.1325301204819277,0.0662650602409639,0.0,0.0,0.1325301204819277,0.10240963855421692,0.09638554216867468,0.14457831325301207,0.0
3.0,24.0,4.0,0.18787878787878787,0.1636363636363637,0.17575757575757578,0.11515151515151512,0.0,0.0,0.1575757575757576,0.1515151515151515,0.1515151515151515,0.18181818181818177,0.0
