wareh,capacity,buffer,QMKOPT,QMK,CHI,CHILOC,KLINK,KLINKQMK,GP,GS,BS,OPT,RND
2.0,20.0,0.0,1419.0,1419.0,1420.0,1418.0,1424.0,1424.0,1449.0,1436.0,1436.0,1401.0,1536.0
2.0,20.0,0.0,1361.0,1361.0,1361.0,1361.0,1361.0,1361.0,1433.0,1473.0,1473.0,1361.0,1516.0
2.0,20.0,0.0,1325.0,1325.0,1343.0,1325.0,1325.0,1325.0,1403.0,1504.0,1504.0,1322.0,1509.0
3.0,20.0,0.0,1612.0,1618.0,1675.0,1703.0,1612.0,1612.0,1647.0,1800.0,1800.0,1611.0,1836.0
3.0,20.0,0.0,1612.0,1618.0,1675.0,1703.0,1612.0,1612.0,1647.0,1800.0,1800.0,1611.0,1826.0
3.0,20.0,0.0,1570.0,1594.0,1628.0,1719.0,1570.0,1588.0,1678.0,1803.0,1803.0,1561.0,1810.0
2.0,24.0,4.0,1259.0,1259.0,1274.0,1274.0,0.0,0.0,1295.0,1284.0,1335.0,1243.0,1422.0
2.0,24.0,4.0,1229.0,1229.0,1246.0,1251.0,0.0,0.0,1267.0,1310.0,1307.0,1225.0,1421.0
2.0,24.0,4.0,1192.0,1209.0,1201.0,1201.0,0.0,0.0,1212.0,1302.0,1264.0,1190.0,1404.0
3.0,24.0,4.0,1512.0,1491.0,1549.0,1508.0,0.0,0.0,1541.0,1566.0,1670.0,1455.0,1707.0
3.0,24.0,4.0,1478.0,1480.0,1493.0,1516.0,0.0,0.0,1491.0,1539.0,1609.0,1414.0,1670.0
3.0,24.0,4.0,1414.0,1428.0,1446.0,1447.0,0.0,0.0,1468.0,1541.0,1546.0,1384.0,1695.0
