wareh,capacity,buffer,QMKOPT,QMK,CHI,CHILOC,KLINK,KLINKQMK,GP,GS,BS,OPT,RND
2.0,20.0,0.0,0.21828358208955223,0.21828358208955223,0.21641791044776115,0.2201492537313433,0.20895522388059706,0.20895522388059706,0.1623134328358209,0.18656716417910446,0.18656716417910446,0.2518656716417911,0.0
2.0,20.0,0.0,0.3003875968992248,0.3003875968992248,0.3003875968992248,0.3003875968992248,0.3003875968992248,0.3003875968992248,0.16085271317829453,0.08333333333333337,0.08333333333333337,0.3003875968992248,0.0
2.0,20.0,0.0,0.3614931237721022,0.3614931237721022,0.32612966601178783,0.3614931237721022,0.3614931237721022,0.3614931237721022,0.2082514734774067,0.00982318271119842,0.00982318271119842,0.3673870333988212,0.0
3.0,20.0,0.0,0.26794258373205737,0.2607655502392344,0.1925837320574163,0.15909090909090906,0.26794258373205737,0.26794258373205737,0.22607655502392343,0.0430622009569378,0.0430622009569378,0.26913875598086123,0.0
3.0,20.0,0.0,0.2590799031476998,0.2518159806295399,0.1828087167070218,0.14891041162227603,0.2590799031476998,0.2590799031476998,0.2167070217917676,0.03147699757869249,0.03147699757869249,0.26029055690072644,0.0
3.0,20.0,0.0,0.2962962962962963,0.2666666666666667,0.2246913580246913,0.11234567901234571,0.2962962962962963,0.274074074074074,0.16296296296296298,0.00864197530864197,0.00864197530864197,0.30740740740740746,0.0
2.0,24.0,4.0,0.38625592417061616,0.38625592417061616,0.3507109004739336,0.3507109004739336,0.0,0.0,0.30094786729857825,0.3270142180094787,0.20616113744075826,0.42417061611374407,0.0
2.0,24.0,4.0,0.4560570071258907,0.4560570071258907,0.41567695961995255,0.40380047505938244,0.0,0.0,0.3657957244655582,0.26365795724465557,0.27078384798099764,0.4655581947743468,0.0
2.0,24.0,4.0,0.5247524752475248,0.48267326732673266,0.5024752475247525,0.5024752475247525,0.0,0.0,0.4752475247524752,0.2524752475247525,0.3465346534653465,0.5297029702970297,0.0
3.0,24.0,4.0,0.2758132956152758,0.3055162659123055,0.22347949080622342,0.2814710042432814,0.0,0.0,0.2347949080622348,0.19943422913719944,0.052333804809052364,0.3564356435643564,0.0
3.0,24.0,4.0,0.28656716417910444,0.28358208955223885,0.26417910447761195,0.22985074626865676,0.0,0.0,0.26716417910447765,0.19552238805970146,0.09104477611940298,0.3820895522388059,0.0
3.0,24.0,4.0,0.4043165467625899,0.3841726618705036,0.358273381294964,0.3568345323741007,0.0,0.0,0.32661870503597124,0.22158273381294968,0.21438848920863307,0.4474820143884892,0.0
