wareh,capacity,buffer,QMK,CHI,CHILOC,KLINK,KLINKQMK,GP,GS,BS,RND
2.0,100.0,0.0,13838.0,13838.0,13838.0,14402.0,13838.0,13838.0,14087.0,14087.0,15627.0
2.0,100.0,0.0,13237.0,13237.0,13259.0,13912.0,13263.0,13263.0,14601.0,14601.0,15507.0
2.0,100.0,0.0,12686.0,12686.0,12686.0,13153.0,12686.0,12686.0,15031.0,15031.0,15443.0
3.0,100.0,0.0,16648.0,16625.0,16772.0,17379.0,16642.0,16657.0,17028.0,17028.0,18799.0
3.0,100.0,0.0,17056.0,16116.0,16229.0,17024.0,17053.0,16116.0,16545.0,16545.0,18744.0
3.0,100.0,0.0,15955.0,15703.0,15864.0,16600.0,15955.0,15701.0,16378.0,16378.0,18612.0
4.0,100.0,0.0,18772.0,18734.0,18733.0,19428.0,18721.0,18733.0,19250.0,19250.0,20811.0
4.0,100.0,0.0,18197.0,18212.0,18459.0,18999.0,18179.0,18212.0,18882.0,18882.0,20788.0
4.0,100.0,0.0,17779.0,17779.0,18068.0,18806.0,17779.0,17772.0,18402.0,18402.0,20687.0
2.0,120.0,20.0,12241.0,12241.0,12241.0,0.0,0.0,12241.0,12241.0,12305.0,14497.0
2.0,120.0,20.0,12706.0,11715.0,11720.0,0.0,0.0,11756.0,12706.0,11794.0,14334.0
2.0,120.0,20.0,13140.0,11233.0,11233.0,0.0,0.0,11233.0,13152.0,11286.0,14172.0
3.0,120.0,20.0,15161.0,15171.0,15109.0,0.0,0.0,15178.0,15188.0,15402.0,17466.0
3.0,120.0,20.0,14668.0,14713.0,15078.0,0.0,0.0,14721.0,14819.0,14911.0,17469.0
3.0,120.0,20.0,14347.0,14221.0,14450.0,0.0,0.0,14210.0,14422.0,14351.0,17405.0
4.0,120.0,20.0,17139.0,17352.0,17120.0,0.0,0.0,17346.0,17490.0,17631.0,19442.0
4.0,120.0,20.0,17207.0,16878.0,17100.0,0.0,0.0,16878.0,17075.0,17148.0,19463.0
4.0,120.0,20.0,17238.0,16362.0,16935.0,0.0,0.0,16378.0,16683.0,16620.0,19335.0
2.0,200.0,0.0,13861.0,13861.0,13860.0,15102.0,13860.0,13877.0,13997.0,13997.0,15604.0
2.0,200.0,0.0,13249.0,13249.0,13268.0,14802.0,13265.0,13269.0,14490.0,14490.0,15561.0
2.0,200.0,0.0,12689.0,12689.0,12689.0,14322.0,12689.0,12707.0,14939.0,14939.0,15421.0
3.0,200.0,0.0,16639.0,16653.0,16704.0,18126.0,16660.0,16692.0,16885.0,16885.0,18791.0
3.0,200.0,0.0,16858.0,16267.0,16253.0,17843.0,16860.0,16266.0,16479.0,16479.0,18774.0
3.0,200.0,0.0,15955.0,15657.0,15697.0,17437.0,15981.0,15667.0,16132.0,16132.0,18612.0
4.0,200.0,0.0,18720.0,18717.0,18765.0,20204.0,18711.0,18722.0,18959.0,18959.0,20810.0
4.0,200.0,0.0,18245.0,18233.0,18367.0,20043.0,18257.0,18227.0,18813.0,18813.0,20761.0
4.0,200.0,0.0,17812.0,17809.0,18090.0,19616.0,17807.0,17814.0,18332.0,18332.0,20650.0
2.0,240.0,40.0,12225.0,12225.0,12225.0,0.0,0.0,12237.0,12225.0,12255.0,14525.0
2.0,240.0,40.0,12720.0,11733.0,11724.0,0.0,0.0,11774.0,12717.0,11761.0,14522.0
2.0,240.0,40.0,13140.0,11264.0,11284.0,0.0,0.0,11266.0,13144.0,11291.0,14141.0
3.0,240.0,40.0,15121.0,15130.0,15075.0,0.0,0.0,15132.0,15116.0,15308.0,17496.0
3.0,240.0,40.0,14773.0,14651.0,15082.0,0.0,0.0,14657.0,14740.0,14748.0,17565.0
3.0,240.0,40.0,14338.0,14204.0,14367.0,0.0,0.0,14206.0,14302.0,14259.0,17383.0
4.0,240.0,40.0,17126.0,17272.0,17161.0,0.0,0.0,17282.0,17233.0,17523.0,19507.0
4.0,240.0,40.0,16999.0,16817.0,17016.0,0.0,0.0,16822.0,17348.0,17052.0,19387.0
4.0,240.0,40.0,17307.0,16348.0,16640.0,0.0,0.0,16391.0,17169.0,16527.0,19413.0
2.0,300.0,0.0,13779.0,13756.0,13766.0,15326.0,13779.0,13806.0,13829.0,13829.0,15521.0
2.0,300.0,0.0,13179.0,13167.0,13179.0,14939.0,13189.0,13191.0,13257.0,13257.0,15510.0
2.0,300.0,0.0,14870.0,12628.0,12644.0,14603.0,14871.0,12633.0,12730.0,12730.0,15312.0
3.0,300.0,0.0,16638.0,16631.0,16674.0,18435.0,16665.0,16636.0,16760.0,16760.0,18652.0
