wareh,capacity,buffer,QMK,CHI,CHILOC,KLINK,KLINKQMK,GP,GS,BS,RND
2.0,100.0,0.0,0.20005150988345888,0.17841735883072563,0.19419226064001027,0.1809284656493465,0.19496490889189366,0.11441632863305651,0.06619020024467193,0.06619020024467193,0.0
2.0,100.0,0.0,0.19202593192868722,0.1432739059967585,0.19034035656401949,0.17743922204213936,0.1861264181523501,0.12434359805510531,0.086936790923825,0.086936790923825,0.0
2.0,100.0,0.0,0.20173436786855314,0.13431570711351637,0.19880028688791807,0.1821086261980831,0.18452109278216078,0.12121014540001307,0.09708547955923585,0.09708547955923585,0.0
3.0,100.0,0.0,0.277234076688593,0.2640782929568426,0.27680624632333284,0.2064816300336917,0.27514840365794957,0.09037916466121187,0.028290282902828978,0.028290282902828978,0.0
3.0,100.0,0.0,0.2649959579628133,0.2599299380220965,0.27313392616545407,0.19116141201832393,0.2674211802748585,0.12368633791430883,0.05260037725680411,0.05260037725680411,0.0
3.0,100.0,0.0,0.2583067696796153,0.24561024366524398,0.2713814900859042,0.1966610837970717,0.2674914906261818,0.1285860932519315,0.07369387865362798,0.07369387865362798,0.0
4.0,100.0,0.0,0.3107800938240557,0.30778159307443054,0.31440731247279585,0.202205348938434,0.3167770953233061,0.1399139140107366,0.029307926681820362,0.029307926681820362,0.0
4.0,100.0,0.0,0.30107318020686646,0.3133103481765649,0.3139901908415481,0.1824406351672898,0.31481571407759923,0.1548098868547565,0.0348176564852134,0.0348176564852134,0.0
4.0,100.0,0.0,0.31826146208507744,0.30443882020831303,0.3146111165190305,0.2043220091501996,0.31485447289010027,0.1514650053538401,0.027937311398812392,0.027937311398812392,0.0
2.0,120.0,20.0,0.18646179401993357,0.11883997785160572,0.17158084163898113,0.0,0.0,0.1509551495016611,0.1535852713178295,0.09800664451827246,0.0
2.0,120.0,20.0,0.17670403119125533,0.13625287196268188,0.17990670472742465,0.0,0.0,0.14384181577664834,0.1439114391143912,0.10116270974030495,0.0
2.0,120.0,20.0,0.18376038043864007,0.136986301369863,0.18354744836397185,0.0,0.0,0.1605507842998084,0.15650507488111287,0.11839023351550859,0.0
3.0,120.0,20.0,0.2607272100637601,0.22821529094146709,0.24705612039749558,0.0,0.0,0.16434028376127285,0.12872652076512148,0.047504164512608416,0.0
3.0,120.0,20.0,0.2556395315294525,0.22298505740495012,0.25177407257831885,0.0,0.0,0.1710609819419604,0.13990653666416664,0.0811746379738072,0.0
3.0,120.0,20.0,0.2615133496560569,0.21884108662702573,0.24775562551008512,0.0,0.0,0.19435700128249966,0.1472542847149353,0.11565815553223735,0.0
4.0,120.0,20.0,0.2982610041797822,0.27483358274420766,0.28231590897363124,0.0,0.0,0.15331028432839677,0.11801434542546052,0.04128179988647507,0.0
4.0,120.0,20.0,0.28650608650608655,0.2776482776482776,0.28821548821548826,0.0,0.0,0.15659155659155655,0.12711732711732715,0.06096866096866094,0.0
4.0,120.0,20.0,0.2902201634310102,0.2685161088846094,0.29282256805288087,0.0,0.0,0.17243533024514657,0.12954770207671884,0.08369333263935874,0.0
2.0,200.0,0.0,0.2553505062155581,0.25009611687812383,0.2515058310906062,0.128476227092144,0.2533000128155838,0.07356145072408049,0.04684095860566451,0.04684095860566451,0.0
2.0,200.0,0.0,0.2618651656645772,0.24600230267365997,0.25354995522578994,0.14513240373544833,0.2612255340923628,0.08232058334399384,0.03569144172956373,0.03569144172956373,0.0
2.0,200.0,0.0,0.24564834734989238,0.21833235543386142,0.24180194276028422,0.1085468413847056,0.24564834734989238,0.07881869743790337,0.012451919942629952,0.012451919942629952,0.0
3.0,200.0,0.0,0.3367189577240096,0.33927147035362937,0.34533368784897633,0.1326243020473279,0.3446955596915714,0.11268279712842333,0.025578303642648237,0.025578303642648237,0.0
3.0,200.0,0.0,0.33711318355235265,0.3363183552352692,0.34495548961424327,0.13310724883425185,0.3414052564646036,0.12192666384061046,0.0499152183128444,0.0499152183128444,0.0
3.0,200.0,0.0,0.3319408740359897,0.33456512425021423,0.34366966580976865,0.13903170522707797,0.3357433590402742,0.1447086546700943,0.06469580119965723,0.06469580119965723,0.0
4.0,200.0,0.0,0.38958243650452007,0.3919261491366528,0.3951786482996126,0.13024345912852153,0.38805184866312714,0.1378007365953987,0.0377385564643421,0.0377385564643421,0.0
4.0,200.0,0.0,0.38890222243555894,0.3900542408678539,0.3928382854125666,0.12225795612729806,0.39360629770076316,0.15081841309460953,0.04459271348341576,0.04459271348341576,0.0
4.0,200.0,0.0,0.3879907621247113,0.3842859892224788,0.3907332563510393,0.1348633564280216,0.38813510392609696,0.1531947652040031,0.049172440338722145,0.049172440338722145,0.0
2.0,240.0,40.0,0.22832429463856663,0.22990320587629576,0.2294913159881925,0.0,0.0,0.17313104963273152,0.14519118555639454,0.07221802704743596,0.0
2.0,240.0,40.0,0.2199472515269295,0.17740144364242083,0.220294280955025,0.0,0.0,0.16705996668517487,0.1408245419211549,0.092518045530261,0.0
2.0,240.0,40.0,0.21828700437420634,0.15874135741498518,0.20678707492592074,0.0,0.0,0.16600818399887118,0.1169747424862424,0.11648088048539584,0.0
3.0,240.0,40.0,0.3112002291606989,0.29796619879690633,0.3123460326553996,0.0,0.0,0.19908335720423942,0.11990833572042392,0.051561157261529655,0.0
3.0,240.0,40.0,0.3121022759846357,0.30252823482199165,0.3142234707332454,0.0,0.0,0.20317605916413461,0.11815628045634352,0.07315255403313647,0.0
3.0,240.0,40.0,0.32073101085094236,0.30388349514563107,0.319131924614506,0.0,0.0,0.18692175899486008,0.1432895488292404,0.10816676185037122,0.0
4.0,240.0,40.0,0.3577218980740434,0.35627613982547635,0.36020034078587293,0.0,0.0,0.16915371508235655,0.11870707905199562,0.03309753704755514,0.0
4.0,240.0,40.0,0.35921133703019104,0.35176627644280145,0.3605463134113781,0.0,0.0,0.17313616759088113,0.12163688642431714,0.06767303347710008,0.0
4.0,240.0,40.0,0.36410439392394744,0.36043429503517177,0.3667040473034968,0.0,0.0,0.18080334386787644,0.1273830155979203,0.09241512896319704,0.0
2.0,300.0,0.0,0.2673433762203401,0.27348548522661154,0.27329152388957134,0.09329540311631213,0.26805456778948733,0.09885562811146309,0.035947501131441184,0.035947501131441184,0.0
2.0,300.0,0.0,0.2675270769829431,0.2732991763408782,0.27589337829950067,0.10221155716972563,0.2675270769829431,0.09416953109799597,0.05616447240417666,0.05616447240417666,0.0
2.0,300.0,0.0,0.26874346917450365,0.2712251828631139,0.2735109717868338,0.11422413793103448,0.267110762800418,0.10828108672936254,0.07451671891327061,0.07451671891327061,0.0
3.0,300.0,0.0,0.36578762116207286,0.3654085666323713,0.36486706016136894,0.08442085882926298,0.3655168679265717,0.1459901445822278,0.031894731142037114,0.031894731142037114,0.0
3.0,300.0,0.0,0.3674360910365656,0.3659799374393269,0.3664113903570273,0.07900981555387765,0.37255959443425735,0.14669399201812106,0.051882213353467765,0.051882213353467765,0.0
3.0,300.0,0.0,0.3693908519401691,0.3626165185345762,0.365814003902016,0.08849989161066552,0.37107088662475607,0.15472577498374163,0.07300021677866897,0.07300021677866897,0.0
4.0,300.0,0.0,0.4067083903774692,0.4146782710737337,0.4140915313905731,0.08292587522002737,0.4125268922354782,0.1392039898298455,0.025718756111871688,0.025718756111871688,0.0
4.0,300.0,0.0,0.41997084548104957,0.4177842565597668,0.41856171039844514,0.09198250728862978,0.4200680272108843,0.15476190476190477,0.03522837706511173,0.03522837706511173,0.0
4.0,300.0,0.0,0.41074311432904453,0.4175920943202387,0.41729856660633047,0.09216770216721293,0.4018394403404921,0.16261435350521014,0.03605498752507219,0.03605498752507219,0.0
2.0,360.0,60.0,0.2489589117157135,0.23993614658523044,0.24021377012770684,0.0,0.0,0.2010688506385342,0.1391588006662965,0.07030816213214885,0.0
2.0,360.0,60.0,0.25136116152450094,0.24528828703057381,0.24528828703057381,0.0,0.0,0.20347619712411003,0.15468379170738522,0.0936060309926009,0.0
2.0,360.0,60.0,0.23904836526818152,0.2136904337915806,0.2233065033122017,0.0,0.0,0.19353230287057488,0.16717714936961325,0.1166037467056058,0.0
3.0,360.0,60.0,0.34074543464485285,0.3414943257100064,0.33694337231407334,0.0,0.0,0.23158016014747396,0.1539259173915548,0.05127023446051038,0.0
3.0,360.0,60.0,0.33913496010176936,0.33890366601133337,0.3386145483982884,0.0,0.0,0.20868509309587135,0.14831733549207815,0.06649705100034697,0.0
3.0,360.0,60.0,0.3392846791490348,0.3414874500028984,0.33951654976523105,0.0,0.0,0.1972059590748363,0.1406874963770216,0.08787896353834557,0.0
4.0,360.0,60.0,0.38920881971465626,0.3894682230869001,0.3873929961089494,0.0,0.0,0.19994811932555123,0.13110246433203632,0.024798962386511025,0.0
4.0,360.0,60.0,0.3885170466429617,0.38464756327128213,0.38511817611378374,0.0,0.0,0.19875549048316254,0.12434637105208113,0.03503451160845017,0.0
4.0,360.0,60.0,0.3793572699675495,0.3866848110541191,0.3866324714749293,0.0,0.0,0.223175965665236,0.13906626190725424,0.060870930597717976,0.0
