wareh,capacity,buffer,QMK,CHI,CHILOC,KLINK,KLINKQMK,GP,GS,BS,RND
2.0,100.0,0.0,0.11448134638766239,0.11448134638766239,0.11448134638766239,0.07838996608434123,0.11448134638766239,0.11448134638766239,0.09854738593460033,0.09854738593460033,0.0
2.0,100.0,0.0,0.1463855033210808,0.1463855033210808,0.1449667891919778,0.10285677435996643,0.14470884116850458,0.14470884116850458,0.05842522731669564,0.05842522731669564,0.0
2.0,100.0,0.0,0.17852748818234798,0.17852748818234798,0.17852748818234798,0.14828724988668007,0.17852748818234798,0.17852748818234798,0.02667875412808396,0.02667875412808396,0.0
3.0,100.0,0.0,0.11442097983935318,0.11564444917282835,0.10782488430235648,0.07553593276238102,0.11474014575243363,0.11394223096973244,0.09420713867758923,0.09420713867758923,0.0
3.0,100.0,0.0,0.09005548442168165,0.1402048655569782,0.13417626973965002,0.09176269739650023,0.09021553563807083,0.1402048655569782,0.11731754161331631,0.11731754161331631,0.0
3.0,100.0,0.0,0.14275736084246726,0.1562970126799914,0.14764667956157318,0.10810229959166129,0.14275736084246726,0.15640447023425752,0.12003008811519444,0.12003008811519444,0.0
4.0,100.0,0.0,0.0979770313776368,0.09980298880399785,0.09985104031521796,0.06645524001729852,0.10042765844985824,0.09985104031521796,0.07500840901446348,0.07500840901446348,0.0
4.0,100.0,0.0,0.12463921493169139,0.12391764479507406,0.11203578987877627,0.08605926496055416,0.12550509909563212,0.12391764479507406,0.09168751202616898,0.09168751202616898,0.0
4.0,100.0,0.0,0.1405713733262436,0.1405713733262436,0.12660124716005217,0.09092666892251178,0.1405713733262436,0.14090975008459417,0.11045584183303525,0.11045584183303525,0.0
2.0,120.0,20.0,0.15561840380768432,0.15561840380768432,0.15561840380768432,0.0,0.0,0.15561840380768432,0.15561840380768432,0.15120369731668626,0.0
2.0,120.0,20.0,0.11357611273894241,0.18271243197990794,0.18236361099483744,0.0,0.0,0.1798520999023301,0.11357611273894241,0.17720106041579464,0.0
2.0,120.0,20.0,0.07281964436917865,0.20738075077617835,0.20738075077617835,0.0,0.0,0.20738075077617835,0.07197290431837422,0.20364098221845894,0.0
3.0,120.0,20.0,0.13197068590404215,0.13139814496736513,0.13494789877476243,0.0,0.0,0.13099736631169123,0.13042482537501432,0.11817244933012705,0.0
3.0,120.0,20.0,0.16034117579712637,0.15776518404029993,0.13687102867937484,0.0,0.0,0.15730722995019752,0.15169729234644225,0.1464308203102639,0.0
3.0,120.0,20.0,0.1756966388968687,0.1829359379488653,0.16977879919563343,0.0,0.0,0.18356794024705547,0.17138753231829928,0.17546681987934498,0.0
4.0,120.0,20.0,0.11845489147207078,0.10749922847443683,0.11943215718547473,0.0,0.0,0.10780783869972221,0.10040119329287112,0.09314885299866271,0.0
4.0,120.0,20.0,0.1159122437445409,0.1328161126239531,0.12140985459589992,0.0,0.0,0.1328161126239531,0.12269434311257255,0.1189436366438884,0.0
4.0,120.0,20.0,0.10845616757176102,0.1537626066718386,0.12412723041117146,0.0,0.0,0.1529350918024308,0.1371605896043444,0.14041892940263767,0.0
2.0,200.0,0.0,0.11170212765957444,0.11170212765957444,0.11176621379133556,0.03217123814406564,0.11176621379133556,0.11067674955139706,0.10298641374006667,0.10298641374006667,0.0
2.0,200.0,0.0,0.14857656962920118,0.14857656962920118,0.14735556840819997,0.048775785617890866,0.1475483580746738,0.14729130518604205,0.06882591093117407,0.06882591093117407,0.0
2.0,200.0,0.0,0.1771610142014136,0.1771610142014136,0.1771610142014136,0.07126645483431682,0.1771610142014136,0.17599377472278066,0.031256079372284584,0.031256079372284584,0.0
3.0,200.0,0.0,0.1145229099036773,0.11377787238571657,0.11106380714171682,0.03538928210313452,0.1134053536267362,0.11170241072854026,0.10143153637379598,0.10143153637379598,0.0
3.0,200.0,0.0,0.10205603494194093,0.13353574091829123,0.13428145307339934,0.04958985831469054,0.10194950463406838,0.13358900607222757,0.1222435282837967,0.1222435282837967,0.0
3.0,200.0,0.0,0.14275736084246726,0.15876853642811095,0.15661938534278963,0.06313131313131315,0.14136041263700838,0.15823124865678062,0.13324736728992048,0.13324736728992048,0.0
4.0,200.0,0.0,0.1004324843825084,0.10057664584334458,0.09827006246996639,0.029120615088899515,0.10086496876501683,0.10033637674195095,0.08894762133589618,0.08894762133589618,0.0
4.0,200.0,0.0,0.12118876740041429,0.1217667742401618,0.11531236452964688,0.03458407591156498,0.12061076056066666,0.12205577766003561,0.09382977698569428,0.09382977698569428,0.0
4.0,200.0,0.0,0.13743341404358356,0.13757869249394672,0.12397094430992739,0.05007263922518157,0.13767554479418886,0.1373365617433414,0.1122518159806295,0.1122518159806295,0.0
2.0,240.0,40.0,0.1583476764199656,0.1583476764199656,0.1583476764199656,0.0,0.0,0.15752151462994834,0.1583476764199656,0.1562822719449225,0.0
2.0,240.0,40.0,0.12408759124087587,0.19205343616581738,0.19267318551163748,0.0,0.0,0.18923013359041452,0.12429417435614931,0.19012532708993246,0.0
2.0,240.0,40.0,0.07078707304999643,0.20345095820663317,0.20203663107276715,0.0,0.0,0.20330952549324655,0.07050420762322329,0.20154161657591396,0.0
3.0,240.0,40.0,0.13574531321444905,0.13523090992226794,0.13837448559670784,0.0,0.0,0.135116598079561,0.13603109282121628,0.12505715592135347,0.0
3.0,240.0,40.0,0.15895246228294901,0.16589809279817824,0.1413606604042129,0.0,0.0,0.16555650441218328,0.16083119840592086,0.16037574722459436,0.0
3.0,240.0,40.0,0.1751711442213657,0.18287982511649314,0.17350284760973367,0.0,0.0,0.18276477017775983,0.17724213311856407,0.17971581430132888,0.0
4.0,240.0,40.0,0.12205874814169271,0.11457425539549904,0.12026452042856406,0.0,0.0,0.11406161890603372,0.11657353770441381,0.10170707950991953,0.0
4.0,240.0,40.0,0.12317532367050088,0.13256305771909016,0.12229844741321505,0.0,0.0,0.13230515293753542,0.10517356991798632,0.12044153298602156,0.0
4.0,240.0,40.0,0.1084840055632823,0.1578838922371607,0.1428424251790038,0.0,0.0,0.1556688816772266,0.11559264410446612,0.14866326688301656,0.0
