wareh,capacity,buffer,QMK,CHI,CHILOC,GP,GS,BS,RND
2.0,400.0,0.1304999,7.3960367,0.32296610000000003,0.1883338,0.1413949,0.4478856,0.13545770000000001,0.1413319
2.0,400.0,0.0785324,1.3305694000000001,0.0812937,0.0824793,0.0891603,0.0836453,0.10064530000000001,0.0076388
2.0,400.0,0.0779582,0.832008,0.0810262,0.08168850000000001,0.11374510000000002,0.08331150000000001,0.08351410000000001,0.0075847
2.0,400.0,0.0969425,1.1462929,0.1010835,0.1006274,0.1089327,0.1031511,0.1032024,0.0087045
2.0,400.0,0.0982606,1.049008,0.10119220000000001,0.10265260000000001,0.1095821,0.10418050000000001,0.1137153,0.0092719
2.0,400.0,0.0941582,0.8521909,0.09760189999999999,0.09768109999999999,0.1052248,0.1152363,0.1007831,0.0103883
3.0,400.0,0.0963295,4.1444029,0.0998122,0.1010268,0.1089894,0.1023773,0.1034414,0.0123271
3.0,400.0,0.1050969,3.9144644,0.1083787,0.1100873,0.1178757,0.1111344,0.11295469999999999,0.0113313
3.0,400.0,0.112435,12.0143059,0.11813829999999999,0.1178355,0.14458769999999999,0.11831349999999999,0.12033609999999999,0.0135127
3.0,400.0,0.1085311,9.8431107,0.11212140000000001,0.11310780000000001,0.12148550000000001,0.11444760000000001,0.11638430000000001,0.0127336
3.0,400.0,0.1161662,30.673835299999997,0.1203383,0.1216989,0.12988929999999999,0.1236299,0.1237461,0.0129499
3.0,400.0,0.1116262,2.0655233,0.11549079999999999,0.1173003,0.12752429999999998,0.1173598,0.1194343,0.0121921
4.0,400.0,0.1095708,56.5144852,0.1128964,0.1168511,0.1271478,0.1270628,0.1179549,0.0152814
4.0,400.0,0.1192107,30.7204954,0.1231308,0.128857,0.1361355,0.1263931,0.1293917,0.0164763
4.0,400.0,0.1026005,8.709299699999999,0.1075396,0.1122058,0.1354632,0.11236499999999999,0.1148705,0.0148949
4.0,400.0,0.0974084,13.676194800000001,0.10079300000000001,0.1044621,0.1149502,0.10559980000000001,0.10758490000000001,0.0194198
4.0,400.0,0.118856,6.9650256,0.1230466,0.1251695,0.1376386,0.3256574,0.1286892,0.0161235
4.0,400.0,0.1170349,9.4317002,0.121281,0.144162,0.1339199,0.1261647,0.125954,0.0330617
2.0,480.0,0.0924762,1.4217771,0.1090208,0.0977759,0.1097548,0.1007537,0.09846429999999999,0.0705862
2.0,480.0,0.1004822,1.6227685,0.105435,0.10628069999999999,0.124495,0.1097165,0.10608559999999999,0.0368356
2.0,480.0,0.120993,1.7980132,0.1431964,0.1254247,0.1352019,0.1282242,0.1288042,0.0371002
2.0,480.0,0.1097511,2.6305078,0.11426,0.1144261,0.1232119,0.1176267,0.1160212,0.0444168
2.0,480.0,0.0764986,1.9619294,0.0818169,0.082265,0.0893306,0.084882,0.0838648,0.0356841
2.0,480.0,0.089937,2.9864793,0.0942617,0.0953618,0.1045158,0.1034117,0.0952838,0.0374214
3.0,480.0,0.0919457,9.5262952,0.09678400000000001,0.09891520000000001,0.1193787,0.1024222,0.09856920000000001,0.0861021
3.0,480.0,0.0767582,3.3372579,0.0824251,0.1070074,0.0921727,0.0865469,0.0829421,0.0666654
3.0,480.0,0.1194613,5.2188421,0.1234549,0.12436040000000001,0.136512,0.3082563,0.1283921,0.0642659
3.0,480.0,0.0939042,7.8218135,0.0985639,0.09959589999999999,0.10866289999999999,0.10206029999999999,0.10019159999999999,0.0666477
3.0,480.0,0.0914232,6.9893936000000005,0.10017229999999999,0.09811779999999999,0.1076302,0.11079449999999999,0.0995963,0.0609911
3.0,480.0,0.0991356,4.3137048,0.1039548,0.1069583,0.1156327,0.1116366,0.11561640000000001,0.065665
4.0,480.0,0.089244,1011.4455702,0.0944193,0.1061323,0.1129417,0.0981858,0.0956164,0.1158317
4.0,480.0,0.093776,119.0475907,0.10006709999999999,0.1029403,0.1161297,0.1038683,0.1016226,0.1468705
4.0,480.0,0.1107713,210.3681013,0.1168045,0.1215837,0.1340044,0.1219634,0.1294488,0.1159879
4.0,480.0,0.1409317,172.174711,0.14660779999999998,0.1497137,0.1632979,0.1504622,0.1473222,0.1353117
4.0,480.0,0.1116368,3632.8566834,0.3193731,0.1211637,0.1388142,0.1391577,0.1209779,0.1337173
4.0,480.0,0.0885376,56.075739600000006,0.09306289999999999,0.10109309999999999,0.1117802,0.10629069999999999,0.0973245,0.1206667
2.0,800.0,0.1292648,3.9158364,0.1434603,0.14300980000000002,0.1876005,0.140746,0.13890740000000001,0.0260482
2.0,800.0,0.0950744,2.8362867,0.12745030000000002,0.11023580000000001,0.14375490000000002,0.1043942,0.1167739,0.0125559
2.0,800.0,0.1427304,2.9805705000000002,0.15586840000000002,0.1575494,0.1917402,0.1658413,0.1518132,0.0146059
2.0,800.0,0.1350084,2.8848887999999997,0.1487859,0.170425,0.1826968,0.1462906,0.1488174,0.0137312
2.0,800.0,0.0969506,3.1371648,0.1090641,0.1291177,0.145697,0.1050751,0.1170671,0.0116576
2.0,800.0,0.1353146,2.7666833,0.15031730000000001,0.1498528,0.1845136,0.15310410000000002,0.1444038,0.0213941
3.0,800.0,0.1296857,9.181175399999999,0.14437689999999997,0.1468602,0.21374849999999998,0.1408237,0.14404609999999998,0.016908
3.0,800.0,0.1234821,12.381528600000001,0.1360108,0.1423912,0.1927975,0.1325386,0.1337541,0.0154222
3.0,800.0,0.112697,7.6132411,0.1258091,0.2177821,0.1703226,0.12301970000000001,0.1230291,0.0320711
3.0,800.0,0.1211538,20.9814509,0.134003,0.1389234,0.1822908,0.1392691,0.1318872,0.0193523
3.0,800.0,0.1067119,48.5030335,0.1191531,0.1237995,0.1637865,0.1297067,0.1165906,0.0190308
3.0,800.0,0.1252821,12.3887917,0.1670892,0.14225310000000002,0.1832602,0.1356358,0.1351765,0.0298117
4.0,800.0,0.1088717,23.8637015,0.1211084,0.1576775,0.1959469,0.1204312,0.1244816,0.0178075
4.0,800.0,0.1140186,119.732468,0.1303709,0.1397718,0.19522040000000002,0.1269446,0.12663359999999999,0.0193602
4.0,800.0,0.1022964,30.9837102,0.1164158,0.3765062,0.1923034,0.1164871,0.1254721,0.0246654
4.0,800.0,0.1586551,31.5415468,0.1727468,0.1817237,0.2489561,0.1712464,0.1718219,0.0226572
4.0,800.0,0.1143624,59.2517151,0.1295613,0.1666877,0.1920767,0.1402673,0.1270606,0.0223924
4.0,800.0,0.1217233,31.960449099999998,0.1354679,0.14848840000000002,0.19834380000000001,0.1466963,0.1345883,0.0198506
2.0,960.0,0.0887288,3.5192289000000003,0.10854899999999999,0.10590089999999999,0.1596415,0.108635,0.095332,0.0407543
