wareh,capacity,buffer,QMK,CHI,CHILOC,GP,GS,BS,RND
2.0,1000.0,0.5306,17.2987919,0.7619518999999999,0.6650839,0.6200608,1.039126,0.5601231,0.147013
2.0,1000.0,0.4216471,13.1795137,0.4494042,0.4915402,0.5096702,0.4459345,0.4632246,0.0353469
2.0,1000.0,0.4250037,7.582303100000001,0.4544876,0.46098629999999996,0.5124819,0.44801399999999997,0.4494141,0.0409414
3.0,1000.0,0.4449555,18.2575537,0.4756509,0.6596906,0.5620806,0.47863290000000003,0.4798853,0.0633543
3.0,1000.0,0.4233351,21.3966001,0.47089200000000003,0.4797234,0.5139802,0.4677964,0.44943180000000005,0.0435359
3.0,1000.0,0.455468,18.7151267,0.48374249999999996,0.5117317,0.5473219,0.482342,0.48185649999999997,0.0826489
4.0,1000.0,0.417483,24.8226409,0.4461728,0.4842993,0.5107666,0.4482116,0.4581154,0.0839559
4.0,1000.0,0.4189248,39.9378184,0.4496756,0.4837335,0.5265679,0.4896318,0.46451549999999997,0.0513317
4.0,1000.0,0.456976,55.7437949,0.4861018,0.51856,0.5768597,0.4881005,0.5042565999999999,0.0521909
2.0,1200.0,0.4216021,7.5697486000000005,0.4598797,0.4910484,0.511837,0.4459853,0.46798239999999997,0.1952834
2.0,1200.0,0.4277934,7.678894199999999,0.4676237,0.4763092,0.5542947,0.45208339999999997,0.4482439,0.1808368
2.0,1200.0,0.4456787,9.2454499,0.508804,0.49705469999999996,0.5580956,0.4703697,0.4825364,0.176802
3.0,1200.0,0.441374,150.7391596,0.4851522,0.7223131,0.536256,0.4710791,0.489353,0.3242237
3.0,1200.0,0.4460326,52.024503100000004,0.5077626,0.5092907,0.5426073,0.4813348,0.4785472,0.3459839
3.0,1200.0,0.4298937,23.9376333,0.5013071,0.5100025,0.5264913999999999,0.4917209,0.4673467,0.3493111
4.0,1200.0,0.4277781,44.1492722,0.4744764,0.5357765,0.5295145,0.4966081,0.4653003,0.6275248
