wareh,capacity,buffer,CHI,CHILOC,GS,BS,RND
2.0,10000.0,0.0,132022.0,123562.0,148997.0,148997.0,155008.0
2.0,10000.0,0.0,134007.0,123219.0,145016.0,145016.0,154567.0
2.0,10000.0,0.0,136230.0,122098.0,140181.0,140181.0,153136.0
3.0,10000.0,0.0,138548.0,132523.0,177918.0,177918.0,186336.0
3.0,10000.0,0.0,138182.0,132632.0,175802.0,175802.0,185986.0
3.0,10000.0,0.0,138109.0,131261.0,169658.0,169658.0,185106.0
4.0,10000.0,0.0,141647.0,138256.0,196999.0,196999.0,206248.0
4.0,10000.0,0.0,141240.0,139319.0,193312.0,193312.0,205967.0
4.0,10000.0,0.0,141909.0,138503.0,189050.0,189050.0,205119.0
2.0,12000.0,2000.0,121992.0,117326.0,128756.0,132586.0,144397.0
2.0,12000.0,2000.0,120645.0,115678.0,124902.0,127912.0,143455.0
2.0,12000.0,2000.0,117462.0,115374.0,119957.0,121944.0,140926.0
3.0,12000.0,2000.0,126360.0,124020.0,152858.0,163784.0,173939.0
3.0,12000.0,2000.0,127887.0,125497.0,151073.0,159444.0,173750.0
3.0,12000.0,2000.0,128307.0,126450.0,146133.0,154085.0,172686.0
4.0,12000.0,2000.0,130664.0,129737.0,171984.0,184054.0,193209.0
4.0,12000.0,2000.0,130656.0,129904.0,168957.0,179904.0,192860.0
4.0,12000.0,2000.0,132087.0,130061.0,166319.0,175624.0,192457.0
2.0,15000.0,0.0,137203.0,123425.0,148943.0,148943.0,155225.0
2.0,15000.0,0.0,138822.0,121522.0,144660.0,144660.0,154803.0
2.0,15000.0,0.0,135645.0,122498.0,139905.0,139905.0,153385.0
3.0,15000.0,0.0,136746.0,132603.0,178070.0,178070.0,186689.0
3.0,15000.0,0.0,136610.0,132495.0,173682.0,173682.0,186435.0
3.0,15000.0,0.0,137964.0,132052.0,169357.0,169357.0,185415.0
4.0,15000.0,0.0,141493.0,139606.0,196822.0,196822.0,206785.0
4.0,15000.0,0.0,142087.0,139445.0,192820.0,192820.0,206466.0
4.0,15000.0,0.0,143134.0,138032.0,188535.0,188535.0,205485.0
2.0,18000.0,3000.0,119041.0,117141.0,128719.0,132344.0,144645.0
2.0,18000.0,3000.0,119308.0,116646.0,124547.0,127551.0,143791.0
2.0,18000.0,3000.0,117306.0,115145.0,119483.0,121514.0,141121.0
3.0,18000.0,3000.0,131513.0,126448.0,153340.0,163472.0,174250.0
3.0,18000.0,3000.0,127129.0,124804.0,148919.0,159065.0,173942.0
3.0,18000.0,3000.0,129239.0,122547.0,146390.0,153520.0,172910.0
4.0,18000.0,3000.0,134041.0,132744.0,172200.0,183722.0,193530.0
4.0,18000.0,3000.0,134296.0,132112.0,170185.0,179552.0,193458.0
4.0,18000.0,3000.0,133789.0,132146.0,165856.0,175198.0,192836.0
2.0,20000.0,0.0,141449.0,122817.0,149308.0,149308.0,155101.0
2.0,20000.0,0.0,139878.0,121494.0,145010.0,145010.0,154577.0
2.0,20000.0,0.0,136468.0,121914.0,140201.0,140201.0,153326.0
3.0,20000.0,0.0,137733.0,133278.0,178266.0,178266.0,186670.0
3.0,20000.0,0.0,139724.0,135049.0,174037.0,174037.0,186319.0
3.0,20000.0,0.0,140514.0,132288.0,169612.0,169612.0,185393.0
4.0,20000.0,0.0,141652.0,138230.0,197351.0,197351.0,206576.0
4.0,20000.0,0.0,147406.0,138297.0,194237.0,194237.0,206224.0
4.0,20000.0,0.0,142630.0,139294.0,192168.0,192168.0,205463.0
2.0,24000.0,4000.0,123815.0,116480.0,129427.0,132692.0,144564.0
2.0,24000.0,4000.0,121842.0,115633.0,125490.0,128106.0,143685.0
2.0,24000.0,4000.0,118043.0,115242.0,120074.0,122094.0,140968.0
3.0,24000.0,4000.0,131917.0,126845.0,153229.0,163863.0,174068.0
3.0,24000.0,4000.0,138372.0,127144.0,149678.0,159381.0,173796.0
3.0,24000.0,4000.0,139480.0,124203.0,146533.0,154122.0,172894.0
4.0,24000.0,4000.0,136323.0,132860.0,171613.0,184403.0,193421.0
4.0,24000.0,4000.0,134339.0,132829.0,170929.0,180130.0,193094.0
4.0,24000.0,4000.0,138581.0,132039.0,166457.0,175768.0,192568.0
2.0,25000.0,0.0,140773.0,122580.0,149223.0,149223.0,155011.0
2.0,25000.0,0.0,139716.0,121342.0,145033.0,145033.0,154508.0
2.0,25000.0,0.0,136470.0,121736.0,140235.0,140235.0,153262.0
3.0,25000.0,0.0,140365.0,133303.0,178111.0,178111.0,186347.0
3.0,25000.0,0.0,138705.0,136251.0,173810.0,173810.0,186036.0
3.0,25000.0,0.0,140518.0,131339.0,169486.0,169486.0,184947.0
4.0,25000.0,0.0,143199.0,138183.0,197142.0,197142.0,206171.0
4.0,25000.0,0.0,147959.0,145933.0,193203.0,193203.0,205944.0
4.0,25000.0,0.0,144735.0,138380.0,189133.0,189133.0,205185.0
2.0,30000.0,5000.0,125627.0,115798.0,129857.0,132699.0,144410.0
2.0,30000.0,5000.0,125336.0,113623.0,125586.0,128091.0,143607.0
2.0,30000.0,5000.0,119989.0,111556.0,120331.0,122094.0,140814.0
3.0,30000.0,5000.0,132835.0,127047.0,152386.0,163680.0,173944.0
3.0,30000.0,5000.0,138897.0,127976.0,148839.0,159405.0,173657.0
3.0,30000.0,5000.0,141712.0,125526.0,145758.0,154055.0,172651.0
4.0,30000.0,5000.0,134871.0,133760.0,171629.0,184311.0,193132.0
4.0,30000.0,5000.0,140713.0,134354.0,168173.0,180125.0,192940.0
4.0,30000.0,5000.0,139548.0,137117.0,165010.0,175675.0,192276.0
2.0,30000.0,0.0,141298.0,123533.0,148816.0,148816.0,155127.0
2.0,30000.0,0.0,139291.0,122859.0,144424.0,144424.0,154732.0
2.0,30000.0,0.0,135690.0,123593.0,139578.0,139578.0,153315.0
3.0,30000.0,0.0,141551.0,135152.0,177657.0,177657.0,186749.0
3.0,30000.0,0.0,139868.0,135081.0,173333.0,173333.0,186377.0
3.0,30000.0,0.0,142033.0,134125.0,168654.0,168654.0,185427.0
4.0,30000.0,0.0,144321.0,139345.0,196950.0,196950.0,206813.0
4.0,30000.0,0.0,146946.0,141405.0,192685.0,192685.0,206430.0
4.0,30000.0,0.0,144816.0,141239.0,188359.0,188359.0,205622.0
2.0,36000.0,6000.0,128367.0,116425.0,129483.0,132243.0,144706.0
2.0,36000.0,6000.0,124467.0,113658.0,124817.0,127574.0,143773.0
2.0,36000.0,6000.0,118717.0,112437.0,119812.0,121267.0,141110.0
3.0,36000.0,6000.0,134404.0,127984.0,152529.0,163134.0,174249.0
3.0,36000.0,6000.0,135595.0,131564.0,148548.0,158522.0,174052.0
3.0,36000.0,6000.0,143299.0,126408.0,145503.0,153329.0,173043.0
4.0,36000.0,6000.0,138873.0,134597.0,172355.0,183734.0,193682.0
4.0,36000.0,6000.0,140756.0,137294.0,168687.0,179379.0,193433.0
4.0,36000.0,6000.0,140531.0,135672.0,166232.0,175129.0,192765.0
2.0,35000.0,0.0,136490.0,126595.0,149526.0,149526.0,155027.0
2.0,35000.0,0.0,140223.0,121985.0,145296.0,145296.0,154601.0
2.0,35000.0,0.0,136859.0,120622.0,140438.0,140438.0,153243.0
3.0,35000.0,0.0,138171.0,134741.0,178582.0,178582.0,186578.0
3.0,35000.0,0.0,138387.0,134734.0,174461.0,174461.0,186151.0
3.0,35000.0,0.0,136474.0,133546.0,170014.0,170014.0,185156.0
4.0,35000.0,0.0,148395.0,138385.0,197638.0,197638.0,206390.0
4.0,35000.0,0.0,149571.0,138895.0,193673.0,193673.0,206116.0
4.0,35000.0,0.0,147475.0,138084.0,189646.0,189646.0,205331.0
2.0,42000.0,7000.0,123572.0,117426.0,129491.0,132795.0,144562.0
2.0,42000.0,7000.0,131133.0,123930.0,125950.0,128321.0,143645.0
2.0,42000.0,7000.0,124041.0,122941.0,120547.0,122323.0,141064.0
3.0,42000.0,7000.0,133346.0,127093.0,153210.0,164068.0,174066.0
3.0,42000.0,7000.0,133583.0,127474.0,149773.0,159646.0,173753.0
3.0,42000.0,7000.0,131229.0,125445.0,146587.0,154473.0,172757.0
4.0,42000.0,7000.0,138526.0,134796.0,173053.0,184774.0,193309.0
4.0,42000.0,7000.0,139210.0,132933.0,169981.0,180674.0,193113.0
4.0,42000.0,7000.0,138137.0,133030.0,166825.0,176169.0,192511.0
2.0,40000.0,0.0,141782.0,122417.0,149703.0,149703.0,154902.0
2.0,40000.0,0.0,140534.0,121422.0,145466.0,145466.0,154451.0
2.0,40000.0,0.0,137128.0,121065.0,140848.0,140848.0,153141.0
3.0,40000.0,0.0,140760.0,134193.0,178981.0,178981.0,186308.0
3.0,40000.0,0.0,139793.0,133054.0,174762.0,174762.0,185868.0
3.0,40000.0,0.0,142815.0,132722.0,170408.0,170408.0,184973.0
4.0,40000.0,0.0,144198.0,138091.0,198124.0,198124.0,206173.0
4.0,40000.0,0.0,143543.0,137964.0,194275.0,194275.0,205892.0
4.0,40000.0,0.0,143690.0,137688.0,190381.0,190381.0,205074.0
2.0,48000.0,8000.0,137128.0,121065.0,130112.0,133107.0,144368.0
2.0,48000.0,8000.0,131539.0,122592.0,126247.0,128696.0,143567.0
2.0,48000.0,8000.0,124515.0,122604.0,121016.0,122983.0,140850.0
3.0,48000.0,8000.0,139943.0,129319.0,154390.0,164598.0,173763.0
3.0,48000.0,8000.0,141413.0,127166.0,150563.0,160340.0,173538.0
3.0,48000.0,8000.0,143560.0,125416.0,146755.0,155140.0,172641.0
4.0,48000.0,8000.0,139426.0,134365.0,172535.0,185533.0,193123.0
4.0,48000.0,8000.0,140987.0,136021.0,169823.0,181463.0,192996.0
4.0,48000.0,8000.0,140278.0,133719.0,166267.0,176926.0,192291.0
2.0,45000.0,0.0,140912.0,121727.0,150486.0,150486.0,155238.0
2.0,45000.0,0.0,140812.0,120858.0,146369.0,146369.0,154822.0
2.0,45000.0,0.0,137992.0,120328.0,141763.0,141763.0,153365.0
3.0,45000.0,0.0,141833.0,131289.0,179668.0,179668.0,186745.0
3.0,45000.0,0.0,141700.0,132091.0,175721.0,175721.0,186376.0
3.0,45000.0,0.0,141689.0,131424.0,171430.0,171430.0,185402.0
4.0,45000.0,0.0,145931.0,139320.0,199271.0,199271.0,206604.0
4.0,45000.0,0.0,140908.0,136738.0,195509.0,195509.0,206334.0
4.0,45000.0,0.0,147771.0,136261.0,191731.0,191731.0,205635.0
2.0,54000.0,9000.0,137992.0,120328.0,130622.0,134056.0,144573.0
2.0,54000.0,9000.0,132583.0,118934.0,126697.0,129630.0,143838.0
2.0,54000.0,9000.0,125615.0,119653.0,121934.0,123865.0,141023.0
3.0,54000.0,9000.0,138257.0,128614.0,154168.0,165561.0,174214.0
3.0,54000.0,9000.0,139820.0,127564.0,150273.0,161385.0,173988.0
3.0,54000.0,9000.0,142477.0,124740.0,147381.0,156492.0,172956.0
4.0,54000.0,9000.0,141332.0,134703.0,173966.0,186522.0,193575.0
4.0,54000.0,9000.0,141164.0,132579.0,169587.0,182661.0,193272.0
4.0,54000.0,9000.0,141960.0,132556.0,167582.0,178157.0,192703.0
2.0,50000.0,0.0,142602.0,122833.0,150058.0,150058.0,155225.0
2.0,50000.0,0.0,140977.0,121860.0,145901.0,145901.0,154797.0
2.0,50000.0,0.0,137482.0,121202.0,141277.0,141277.0,153412.0
3.0,50000.0,0.0,141527.0,135231.0,179878.0,179878.0,186826.0
3.0,50000.0,0.0,143968.0,133788.0,175376.0,175376.0,186494.0
3.0,50000.0,0.0,143437.0,131991.0,170964.0,170964.0,185517.0
4.0,50000.0,0.0,146778.0,138705.0,198926.0,198926.0,206827.0
4.0,50000.0,0.0,147431.0,138835.0,194972.0,194972.0,206445.0
4.0,50000.0,0.0,144714.0,138643.0,191044.0,191044.0,205685.0
2.0,60000.0,10000.0,137482.0,121202.0,130298.0,133667.0,144736.0
2.0,60000.0,10000.0,131923.0,124096.0,126233.0,129239.0,143793.0
2.0,60000.0,10000.0,124687.0,123273.0,121110.0,123210.0,141173.0
3.0,60000.0,10000.0,140894.0,131231.0,154026.0,165028.0,174364.0
3.0,60000.0,10000.0,142925.0,128490.0,150896.0,160899.0,173999.0
3.0,60000.0,10000.0,145025.0,125746.0,147786.0,155860.0,173017.0
4.0,60000.0,10000.0,141375.0,134182.0,173450.0,185896.0,193738.0
4.0,60000.0,10000.0,143440.0,134630.0,170080.0,181995.0,193429.0
4.0,60000.0,10000.0,144085.0,134182.0,167622.0,177381.0,192903.0
