wareh,capacity,buffer,CHI,CHILOC,GS,BS,RND
2.0,10000.0,0.0,10000.0,10000.0,10000.0,10000.0,0.0
2.0,10000.0,0.0,10000.0,10000.0,10000.0,10000.0,0.0
2.0,10000.0,0.0,10000.0,10000.0,10000.0,10000.0,0.0
3.0,10000.0,0.0,10000.0,10000.0,10000.0,10000.0,0.0
3.0,10000.0,0.0,10000.0,10000.0,10000.0,10000.0,0.0
3.0,10000.0,0.0,10000.0,10000.0,10000.0,10000.0,0.0
4.0,10000.0,0.0,10000.0,10000.0,10000.0,10000.0,0.0
4.0,10000.0,0.0,10000.0,10000.0,10000.0,10000.0,0.0
4.0,10000.0,0.0,10000.0,10000.0,10000.0,10000.0,0.0
2.0,12000.0,2000.0,12000.0,12000.0,12000.0,12000.0,0.0
2.0,12000.0,2000.0,12000.0,12000.0,12000.0,12000.0,0.0
2.0,12000.0,2000.0,12000.0,12000.0,12000.0,12000.0,0.0
3.0,12000.0,2000.0,12000.0,12000.0,12000.0,12000.0,0.0
3.0,12000.0,2000.0,12000.0,12000.0,12000.0,12000.0,0.0
3.0,12000.0,2000.0,12000.0,12000.0,12000.0,12000.0,0.0
4.0,12000.0,2000.0,12000.0,12000.0,12000.0,12000.0,0.0
4.0,12000.0,2000.0,12000.0,12000.0,12000.0,12000.0,0.0
4.0,12000.0,2000.0,12000.0,12000.0,12000.0,12000.0,0.0
2.0,15000.0,0.0,15000.0,15000.0,15000.0,15000.0,0.0
2.0,15000.0,0.0,15000.0,15000.0,15000.0,15000.0,0.0
2.0,15000.0,0.0,15000.0,15000.0,15000.0,15000.0,0.0
3.0,15000.0,0.0,15000.0,15000.0,15000.0,15000.0,0.0
3.0,15000.0,0.0,15000.0,15000.0,15000.0,15000.0,0.0
3.0,15000.0,0.0,15000.0,15000.0,15000.0,15000.0,0.0
4.0,15000.0,0.0,15000.0,15000.0,15000.0,15000.0,0.0
4.0,15000.0,0.0,15000.0,15000.0,15000.0,15000.0,0.0
4.0,15000.0,0.0,15000.0,15000.0,15000.0,15000.0,0.0
2.0,18000.0,3000.0,18000.0,18000.0,18000.0,18000.0,0.0
2.0,18000.0,3000.0,18000.0,18000.0,18000.0,18000.0,0.0
2.0,18000.0,3000.0,18000.0,18000.0,18000.0,18000.0,0.0
3.0,18000.0,3000.0,18000.0,18000.0,18000.0,18000.0,0.0
3.0,18000.0,3000.0,18000.0,18000.0,18000.0,18000.0,0.0
3.0,18000.0,3000.0,18000.0,18000.0,18000.0,18000.0,0.0
4.0,18000.0,3000.0,18000.0,18000.0,18000.0,18000.0,0.0
4.0,18000.0,3000.0,18000.0,18000.0,18000.0,18000.0,0.0
4.0,18000.0,3000.0,18000.0,18000.0,18000.0,18000.0,0.0
2.0,20000.0,0.0,20000.0,20000.0,20000.0,20000.0,0.0
2.0,20000.0,0.0,20000.0,20000.0,20000.0,20000.0,0.0
2.0,20000.0,0.0,20000.0,20000.0,20000.0,20000.0,0.0
3.0,20000.0,0.0,20000.0,20000.0,20000.0,20000.0,0.0
3.0,20000.0,0.0,20000.0,20000.0,20000.0,20000.0,0.0
3.0,20000.0,0.0,20000.0,20000.0,20000.0,20000.0,0.0
4.0,20000.0,0.0,20000.0,20000.0,20000.0,20000.0,0.0
4.0,20000.0,0.0,20000.0,20000.0,20000.0,20000.0,0.0
4.0,20000.0,0.0,20000.0,20000.0,20000.0,20000.0,0.0
2.0,24000.0,4000.0,24000.0,24000.0,24000.0,24000.0,0.0
2.0,24000.0,4000.0,24000.0,24000.0,24000.0,24000.0,0.0
2.0,24000.0,4000.0,24000.0,24000.0,24000.0,24000.0,0.0
3.0,24000.0,4000.0,24000.0,24000.0,24000.0,24000.0,0.0
3.0,24000.0,4000.0,24000.0,24000.0,24000.0,24000.0,0.0
3.0,24000.0,4000.0,24000.0,24000.0,24000.0,24000.0,0.0
4.0,24000.0,4000.0,24000.0,24000.0,24000.0,24000.0,0.0
4.0,24000.0,4000.0,24000.0,24000.0,24000.0,24000.0,0.0
4.0,24000.0,4000.0,24000.0,24000.0,24000.0,24000.0,0.0
2.0,25000.0,0.0,25000.0,25000.0,25000.0,25000.0,0.0
2.0,25000.0,0.0,25000.0,25000.0,25000.0,25000.0,0.0
2.0,25000.0,0.0,25000.0,25000.0,25000.0,25000.0,0.0
3.0,25000.0,0.0,25000.0,25000.0,25000.0,25000.0,0.0
3.0,25000.0,0.0,25000.0,25000.0,25000.0,25000.0,0.0
3.0,25000.0,0.0,25000.0,25000.0,25000.0,25000.0,0.0
4.0,25000.0,0.0,25000.0,25000.0,25000.0,25000.0,0.0
4.0,25000.0,0.0,25000.0,25000.0,25000.0,25000.0,0.0
4.0,25000.0,0.0,25000.0,25000.0,25000.0,25000.0,0.0
2.0,30000.0,5000.0,30000.0,30000.0,30000.0,30000.0,0.0
2.0,30000.0,5000.0,30000.0,30000.0,30000.0,30000.0,0.0
