wareh,capacity,buffer,QMKOPT,QMK,CHI,CHILOC,KLINK,KLINKQMK,GP,GS,BS,OPT,RND
2.0,20.0,0.0,137.0,137.0,137.0,148.0,137.0,137.0,153.0,146.0,146.0,141.0,160.0
2.0,20.0,0.0,133.0,133.0,133.0,133.0,133.0,133.0,144.0,146.0,146.0,133.0,159.0
2.0,20.0,0.0,129.0,129.0,129.0,124.0,129.0,129.0,138.0,146.0,146.0,124.0,152.0
3.0,20.0,0.0,161.0,161.0,167.0,164.0,168.0,168.0,175.0,185.0,185.0,161.0,196.0
3.0,20.0,0.0,161.0,161.0,167.0,164.0,168.0,168.0,175.0,185.0,185.0,161.0,191.0
3.0,20.0,0.0,161.0,168.0,159.0,164.0,161.0,168.0,169.0,173.0,173.0,160.0,194.0
2.0,24.0,4.0,121.0,121.0,124.0,123.0,0.0,0.0,132.0,130.0,132.0,126.0,150.0
2.0,24.0,4.0,116.0,116.0,115.0,115.0,0.0,0.0,126.0,123.0,131.0,119.0,151.0
2.0,24.0,4.0,117.0,117.0,115.0,115.0,0.0,0.0,123.0,117.0,124.0,118.0,148.0
3.0,24.0,4.0,158.0,158.0,158.0,156.0,0.0,0.0,162.0,150.0,170.0,155.0,181.0
3.0,24.0,4.0,148.0,151.0,146.0,160.0,0.0,0.0,160.0,160.0,160.0,148.0,181.0
3.0,24.0,4.0,148.0,142.0,139.0,148.0,0.0,0.0,156.0,162.0,148.0,139.0,179.0
